阿特斯,a'te'si
俺班人,an'ban'ren
安德里亚,an'de'li'ya
暗访组,an'fang'zu
俺孩子,an'hai'zi
安徽路,an'hui'lu
俺伙计,an'huo'ji
俺家吧,an'jia'ba
俺家没人,an'jia'mei'ren
俺家人,an'jia'ren
俺家这,an'jia'zhe
安老头,an'lao'tou
安乐镇,an'le'zhen
俺妹子,an'mei'zi
俺们去,an'men'qu
俺婆子,an'po'zi
安喜门,an'xi'men
俺学,an'xue
奥体花城,ao'ti'hua'cheng
八角楼,ba'jiao'lou
巴黎风情,ba'li'feng'qing
八里堂,ba'li'tang
八零一,ba'ling'yi
巴西湾,ba'xi'wan
白村,bai'cun
白鹤镇,bai'he'zhen
百货楼,bai'huo'lou
白叫我,bai'jiao'wo
白金都会,bai'jin'dou'hui
白马寺,bai'ma'si
百岁鸡,bai'sui'ji
百岁鱼,bai'sui'yu
百碗羊汤,bai'wan'yang'tang
百味王,bai'wei'wang
百姓呼声,bai'xing'hu'sheng
白营,bai'ying
白元,bai'yuan
白元乡,bai'yuan'xiang
白云山,bai'yun'shan
包叫,bao'jiao
包吭气,bao'keng'qi
宝龙城市广场,bao'long'cheng'shi'guang'chang
宝龙广场,bao'long'guang'chang
报学,bao'xue
北店街,bei'dian'jie
北花坛,bei'hua'tan
被窝没,bei'wo'mei
北窑,bei'yao
北冶,bei'ye
比洛阳,bi'luo'yang
比咋,bi'za
别吭声,bie'keng'sheng
别想嫩多,bie'xiang'nen'duo
鳖样子,bie'yang'zi
滨河北路,bin'he'bei'lu
滨河新村,bin'he'xin'cun
并管了,bing'guan'le
并理我,bing'li'wo
玻璃厂,bo'li'chang
玻璃厂路,bo'li'chang'lu
不都是这,bu'dou'shi'zhe
不都行了,bu'dou'xing'le
不翻汤,bu'fan'tang
不该家,bu'gai'jia
不该那,bu'gai'na
不叫吃,bu'jiao'chi
不叫我出去,bu'jiao'wo'chu'qu
不吭声了,bu'keng'sheng'le
不亏你,bu'kui'ni
不来去求,bu'lai'qu'qiu
不老好,bu'lao'hao
不老美,bu'lao'mei
不毛到,bu'mao'dao
不美啊,bu'mei'a
不弄啥,bu'nong'sha
不喷了,bu'pen'le
不去学,bu'qu'xue
不去学了,bu'qu'xue'le
不去月,bu'qu'yue
不啥,bu'sha
不舍来,bu'she'lai
不舍里,bu'she'li
不是是,bu'shi'shi
不是是求,bu'shi'shi'qiu
不是是啥,bu'shi'shi'sha
不是想着,bu'shi'xiang'zhe
不睡来,bu'shui'lai
不说话来,bu'shuo'hua'lai
不说去求,bu'shuo'qu'qiu
不算人,bu'suan'ren
不太美,bu'tai'mei
不想去学,bu'xiang'qu'xue
不信去求,bu'xin'qu'qiu
不星期,bu'xing'qi
不咋不咋,bu'za'bu'za
不咋着,bu'za'zhe
不在洛阳,bu'zai'luo'yang
不再说了,bu'zai'shuo'le
不只顾,bu'zhi'gu
不知过,bu'zhi'guo
不中不中,bu'zhong'bu'zhong
不中啦,bu'zhong'la
不中了,bu'zhong'le
不捉,bu'zhuo
蔡店,cai'dian
菜合,cai'he
菜角,cai'jiao
仓头,cang'tou
曹村,cao'cun
草店,cao'dian
曹记,cao'ji
查看电话号码,cha'kan'dian'hua'hao'ma
廛河,chan'he
廛河区,chan'he'qu
产业集聚区,chan'ye'ji'ju'qu
长安路,chang'an'lu
长城花苑,chang'cheng'hua'yuan
长兴街,chang'xing'jie
炒拉条,chao'la'tiao
超没意思,chao'mei'yi'si
炒酸奶,chao'suan'nai
趁车,chen'che
趁趁,chen'chen
趁的,chen'de
城关一中,cheng'guan'yi'zhong
城关镇,cheng'guan'zhen
城郊乡,cheng'jiao'xiang
成天都,cheng'tian'dou
成天都是,cheng'tian'dou'shi
成这了,cheng'zhe'le
吃才,chi'cai
吃肚子,chi'du'zi
吃饭累,chi'fan'lei
吃饭秒,chi'fan'miao
吃饭缪,chi'fan'miu
吃饭木,chi'fan'mu
吃可多,chi'ke'duo
吃了吃,chi'le'chi
吃了吃饭,chi'le'chi'fan
吃了了,chi'le'le
吃聊了,chi'liao'le
吃米皮,chi'mi'pi
赤土店,chi'tu'dian
吃着不错,chi'zhe'bu'cuo
吃这类,chi'zhe'lei
吃嘴精,chi'zui'jing
冲不成,chong'bu'cheng
重渡沟,chong'du'gou
冲风,chong'feng
充值软件,chong'zhi'ruan'jian
愁人死了,chou'ren'si'le
出豆豆,chu'dou'dou
出来们,chu'lai'men
出来耍吧,chu'lai'shua'ba
出来转,chu'lai'zhuan
出去累,chu'qu'lei
出去耍吧,chu'qu'shua'ba
出去一圈,chu'qu'yi'quan
出去转,chu'qu'zhuan
出去转了,chu'qu'zhuan'le
出息我,chu'xi'wo
出学,chu'xue
春都路,chun'du'lu
次比,ci'bi
次别,ci'bie
次不次,ci'bu'ci
次瓜,ci'gua
次胡,ci'hu
磁涧,ci'jian
磁涧镇,ci'jian'zhen
次毛,ci'mao
从洛阳,cong'luo'yang
醋溜土豆丝,cu'liu'tu'dou'si
翠云路,cui'yun'lu
存住气,cun'zhu'qi
错远了,cuo'yuan'le
大蹲,da'dun
大河论坛,da'he'lun'tan
大河网,da'he'wang
大浪淘沙,da'lang'tao'sha
打了了,da'le'le
大路边,da'lu'bian
大洛阳,da'luo'yang
大米汤,da'mi'tang
大那蛋,da'na'dan
大男人家,da'nan'ren'jia
打你吧,da'ni'ba
大坪乡,da'ping'xiang
打球走,da'qiu'zou
大耍,da'shua
大唐宫,da'tang'gong
大星期,da'xing'qi
大杨树,da'yang'shu
打渔晒网,da'yu'shai'wang
打杂子,da'za'zi
打渣子,da'zha'zi
大张,da'zhang
大张了,da'zhang'le
大张量贩,da'zhang'liang'fan
黛眉山,dai'mei'shan
带邮费,dai'you'fei
丹城路,dan'cheng'lu
丹尼斯,dan'ni'si
丹尼斯了,dan'ni'si'le
蛋子,dan'zi
蛋子儿,dan'zi'er
道北,dao'bei
道北路,dao'bei'lu
到关林,dao'guan'lin
捣鸡毛,dao'ji'mao
到家秒,dao'jia'miao
到老城,dao'lao'cheng
到龙门,dao'long'men
到栾川,dao'luan'chuan
到洛阳,dao'luo'yang
到洛阳了,dao'luo'yang'le
道南路,dao'nan'lu
到呢了,dao'ne'le
到县城,dao'xian'cheng
