艾箱灸,ai'xiang'jiu
氨苯喋啶试验,an'ben'die'ding'shi'yan
鞍区占位病变切除术,an'qu'zhan'wei'bing'bian'qie'chu'shu
暗适应测定,an'shi'ying'ce'ding
暗示治疗,an'shi'zhi'liao
安体舒通试验,an'ti'shu'tong'shi'yan
奥迪氏括约肌压力测定,ao'di'shi'kuo'yue'ji'ya'li'ce'ding
拔罐疗法,ba'guan'liao'fa
拔甲治疗,ba'jia'zhi'liao
拔牙创面搔刮术,ba'ya'chuang'mian'sao'gua'shu
白癜风皮肤移植术,bai'dian'feng'pi'fu'yi'zhi'shu
白喉棒状杆菌培养及鉴定,bai'hou'bang'zhuang'gan'jun'pei'yang'ji'jian'ding
白内障超声乳化摘除术,bai'nei'zhang'chao'sheng'ru'hua'zhai'chu'shu
白内障截囊吸取术,bai'nei'zhang'jie'nang'xi'qu'shu
白内障囊膜切除术,bai'nei'zhang'nang'mo'qie'chu'shu
白内障囊内摘除术,bai'nei'zhang'nang'nei'zhai'chu'shu
白内障囊外摘除联合青光眼人工晶体植入术,bai'nei'zhang'nang'wai'zhai'chu'lian'he'qing'guang'yan'ren'gong'jing'ti'zhi'ru'shu
白内障囊外摘除术,bai'nei'zhang'nang'wai'zhai'chu'shu
白内障青光眼联合手术,bai'nei'zhang'qing'guang'yan'lian'he'shou'shu
白内障摘除联合玻璃体切割术,bai'nei'zhang'zhai'chu'lian'he'bo'li'ti'qie'ge'shu
白内障摘除联合青光眼硅管植入术,bai'nei'zhang'zhai'chu'lian'he'qing'guang'yan'gui'guan'zhi'ru'shu
白内障针拨术,bai'nei'zhang'zhen'bo'shu
白内障针拨套出术,bai'nei'zhang'zhen'bo'tao'chu'shu
白内障针拨吸出术,bai'nei'zhang'zhen'bo'xi'chu'shu
百日咳杆菌培养,bai'ri'ke'gan'jun'pei'yang
白细胞除滤,bai'xi'bao'chu'lv
白细胞粘附抑制试验,bai'xi'bao'nian'fu'yi'zhi'shi'yan
白细胞趋化功能检查,bai'xi'bao'qu'hua'gong'neng'jian'cha
白细胞杀菌功能试验,bai'xi'bao'sha'jun'gong'neng'shi'yan
白细胞吞噬功能试验,bai'xi'bao'tun'shi'gong'neng'shi'yan
