阿赖耶识,a'lai'ye'shi
暗黑暗,an'hei'an
暗示,an'shi
八尘质聚,ba'chen'zhi'ju
八种无为,ba'zhong'wu'wei
八种支分显色,ba'zhong'zhi'fen'xian'se
本无见有,ben'wu'jian'you
比度心,bi'du'xin
比度再决识,bi'du'zai'jue'shi
鼻根,bi'gen
鼻根现识,bi'gen'xian'shi
鼻净色根,bi'jing'se'gen
比量,bi'liang
比量抵触,bi'liang'di'chu
比量果,bi'liang'guo
比量相违,bi'liang'xiang'wei
彼生相属,bi'sheng'xiang'shu
鼻识,bi'shi
比喻量,bi'yu'liang
遍计所执性,bian'ji'suo'zhi'xing
辩论严肃,bian'lun'yan'su
遍行因,bian'xing'yin
遍依量成因依许成,bian'yi'liang'cheng'yin'yi'xu'cheng
别因证成果因,bie'yin'zheng'cheng'guo'yin
不并存相违,bu'bing'cun'xiang'wei
不并存相违论式,bu'bing'cun'xiang'wei'lun'shi
不常,bu'chang
不成因,bu'cheng'yin
不错乱,bu'cuo'luan
不错乱识,bu'cuo'luan'shi
不颠倒圆成实性,bu'dian'dao'yuan'cheng'shi'xing
不定因,bu'ding'yin
不断他差别声,bu'duan'ta'cha'bie'sheng
不共不定,bu'gong'bu'ding
不合理遮遣趋入心,bu'he'li'zhe'qian'qu'ru'xin
不净依他起,bu'jing'yi'ta'qi
不可得相违因,bu'ke'de'xiang'wei'yin
不可得因,bu'ke'de'yin
不离,bu'li
不利条件,bu'li'tiao'jian
不平等香气,bu'ping'deng'xiang'qi
不容是所知,bu'rong'shi'suo'zhi
不容有限制,bu'rong'you'xian'zhi
不如实缘体心,bu'ru'shi'yuan'ti'xin
不善,bu'shan
补特伽罗我执,bu'te'jia'luo'wo'zhi
补特伽罗无我,bu'te'jia'luo'wu'wo
不违相违,bu'wei'xiang'wei
不悟心识,bu'wu'xin'shi
不现不可得因,bu'xian'bu'ke'de'yin
不现对立可得正因,bu'xian'dui'li'ke'de'zheng'yin
不现统一不可得正因,bu'xian'tong'yi'bu'ke'de'zheng'yin
不现统一理由不可得正因,bu'xian'tong'yi'li'you'bu'ke'de'zheng'yin
不相违,bu'xiang'wei
不相应行,bu'xiang'ying'xing
不引能立应成,bu'yin'neng'li'ying'cheng
不与矛盾相矛盾,bu'yu'mao'dun'xiang'mao'dun
裁判者中证人,cai'pan'zhe'zhong'zheng'ren
差别,cha'bie
差别遍计所执,cha'bie'bian'ji'suo'zhi
差别显色,cha'bie'xian'se
常法,chang'fa
瞋恚,chen'hui
陈那,chen'na
成立彼世间,cheng'li'bi'shi'jian
成立剎那毁灭,cheng'li'cha'na'hui'mie
成立关系论,cheng'li'guan'xi'lun
成立损成论,cheng'li'sun'cheng'lun
成立外境颂,cheng'li'wai'jing'song
成立一切智颂,cheng'li'yi'qie'zhi'song
成立正理灯论,cheng'li'zheng'li'deng'lun
成实,cheng'shi
成唯识论,cheng'wei'shi'lun
承许相违,cheng'xu'xiang'wei
成住同质,cheng'zhu'tong'zhi
成住无别同质,cheng'zhu'wu'bie'tong'zhi
痴无明,chi'wu'ming
臭气,chou'qi
抽象,chou'xiang
触处,chu'chu
触觉根现识,chu'jue'gen'xian'shi
触觉意现识,chu'jue'yi'xian'shi
串习境根现量,chuan'xi'jing'gen'xian'liang
粗色,cu'se
粗微尘,cu'wei'chen
存在,cun'zai
错乱,cuo'luan
错乱根识,cuo'luan'gen'shi
错乱识惑乱识,cuo'luan'shi'huo'luan'shi
错乱四因,cuo'luan'si'yin
答辩,da'bian
答辩词,da'bian'ci
大乘瑜伽现前智,da'cheng'yu'jia'xian'qian'zhi
大观量,da'guan'liang
大小合理,da'xiao'he'li
大种所生七触,da'zhong'suo'sheng'qi'chu
耽着境,dan'zhe'jing
耽着识,dan'zhe'shi
当能周延,dang'neng'zhou'yan
倒合喻,dao'he'yu
倒离,dao'li
倒所破因,dao'suo'po'yin
倒同品遍,dao'tong'pin'bian
等遍对答,deng'bian'dui'da
等遍周延,deng'bian'zhou'yan
等持,deng'chi
等分犹豫,deng'fen'you'yu
等流果,deng'liu'guo
等同对答,deng'tong'dui'da
等无间缘,deng'wu'jian'yuan
第二悟果智,di'er'wu'guo'zhi
敌论者,di'lun'zhe
第三悟果智,di'san'wu'guo'zhi
第一悟果智,di'yi'wu'guo'zhi
地隐蔽,di'yin'bi
地远离事,di'yuan'li'shi
敌者,di'zhe
颠倒识,dian'dao'shi
颠倒意识,dian'dao'yi'shi
定量论疏,ding'liang'lun'shu
定所生自在色,ding'suo'sheng'zi'zai'se
定无,ding'wu
独觉瑜伽现前智,du'jue'yu'jia'xian'qian'zhi
独立自取实有,du'li'zi'qu'shi'you
断德圆满,duan'de'yuan'man
断他差别声,duan'ta'cha'bie'sheng
对境,dui'jing
对境特性,dui'jing'te'xing
对立果可得因,dui'li'guo'ke'de'yin
对立可得因,dui'li'ke'de'yin
多法应成,duo'fa'ying'cheng
多因应成,duo'yin'ying'cheng
恶作,e'zuo
恩路,en'lu
耳根,er'gen
耳根现识,er'gen'xian'shi
耳净色根,er'jing'se'gen
耳识,er'shi
二所量,er'suo'liang
二因,er'yin
二喻,er'yu
二真因,er'zhen'yin
二种比量,er'zhong'bi'liang
二种遍计,er'zhong'bian'ji
二种不定因,er'zhong'bu'ding'yin
二种不可得因,er'zhong'bu'ke'de'yin
二种反体同类,er'zhong'fan'ti'tong'lei
二种果色,er'zhong'guo'se
二种互绝相违论式,er'zhong'hu'jue'xiang'wei'lun'shi
二种间接相违,er'zhong'jian'jie'xiang'wei
二种近取因,er'zhong'jin'qu'yin
二种可现不可得因,er'zhong'ke'xian'bu'ke'de'yin
二种类同,er'zhong'lei'tong
二种悟因心,er'zhong'wu'yin'xin
二种依他起,er'zhong'yi'ta'qi
二种有余不定因,er'zhong'you'yu'bu'ding'yin
二种圆成实性,er'zhong'yuan'cheng'shi'xing
二种真应成,er'zhong'zhen'ying'cheng
二种正喻,er'zhong'zheng'yu
二种直接相违,er'zhong'zhi'jie'xiang'wei
二种自性因,er'zhong'zi'xing'yin
法称,fa'cheng
法处,fa'chu
法处所摄色,fa'chu'suo'she'se
法界,fa'jie
法我执,fa'wo'zhi
法无我,fa'wu'wo
反驳辩驳,fan'bo'bian'bo
反法反体法,fan'fa'fan'ti'fa
反非,fan'fei
反诘,fan'jie
反确定,fan'que'ding
反是,fan'shi
反体,fan'ti
反体同类,fan'ti'tong'lei
反体同类之一,fan'ti'tong'lei'zhi'yi
反体同一不成,fan'ti'tong'yi'bu'cheng
非可能定否,fei'ke'neng'ding'fou
非理犹豫,fei'li'you'yu
非量五识,fei'liang'wu'shi
非量心,fei'liang'xin
非实境分别心,fei'shi'jing'fen'bie'xin
非示寻有情声,fei'shi'xun'you'qing'sheng
吠陀派,fei'tuo'pai
非有否定,fei'you'fou'ding
非有限制,fei'you'xian'zhi
非遮,fei'zhe
非遮遣余,fei'zhe'qian'yu
分别心,fen'bie'xin
分支,fen'zhi
分支显色,fen'zhi'xian'se
否定,fou'ding
否认,fou'ren
负处,fu'chu
复合有法应成,fu'he'you'fa'ying'cheng
干慧派,gan'hui'pai
感受,gan'shou
感受境,gan'shou'jing
根本显色,gen'ben'xian'se
根识,gen'shi
根识等无间缘,gen'shi'deng'wu'jian'yuan
根识颠倒识,gen'shi'dian'dao'shi
根识三缘,gen'shi'san'yuan
根识所缘缘,gen'shi'suo'yuan'yuan
根识增上缘,gen'shi'zeng'shang'yuan
根受,gen'shou
根现量,gen'xian'liang
根现识,gen'xian'shi
共不定,gong'bu'ding
共相,gong'xiang
观察听闻颂,guan'cha'ting'wen'song
观待差别因,guan'dai'cha'bie'yin
观待敌者不成,guan'dai'di'zhe'bu'cheng
观待非异自性因,guan'dai'fei'yi'zi'xing'yin
观待立敌俱不成,guan'dai'li'di'ju'bu'cheng
观待立者不成,guan'dai'li'zhe'bu'cheng
观待论者不成,guan'dai'lun'zhe'bu'cheng
观待破确定因,guan'dai'po'que'ding'yin
观待异的自性因,guan'dai'yi'de'zi'xing'yin
观关系论注,guan'guan'xi'lun'zhu
观慧,guan'hui
观遣余颂,guan'qian'yu'song
观三时,guan'san'shi
观所缘缘论,guan'suo'yuan'yuan'lun
观所缘缘论释,guan'suo'yuan'yuan'lun'shi
观所缘缘论疏,guan'suo'yuan'yuan'lun'shu
观现世心,guan'xian'shi'xin
观相属论,guan'xiang'zhu'lun
观相属论广释,guan'xiang'zhu'lun'guang'shi
果积尘,guo'ji'chen
果色,guo'se
果相违果可得,guo'xiang'wei'guo'ke'de
