阿济格等人,a'ji'ge'deng'ren
爱国主义,ai'guo'zhu'yi
爱新觉罗,ai'xin'jue'luo
爱新觉罗溥仪,ai'xin'jue'luo'pu'yi
爱新觉罗氏,ai'xin'jue'luo'shi
安徽徽宁,an'hui'hui'ning
按满官品级分给为奴,an'man'guan'pin'ji'fen'gei'wei'nu
按月分值,an'yue'fen'zhi
八宝山革命公墓,ba'bao'shan'ge'ming'gong'mu
巴尔喀什湖以东的葱岭地区,ba'er'ka'shi'hu'yi'dong'de'cong'ling'di'qu
八分之一,ba'fen'zhi'yi
八年间,ba'nian'jian
八旗制度,ba'qi'zhi'du
八旗之谜,ba'qi'zhi'mi
把权力集中到,ba'quan'li'ji'zhong'dao
把原先,ba'yuan'xian
八月十三,ba'yue'shi'san
白莲教,bai'lian'jiao
颁布制度等,ban'bu'zhi'du'deng
半封建半殖民地社会,ban'feng'jian'ban'zhi'min'di'she'hui
爆发后,bao'fa'hou
包括达拉克,bao'kuo'da'la'ke
包括台湾及其附属岛屿,bao'kuo'tai'wan'ji'qi'fu'shu'dao'yu
包围南汉山城,bao'wei'nan'han'shan'cheng
被宝亲王,bei'bao'qin'wang
北方的,bei'fang'de
被封,bei'feng
北接西伯利亚,bei'jie'xi'bo'li'ya
北京出版社,bei'jing'chu'ban'she
北京建立了,bei'jing'jian'li'le
北京圆明园,bei'jing'yuan'ming'yuan
被迫投降,bei'po'tou'xiang
被认为,bei'ren'wei
被沙俄侵占,bei'sha'e'qin'zhan
北至漠北和外兴安岭,bei'zhi'mo'bei'he'wai'xing'an'ling
被尊为,bei'zun'wei
闭关自守,bi'guan'zi'shou
必须取得,bi'xu'qu'de
笔者在,bi'zhe'zai
便提出,bian'ti'chu
编为一庄,bian'wei'yi'zhuang
编纂了几部,bian'zuan'le'ji'bu
编纂史书,bian'zuan'shi'shu
兵败宁远,bing'bai'ning'yuan
并不是这样,bing'bu'shi'zhe'yang
并定都北京,bing'ding'du'bei'jing
并多次带兵,bing'duo'ci'dai'bing
并焚毁书籍,bing'fen'hui'shu'ji
并将王子,bing'jiang'wang'zi
并没有放弃,bing'mei'you'fang'qi
并且由于,bing'qie'you'yu
并且正在,bing'qie'zheng'zai
并生有,bing'sheng'you
病死后,bing'si'hou
并委以官职,bing'wei'yi'guan'zhi
丙午日,bing'wu'ri
并以是年为,bing'yi'shi'nian'wei
并与俄国签订,bing'yu'e'guo'qian'ding
博尔济吉特氏,bo'er'ji'ji'te'shi
不乏像,bu'fa'xiang
不和的,bu'he'de
不肯就范,bu'ken'jiu'fan
步履蹒跚地,bu'lv'pan'shan'de
不能不说,bu'neng'bu'shuo
不平等条约,bu'ping'deng'tiao'yue
部族势力强大,bu'zu'shi'li'qiang'da
才得以,cai'de'yi
灿如星汉,can'ru'xing'han
惨无人道的,can'wu'ren'dao'de
侧室,ce'shi
察哈尔林丹汗,cha'ha'er'lin'dan'han
产生了,chan'sheng'le
禅位于,chan'wei'yu
朝鲜的包围,chao'xian'de'bao'wei
沉志祥,chen'zhi'xiang
承畴等人,cheng'chou'deng'ren
称帝,cheng'di
成吉思汗,cheng'ji'si'han
成吉思汗和努尔哈赤,cheng'ji'si'han'he'nu'er'ha'chi
成吉思汗与努尔哈赤,cheng'ji'si'han'yu'nu'er'ha'chi
成为当时世界上,cheng'wei'dang'shi'shi'jie'shang
成为后金,cheng'wei'hou'jin
成为热点,cheng'wei're'dian
成为亚洲最大的国家,cheng'wei'ya'zhou'zui'da'de'guo'jia
池广太道,chi'guang'tai'dao
崇德,chong'de
崇德三年,chong'de'san'nian
崇德元年,chong'de'yuan'nian
崇奉喇嘛教,chong'feng'la'ma'jiao
宠荣备至,chong'rong'bei'zhi
冲突日益严重,chong'tu'ri'yi'yan'zhong
重印刊行中国,chong'yin'kan'xing'zhong'guo
出版写,chu'ban'xie
出痘病死,chu'dou'bing'si
初婚,chu'hun
处境孤立,chu'jing'gu'li
出生于明万历二十年,chu'sheng'yu'ming'wan'li'er'shi'nian
处于水深火热之中,chu'yu'shui'shen'huo're'zhi'zhong
传奇色彩,chuan'qi'se'cai
创作的,chuang'zuo'de
醇亲王,chun'qin'wang
淳贤亲王,chun'xian'qin'wang
此后又多次,ci'hou'you'duo'ci
次年改元天聪,ci'nian'gai'yuan'tian'cong
慈禧,ci'xi
慈禧太后,ci'xi'tai'hou
赐以庄田,ci'yi'zhuang'tian
从此结束了,cong'ci'jie'shu'le
从此全力以赴地,cong'ci'quan'li'yi'fu'di
从征,cong'zheng
篡改遗诏,cuan'gai'yi'zhao
摧毁了,cui'hui'le
存在反满思想,cun'zai'fan'man'si'xiang
存在强烈的,cun'zai'qiang'lie'de
打败李自成农民军,da'bai'li'zi'cheng'nong'min'jun
打败农民军,da'bai'nong'min'jun
大贝勒衔,da'bei'le'xian
达成共同征讨林丹汗的协议,da'cheng'gong'tong'zheng'tao'lin'dan'han'de'xie'yi
大大增强了军事力量,da'da'zeng'qiang'le'jun'shi'li'liang
大帝国,da'di'guo
大妃之谜,da'fei'zhi'mi
大福晋,da'fu'jin
打开山海关,da'kai'shan'hai'guan
大力实行改革时,da'li'shi'xing'gai'ge'shi
大量古籍中,da'liang'gu'ji'zhong
大量珍贵书籍,da'liang'zhen'gui'shu'ji
大凌河战役后,da'ling'he'zhan'yi'hou
大清朝,da'qing'chao
大清创建者,da'qing'chuang'jian'zhe
大清帝国,da'qing'di'guo
大清帝国的,da'qing'di'guo'de
大顺,da'shun
打下了,da'xia'le
大兴文字狱,da'xing'wen'zi'yu
大一统,da'yi'tong
但皆以失败而告终,dan'jie'yi'shi'bai'er'gao'zhong
但没有保留于,dan'mei'you'bao'liu'yu
担任明朝,dan'ren'ming'chao
但实际上是,dan'shi'ji'shang'shi
道光帝,dao'guang'di
道光皇帝,dao'guang'huang'di
道光十一年,dao'guang'shi'yi'nian
到何种程度,dao'he'zhong'cheng'du
到康乾盛世时,dao'kang'qian'sheng'shi'shi
道员,dao'yuan
的变革,de'bian'ge
的大量死亡,de'da'liang'si'wang
得到缓和,de'dao'huan'he
的帝位,de'di'wei
的封建帝制,de'feng'jian'di'zhi
的各个部落,de'ge'ge'bu'luo
的关键所在,de'guan'jian'suo'zai
的皇帝,de'huang'di
的基因,de'ji'yin
的建立,de'jian'li
的今天,de'jin'tian
的旧制,de'jiu'zhi
的浪潮,de'lang'chao
的矛盾,de'mao'dun
的庙号,de'miao'hao
的某些特权,de'mou'xie'te'quan
的奴隶制政策,de'nu'li'zhi'zheng'ce
的确立,de'que'li
的人,de'ren
的入侵,de'ru'qin
的社会经济,de'she'hui'jing'ji
的同时,de'tong'shi
的形势,de'xing'shi
的政策,de'zheng'ce
的政策改为,de'zheng'ce'gai'wei
的种子,de'zhong'zi
的传记,de'zhuan'ji
的罪名,de'zui'ming
等部的归附,deng'bu'de'gui'fu
等明朝,deng'ming'chao
第二长,di'er'chang
第二年,di'er'nian
帝国主义,di'guo'zhu'yi
第九子福临继位,di'jiu'zi'fu'lin'ji'wei
第三位皇帝,di'san'wei'huang'di
第十位皇帝,di'shi'wei'huang'di
第四帝,di'si'di
第四子,di'si'zi
奠定了基础,dian'ding'le'ji'chu
奠基人,dian'ji'ren
定都,ding'du
定外藩功臣袭职例,ding'wai'fan'gong'chen'xi'zhi'li
东北至鄂霍次克海和库页岛,dong'bei'zhi'e'huo'ci'ke'hai'he'ku'ye'dao
东临太平洋,dong'lin'tai'ping'yang
东南到台湾,dong'nan'dao'tai'wan
东至海,dong'zhi'hai
都被杀掉了,dou'bei'sha'diao'le
都是汉族,dou'shi'han'zu
都是少数民族,dou'shi'shao'shu'min'zu
都相对,dou'xiang'dui
渡黄河西进,du'huang'he'xi'jin
独尊地位,du'zun'di'wei
断绝往来,duan'jue'wang'lai
对大批降将,dui'da'pi'xiang'jiang
对满清不利的,dui'man'qing'bu'li'de
对蒙古,dui'meng'gu
对明朝发动侵略,dui'ming'chao'fa'dong'qin'lue
对明作战,dui'ming'zuo'zhan
对清代历史,dui'qing'dai'li'shi
对他们采取,dui'ta'men'cai'qu
对外文书与敕谕,dui'wai'wen'shu'yu'chi'yu
对外相继征服了,dui'wai'xiang'ji'zheng'fu'le
对中国古籍,dui'zhong'guo'gu'ji
多部,duo'bu
夺得胜利,duo'de'sheng'li
多尔衮,duo'er'gun
多尔衮等,duo'er'gun'deng
多尔衮迎顺治帝入关,duo'er'gun'ying'shun'zhi'di'ru'guan
多民族国家,duo'min'zu'guo'jia
多年的,duo'nian'de
多万平方公里,duo'wan'ping'fang'gong'li
额哲,e'zhe
二百六十八年,er'bai'liu'shi'ba'nian
而被销毁,er'bei'xiao'hui
而决定分成,er'jue'ding'fen'cheng
而他们,er'ta'men
发动了锦州战役,fa'dong'le'jin'zhou'zhan'yi
发展到,fa'zhan'dao
发展生产,fa'zhan'sheng'chan
反帝反封建运动,fan'di'fan'feng'jian'yun'dong
凡奴隶主犯有,fan'nu'li'zhu'fan'you
反清斗争接连不断,fan'qing'dou'zheng'jie'lian'bu'duan
翻译汉字书籍,fan'yi'han'zi'shu'ji
凡有妨农务的工程,fan'you'fang'nong'wu'de'gong'cheng
废除了,fei'chu'le
分别缔结了,fen'bie'di'jie'le
分别优劣,fen'bie'you'lie
分掌国家行政事务,fen'zhang'guo'jia'xing'zheng'shi'wu
封建化的改革,feng'jian'hua'de'gai'ge
封建经济,feng'jian'jing'ji
封建史,feng'jian'shi
封王封爵,feng'wang'feng'jue
俘获了,fu'huo'le
福陵,fu'ling
俘取者为奴,fu'qu'zhe'wei'nu
富有朝气的精神,fu'you'zhao'qi'de'jing'shen
抚远大将军,fu'yuan'da'jiang'jun
幅员最辽阔,fu'yuan'zui'liao'kuo
负责撰拟诏令,fu'ze'zhuan'ni'zhao'ling
噶尔丹,ga'er'dan
改成自己,gai'cheng'zi'ji
改国号大清,gai'guo'hao'da'qing
改国号清,gai'guo'hao'qing
改国号为清,gai'guo'hao'wei'qing
改蒙古衙门,gai'meng'gu'ya'men
改年号为,gai'nian'hao'wei
改元崇德,gai'yuan'chong'de
改元天命,gai'yuan'tian'ming
高宗纯皇帝,gao'zong'chun'huang'di
割地赔款,ge'di'pei'kuan
各个击破的手段,ge'ge'ji'po'de'shou'duan
革去莽古尔泰,ge'qu'mang'gu'er'tai
各省,ge'sheng
个体农民,ge'ti'nong'min
各种社会矛盾,ge'zhong'she'hui'mao'dun
给汉人,gei'han'ren
更加严密,geng'jia'yan'mi
耿仲明,geng'zhong'ming
共历十帝,gong'li'shi'di
共理政务,gong'li'zheng'wu
工六部,gong'liu'bu
共六十年,gong'liu'shi'nian
攻破城池,gong'po'cheng'chi
共同对付明朝,gong'tong'dui'fu'ming'chao
攻陷北京,gong'xian'bei'jing
恭宗,gong'zong
顾八代,gu'ba'dai
古今图书集成,gu'jin'tu'shu'ji'cheng
关心努尔哈赤,guan'xin'nu'er'ha'chi
关注的,guan'zhu'de
光绪,guang'xu
光宣衰世,guang'xuan'shuai'shi
归天后,gui'tian'hou
贵族分权势力,gui'zu'fen'quan'shi'li
国号金,guo'hao'jin
国家的,guo'jia'de
国家权力,guo'jia'quan'li
国家统治机构,guo'jia'tong'zhi'ji'gou
国力强大,guo'li'qiang'da
国力强盛的,guo'li'qiang'sheng'de
国外的,guo'wai'de
国王李,guo'wang'li
还没有出版,hai'mei'you'chu'ban
还是由满学家,hai'shi'you'man'xue'jia
海西四部,hai'xi'si'bu
汉高祖,han'gao'zu
汉人纷纷,han'ren'fen'fen
汉人每十三壮丁,han'ren'mei'shi'san'zhuang'ding
汉武,han'wu
汉族地主,han'zu'di'zhu
汉族地主阶级的支持,han'zu'di'zhu'jie'ji'de'zhi'chi
汉族奴隶取得了,han'zu'nu'li'qu'de'le
汉族人民,han'zu'ren'min
汉族为主的,han'zu'wei'zhu'de
汉族文人,han'zu'wen'ren
汉族原来,han'zu'yuan'lai
浩然之气,hao'ran'zhi'qi
河北定陵,he'bei'ding'ling
河北裕陵,he'bei'yu'ling
和此后,he'ci'hou
和坤,he'kun
和努尔哈赤,he'nu'er'ha'chi
和入关,he'ru'guan
赫图阿拉,he'tu'a'la
赫图阿拉称汗,he'tu'a'la'cheng'han
黑龙江以北,hei'long'jiang'yi'bei
洪承畴被俘,hong'cheng'chou'bei'fu
洪承畴率,hong'cheng'chou'lv
后金,hou'jin
后金第二代君主,hou'jin'di'er'dai'jun'zhu
后金面临的,hou'jin'mian'lin'de
后金社会动荡不安,hou'jin'she'hui'dong'dang'bu'an
后金政权,hou'jin'zheng'quan
后明军,hou'ming'jun
后迁辽阳沈阳,hou'qian'liao'yang'shen'yang
后随着一系列不平等条约的签定,hou'sui'zhe'yi'xi'lie'bu'ping'deng'tiao'yue'de'qian'ding
划定了中俄东段边界,hua'ding'le'zhong'e'dong'duan'bian'jie
华龙皇家陵园,hua'long'huang'jia'ling'yuan
华夷之辩意识,hua'yi'zhi'bian'yi'shi
怀之以德,huai'zhi'yi'de
皇朝的,huang'chao'de
皇朝历史的,huang'chao'li'shi'de
皇朝历史中,huang'chao'li'shi'zhong
皇帝自杀,huang'di'zi'sha
皇四子弘历为皇太子,huang'si'zi'hong'li'wei'huang'tai'zi
皇太极,huang'tai'ji
皇太极颁布,huang'tai'ji'ban'bu
皇太极不宣而战,huang'tai'ji'bu'xuan'er'zhan
皇太极采取,huang'tai'ji'cai'qu
皇太极对他们封王封侯,huang'tai'ji'dui'ta'men'feng'wang'feng'hou
皇太极发生,huang'tai'ji'fa'sheng
皇太极仿照明制,huang'tai'ji'fang'zhao'ming'zhi
皇太极继位之初,huang'tai'ji'ji'wei'zhi'chu
皇太极借机以,huang'tai'ji'jie'ji'yi
皇太极命,huang'tai'ji'ming
皇太极深知,huang'tai'ji'shen'zhi
皇太极通过,huang'tai'ji'tong'guo
皇太极以阿敏,huang'tai'ji'yi'a'min
皇太极用联姻,huang'tai'ji'yong'lian'yin
皇太极又以朝鲜,huang'tai'ji'you'yi'chao'xian
皇太极在国内,huang'tai'ji'zai'guo'nei
皇太极在沈阳称帝,huang'tai'ji'zai'shen'yang'cheng'di
皇太极在盛京,huang'tai'ji'zai'sheng'jing
皇太极指挥作战,huang'tai'ji'zhi'hui'zuo'zhan
皇太极执政伊始,huang'tai'ji'zhi'zheng'yi'shi
皇太极终于,huang'tai'ji'zhong'yu
