阿尔卡地亚,a'er'ka'di'ya
阿郎山,a'lang'shan
艾大米,ai'da'mi
爱客来,ai'ke'lai
艾山,ai'shan
爱鸭,ai'ya
哎呀你的,ai'ya'ni'de
爱牙医院,ai'ya'yi'yuan
俺对象,an'dui'xiang
俺姑姑,an'gu'gu
俺闺女,an'gui'nv
安国镇,an'guo'zhen
俺家狗,an'jia'gou
俺家来,an'jia'lai
俺姐,an'jie
俺老表,an'lao'biao
俺老婆婆,an'lao'po'po
俺两人,an'liang'ren
俺妈家,an'ma'jia
俺妈妈,an'ma'ma
俺奶奶,an'nai'nai
俺朋友,an'peng'you
俺同位,an'tong'wei
俺爷爷,an'ye'ye
俺侄子,an'zhi'zi
昂当人,ang'dang'ren
奥蛋,ao'dan
奥运城,ao'yun'cheng
把点,ba'dian
八段,ba'duan
拔豁子,ba'huo'zi
八集,ba'ji
拔剑泉,ba'jian'quan
八里屯,ba'li'tun
八义集,ba'yi'ji
坝子街,ba'zi'jie
把子肉,ba'zi'rou
白埠,bai'bu
百达,bai'da
百达菲力,bai'da'fei'li
败顶,bai'ding
白动,bai'dong
白枫,bai'feng
摆呼,bai'hu
败坏我,bai'huai'wo
百特喜,bai'te'xi
白头脑,bai'tou'nao
白这样,bai'zhe'yang
办场,ban'chang
般大,ban'da
般话,ban'hua
宝贝蛋,bao'bei'dan
苞菜,bao'cai
宝乐迪,bao'le'di
宝莲寺,bao'lian'si
被单子,bei'dan'zi
北路口,bei'lu'kou
笨丫,ben'ya
本着脸,ben'zhe'lian
必将的,bi'jiang'de
碧螺山庄,bi'luo'shan'zhuang
比徐州,bi'xu'zhou
逼样的,bi'yang'de
便民网,bian'min'wang
表孙子,biao'sun'zi
别胡扯,bie'hu'che
别叽歪,bie'ji'wai
别假,bie'jia
别假了,bie'jia'le
别啦了,bie'la'le
别忙,bie'mang
别那你,bie'na'ni
滨湖公园,bin'hu'gong'yuan
滨湖花园,bin'hu'hua'yuan
滨湖新天地,bin'hu'xin'tian'di
泊客街,bo'ke'jie
不才好,bu'cai'hao
不才好吗,bu'cai'hao'ma
不撑劲,bu'cheng'jin
补充习题,bu'chong'xi'ti
不错来,bu'cuo'lai
不大管,bu'da'guan
不大困,bu'da'kun
不大能,bu'da'neng
不带玩,bu'dai'wan
不得闲,bu'de'xian
不给你说了吗,bu'gei'ni'shuo'le'ma
不管胡,bu'guan'hu
不架势,bu'jia'shi
不讲究的,bu'jiang'jiu'de
不啦了,bu'la'le
不来家,bu'lai'jia
布兰肯,bu'lan'ken
不孬,bu'nao
不孬不孬,bu'nao'bu'nao
不孬来,bu'nao'lai
不孬了,bu'nao'le
不去家,bu'qu'jia
不揉你,bu'rou'ni
不揉我,bu'rou'wo
不少来,bu'shao'lai
不是带,bu'shi'dai
不是的嘛,bu'shi'de'ma
不说了那,bu'shuo'le'na
不问事,bu'wen'shi
不无所谓,bu'wu'suo'wei
不喜欢人,bu'xi'huan'ren
不信散,bu'xin'san
不咋啦,bu'za'la
不在徐州,bu'zai'xu'zhou
不正干,bu'zheng'gan
不知道来,bu'zhi'dao'lai
才不错,cai'bu'cuo
才不孬,cai'bu'nao
才好来,cai'hao'lai
才好吗,cai'hao'ma
菜煎饼,cai'jian'bing
菜味,cai'wei
曹新平,cao'xin'ping
插稻,cha'dao
查套餐,cha'tao'can
查账单,cha'zhang'dan
产权处,chan'quan'chu
车夫山,che'fu'shan
