阿爸,a'ba
阿巴斯诺特弥撒书,a'ba'si'nuo'te'mi'sa'shu
阿巴特,a'ba'te
阿贝罗尼派,a'bei'luo'ni'pai
阿贝乃尔,a'bei'nai'er
阿贝沙隆,a'bei'sha'long
阿彼盖耳,a'bi'gai'er
阿比林基督学院,a'bi'lin'ji'du'xue'yuan
阿彼沙格,a'bi'sha'ge
阿比西尼亚教会,a'bi'xi'ni'ya'jiao'hui
阿伯丁大学,a'bo'ding'da'xue
阿伯拉尔,a'bo'la'er
阿波利拿里,a'bo'li'na'li
阿波利拿里主义,a'bo'li'na'li'zhu'yi
阿波林教派,a'bo'lin'jiao'pai
阿波林主义,a'bo'lin'zhu'yi
阿布拿,a'bu'na
阿德拉尔德,a'de'la'er'de
阿德里安二世,a'de'li'an'er'shi
阿德里安六世,a'de'li'an'liu'shi
阿德里安三世,a'de'li'an'san'shi
阿德里安四世,a'de'li'an'si'shi
阿德里安五世,a'de'li'an'wu'shi
阿德里安一世,a'de'li'an'yi'shi
阿德文齐斯特教会中学校,a'de'wen'qi'si'te'jiao'hui'zhong'xue'xiao
阿狄乌达二世,a'di'wu'da'er'shi
阿狄乌达一世,a'di'wu'da'yi'shi
阿多尼雅,a'duo'ni'ya
阿恩特,a'en'te
阿尔巴尼亚基督教,a'er'ba'ni'ya'ji'du'jiao
阿尔巴尼亚正教会,a'er'ba'ni'ya'zheng'jiao'hui
阿尔比派,a'er'bi'pai
阿尔比十字军,a'er'bi'shi'zi'jun
阿尔伯特,a'er'bo'te
阿尔布里特弟兄会,a'er'bu'li'te'di'xiong'hui
阿尔弗雷德大帝,a'er'fu'lei'de'da'di
阿尔坎塔拉骑士团,a'er'kan'ta'la'qi'shi'tuan
阿尔马教区,a'er'ma'jiao'qu
阿尔马学院,a'er'ma'xue'yuan
阿尔诺德,a'er'nuo'de
阿尔琴,a'er'qin
阿法纳西,a'fa'na'xi
阿斐,a'fei
阿非利加教条,a'fei'li'jia'jiao'tiao
阿佛塔尔托多派,a'fo'ta'er'tuo'duo'pai
阿干,a'gan
阿格里科拉,a'ge'li'ke'la
阿哥尼斯特派,a'ge'ni'si'te'pai
阿格丕二世,a'ge'pi'er'shi
阿根廷基督教,a'gen'ting'ji'du'jiao
阿哈布,a'ha'bu
阿荷拉与阿荷利巴,a'he'la'yu'a'he'li'ba
阿加托,a'jia'tuo
阿卡迪亚神学院,a'ka'di'ya'shen'xue'yuan
阿卡西乌分裂,a'ka'xi'wu'fen'lie
阿奎里派,a'kui'li'pai
阿奎那,a'kui'na
阿拉伯,a'la'bo
阿拉伯文,a'la'bo'wen
阿拉达修信经,a'la'da'xiu'xin'jing
阿拉法,a'la'fa
阿拉法和俄梅戛,a'la'fa'he'e'mei'jia
阿莱斯会议,a'lai'si'hui'yi
阿赖斯条约,a'lai'si'tiao'yue
阿兰,a'lan
阿勒格尼学院,a'le'ge'ni'xue'yuan
阿利路亚,a'li'lu'ya
阿里米尼会议,a'li'mi'ni'hui'yi
阿里斯托夫派,a'li'si'tuo'fu'pai
阿里乌,a'li'wu
