爱馨,ai'xin
白洋滔,bai'yang'tao
碧珊,bi'shan
碧丝,bi'si
炳发,bing'fa
博锦芳,bo'jin'fang
蔡恩赐,cai'en'ci
蔡丽虹,cai'li'hong
曹新华,cao'xin'hua
曾健晓,ceng'jian'xiao
曾文发,ceng'wen'fa
陈爱馨,chen'ai'xin
陈炳发,chen'bing'fa
陈富伟,chen'fu'wei
陈俊明,chen'jun'ming
陈俊明牧师,chen'jun'ming'mu'shi
陈莲娜,chen'lian'na
陈明添,chen'ming'tian
陈南珊,chen'nan'shan
陈仁发,chen'ren'fa
陈仁发牧师,chen'ren'fa'mu'shi
陈秀英,chen'xiu'ying
陈秀英女会吏,chen'xiu'ying'nv'hui'li
程路加,cheng'lu'jia
恩赐,en'ci
恩雄,en'xiong
范晓婷,fan'xiao'ting
方净莹,fang'jing'ying
凤琪,feng'qi
富伟,fu'wei
复元,fu'yuan
官国兴,guan'guo'xing
光耀,guang'yao
郭汉成,guo'han'cheng
郭汉成牧师,guo'han'cheng'mu'shi
国威,guo'wei
国兴,guo'xing
韩复元,han'fu'yuan
何亚平,he'ya'ping
何月心,he'yue'xin
何月心讲师,he'yue'xin'jiang'shi
洪瑞兰,hong'rui'lan
黄迪华,huang'di'hua
黄迪华牧师,huang'di'hua'mu'shi
黄向勤,huang'xiang'qin
黄正雄,huang'zheng'xiong
惠芬,hui'fen
慧怡,hui'yi
慧莹,hui'ying
佳慧,jia'hui
佳佳,jia'jia
健晓,jian'xiao
锦芳,jin'fang
晶祥,jing'xiang
净莹,jing'ying
君尔,jun'er
俊哲,jun'zhe
凯伟,kai'wei
孔素粉,kong'su'fen
兰媖,lan'ying
丽虹,li'hong
黎文杰,li'wen'jie
李霞梅,li'xia'mei
李小梅,li'xiao'mei
李秀婵,li'xiu'chan
丽云,li'yun
立章,li'zhang
莲娜,lian'na
梁光耀,liang'guang'yao
林遵春,lin'zun'chun
刘立章,liu'li'zhang
路加,lu'jia
陆彦辉,lu'yan'hui
陆彦辉牧师,lu'yan'hui'mu'shi
梅婷,mei'ting
明添,ming'tian
南珊,nan'shan
潘伟慈,pan'wei'ci
潘武忠,pan'wu'zhong
佩玉,pei'yu
鹏翔,peng'xiang
邱君尔,qiu'jun'er
邱兰媖,qiu'lan'ying
瑞兰,rui'lan
施养美,shi'yang'mei
素粉,su'fen
苏晶祥,su'jing'xiang
苏玉芳,su'yu'fang
孙俊哲,sun'jun'zhe
汤鹏翔,tang'peng'xiang
王允珍,wang'yun'zhen
王振义,wang'zhen'yi
伟慈,wei'ci
魏佳佳,wei'jia'jia
伟平,wei'ping
炜翔,wei'xiang
文发,wen'fa
文杰,wen'jie
温俊卿,wen'jun'qing
温俊卿博士,wen'jun'qing'bo'shi
文志,wen'zhi
吴慧芬,wu'hui'fen
吴慧芬讲师,wu'hui'fen'jiang'shi
武忠,wu'zhong
霞梅,xia'mei
向勤,xiang'qin
萧帝佑,xiao'di'you
萧帝佑牧师,xiao'di'you'mu'shi
小梅,xiao'mei
晓婷,xiao'ting
萧欣珠,xiao'xin'zhu
谢永良,xie'yong'liang
谢忠华,xie'zhong'hua
新华,xin'hua
欣珠,xin'zhu
秀婵,xiu'chan
许慧怡,xu'hui'yi
许凯伟,xu'kai'wei
许文志,xu'wen'zhi
亚平,ya'ping
颜碧珊,yan'bi'shan
颜碧丝,yan'bi'si
颜子钧,yan'zi'jun
养美,yang'mei
洋滔,yang'tao
叶国威,ye'guo'wei
叶惠芬,ye'hui'fen
叶玉心,ye'yu'xin
叶玉心姐妹,ye'yu'xin'jie'mei
永凯,yong'kai
永良,yong'liang
游永凯,you'yong'kai
玉芳,yu'fang
余慧莹,yu'hui'ying
允珍,yun'zhen
张丽云,zhang'li'yun
张梅婷,zhang'mei'ting
振义,zhen'yi
郑亨平,zheng'heng'ping
郑亨平牧师,zheng'heng'ping'mu'shi
郑佳慧,zheng'jia'hui
正雄,zheng'xiong
钟恩雄,zhong'en'xiong
忠华,zhong'hua
钟炜翔,zhong'wei'xiang
周建基,zhou'jian'ji
周建基讲师,zhou'jian'ji'jiang'shi
周伟平,zhou'wei'ping
祝佩玉,zhu'pei'yu
子钧,zi'jun
邹凤琪,zou'feng'qi
祖文,zu'wen
遵春,zun'chun
