爱而不能令,ai'er'bu'neng'ling
爱民可烦,ai'min'ke'fan
安能动之,an'neng'dong'zhi
安则静,an'ze'jing
拔人之城而非攻也,ba'ren'zhi'cheng'er'fei'gong'ye
拔者,ba'zhe
败兵若以铢称镒,bai'bing'ruo'yi'zhu'cheng'yi
败兵先战而后求胜,bai'bing'xian'zhan'er'hou'qiu'sheng
百里而争利,bai'li'er'zheng'li
百姓之费,bai'xing'zhi'fei
百战,bai'zhan
败之道也,bai'zhi'dao'ye
饱能饥之,bao'neng'ji'zhi
背城邑多者,bei'cheng'yi'duo'zhe
卑而骄之,bei'er'jiao'zhi
备后则前寡,bei'hou'ze'qian'gua
背丘勿逆,bei'qiu'wu'ni
备人者也众者,bei'ren'zhe'ye'zhong'zhe
备右则左,bei'you'ze'zuo
倍则分之,bei'ze'fen'zhi
备者多,bei'zhe'duo
备左则右寡,bei'zuo'ze'you'gua
奔走而陈兵者,ben'zou'er'chen'bing'zhe
彼出,bi'chu
必处其阳而右背之,bi'chu'qi'yang'er'you'bei'zhi
彼得亦利者,bi'de'yi'li'zhe
彼寡可以击吾之众者,bi'gua'ke'yi'ji'wu'zhi'zhong'zhe
必亟去之,bi'ji'qu'zhi
必亟入之,bi'ji'ru'zhi
必谨察之,bi'jin'cha'zhi
必谨覆索之,bi'jin'fu'suo'zhi
必救也我不欲战,bi'jiu'ye'wo'bu'yu'zhan
必居高阳以待敌若敌先居之,bi'ju'gao'yang'yi'dai'di'ruo'di'xian'ju'zhi
彼可以,bi'ke'yi
彼可以来者,bi'ke'yi'lai'zhe
避其锐,bi'qi'rui
必擒,bi'qin
必生可虏,bi'sheng'ke'lu
必死可杀,bi'si'ke'sha
必依,bi'yi
必以全争于天下,bi'yi'quan'zheng'yu'tian'xia
必以五危,bi'yi'wu'wei
必因五火之变而应之火,bi'yin'wu'huo'zhi'bian'er'ying'zhi'huo
必盈之以待敌,bi'ying'zhi'yi'dai'di
必杂于利害,bi'za'yu'li'hai
必战可也战道不胜,bi'zhan'ke'ye'zhan'dao'bu'sheng
宾客,bin'ke
并敌一向,bing'di'yi'xiang
兵法一曰度,bing'fa'yi'yue'du
兵非贵益多也,bing'fei'gui'yi'duo'ye
兵合而不齐,bing'he'er'bu'qi
兵怒而相迎,bing'nu'er'xiang'ying
并气,bing'qi
兵势第五,bing'shi'di'wu
兵士甚陷则不惧,bing'shi'shen'xian'ze'bu'ju
兵无选锋,bing'wu'xuan'feng
兵因敌,bing'yin'di
兵者,bing'zhe
兵之情主速,bing'zhi'qing'zhu'su
兵之形避实而击虚水因地而制流,bing'zhi'xing'bi'shi'er'ji'xu'shui'yin'di'er'zhi'liu
兵之助也,bing'zhi'zhu'ye
兵众孰强,bing'zhong'shu'qiang
不得不与我战者,bu'de'bu'yu'wo'zhan'zhe
不得操事者,bu'de'cao'shi'zhe
不得已也,bu'de'yi'ye
不得已则斗,bu'de'yi'ze'dou
不动如山,bu'dong'ru'shan
不服则难用,bu'fu'ze'nan'yong
不贵久,bu'gui'jiu
不合于利而上,bu'he'yu'li'er'shang
不合于利而止,bu'he'yu'li'er'zhi
不疾战则亡者,bu'ji'zhan'ze'wang'zhe
不竭如江海,bu'jie'ru'jiang'hai
不精之至也来委谢者,bu'jing'zhi'zhi'ye'lai'wei'xie'zhe
不可不察也,bu'ke'bu'cha'ye
不可胜尝也战势不过奇正,bu'ke'sheng'chang'ye'zhan'shi'bu'guo'qi'zheng
不可胜观也味不过五,bu'ke'sheng'guan'ye'wei'bu'guo'wu
不可胜穷也,bu'ke'sheng'qiong'ye
不可胜听也色不过五,bu'ke'sheng'ting'ye'se'bu'guo'wu
不可胜在己,bu'ke'sheng'zai'ji
不可胜者,bu'ke'sheng'zhe
不可先传也,bu'ke'xian'chuan'ye
不可以夺,bu'ke'yi'duo
不可以击,bu'ke'yi'ji
