阿赖耶识,a'lai'ye'shi
阿菩黎阿黎,a'pu'li'a'li
阿屯,a'tun
碍,ai
爱力,ai'li
爱无寻差,ai'wu'xun'cha
安般守意,an'ban'shou'yi
暗极则光,an'ji'ze'guang
安贫乐道,an'pin'le'dao
安时处顺,an'shi'chu'shun
安性乐命,an'xing'le'ming
案兆察迹,an'zhao'cha'ji
奥伏赫变,ao'fu'he'bian
八不中道,ba'bu'zhong'dao
罢黜百家,ba'chu'bai'jia
霸道,ba'dao
八卦,ba'gua
八戒,ba'jie
八识,ba'shi
八正,ba'zheng
八正道,ba'zheng'dao
百代同道,bai'dai'tong'dao
白狗黑,bai'gou'hei
捭阖术,bai'he'shu
白马非马,bai'ma'fei'ma
百姓日用之学,bai'xing'ri'yong'zhi'xue
百战不殆,bai'zhan'bu'dai
般舟三昧,ban'zhou'san'mei
抱法处势,bao'fa'chu'shi
葆光,bao'guang
保教非尊孔,bao'jiao'fei'zun'kong
葆真,bao'zhen
悖,bei
本根,ben'gen
本觉,ben'jue
本来无事,ben'lai'wu'shi
本末,ben'mo
本然,ben'ran
本始,ben'shi
本体,ben'ti
本无,ben'wu
本心,ben'xin
本原,ben'yuan
本质换出一般,ben'zhi'huan'chu'yi'ban
彼,bi
必,bi
比德,bi'de
辟谷,bi'gu
壁观,bi'guan
必开心意,bi'kai'xin'yi
比量,bi'liang
彼是相因,bi'shi'xiang'yin
比相生,bi'xiang'sheng
彼亦一是非,bi'yi'yi'shi'fei
蔽于一曲闇于大理,bi'yu'yi'qu'an'yu'da'li
辩,bian
变,bian
辨对待,bian'dui'dai
变非不变,bian'fei'bu'bian
变故易常,bian'gu'yi'chang
变古愈尽,bian'gu'yu'jin
辨合,bian'he
变化,bian'hua
变化气质,bian'hua'qi'zhi
遍计所执性,bian'ji'suo'zhi'xing
便民愈甚,bian'min'yu'shen
变器卫道,bian'qi'wei'dao
辩说,bian'shuo
辩无胜,bian'wu'sheng
辩者二十一事,bian'zhe'er'shi'yi'shi
表诠,biao'quan
别材,bie'cai
别名,bie'ming
别趣,bie'qu
别同异,bie'tong'yi
别宥,bie'you
冰炭不同器而久,bing'tan'bu'tong'qi'er'jiu
博爱,bo'ai
博爱哲学,bo'ai'zhe'xue
拨本塞源,bo'ben'sai'yuan
波罗蜜,bo'luo'mi
剥落物欲,bo'luo'wu'yu
般若,bo're
般若无知,bo're'wu'zhi
博通能用,bo'tong'neng'yong
博文约礼,bo'wen'yue'li
博学笃志,bo'xue'du'zhi
博约,bo'yue
不诚无物,bu'cheng'wu'wu
不得经同,bu'de'jing'tong
不动心,bu'dong'xin
不二,bu'er
不二法门,bu'er'fa'men
不可使知之,bu'ke'shi'zhi'zhi
不可知之事,bu'ke'zhi'zhi'shi
不平则鸣,bu'ping'ze'ming
不谴是非以与世俗处,bu'qian'shi'fei'yi'yu'shi'su'chu
不忍人之心,bu'ren'ren'zhi'xin
卜筮,bu'shi
不是而然,bu'shi'er'ran
不似之似,bu'si'zhi'si
不徒耳目,bu'tu'er'mu
不为而成,bu'wei'er'cheng
不行而知,bu'xing'er'zhi
不学未必为长夜,bu'xue'wei'bi'wei'chang'ye
不以人助天,bu'yi'ren'zhu'tian
不豫则废,bu'yu'ze'fei
不真空,bu'zhen'kong
不知所以因而自因,bu'zhi'suo'yi'yin'er'zi'yin
不知亦能行,bu'zhi'yi'neng'xing
不知之知,bu'zhi'zhi'zhi
不知之知与不识之知,bu'zhi'zhi'zhi'yu'bu'shi'zhi'zhi
才,cai
才情,cai'qing
才性,cai'xing
才性合,cai'xing'he
才性离,cai'xing'li
才性四本,cai'xing'si'ben
才性四本论,cai'xing'si'ben'lun
才性同,cai'xing'tong
才性异,cai'xing'yi
才性异同,cai'xing'yi'tong
才性之辨,cai'xing'zhi'bian
才性之学,cai'xing'zhi'xue
参,can
参两,can'liang
参天两地,can'tian'liang'di
参伍之道,can'wu'zhi'dao
参验,can'yan
仓廪实而知礼节,cang'lin'shi'er'zhi'li'jie
操术,cao'shu
侧隐之心,ce'yin'zhi'xin
察类,cha'lei
刹那,cha'na
察身以知天,cha'shen'yi'zhi'tian
