埃文斯,ai'wen'si
巴特森,ba'te'sen
包括考古学,bao'kuo'kao'gu'xue
本尼迪克特,ben'ni'di'ke'te
毕摩,bi'mo
并喻文化,bing'yu'wen'hua
博厄斯,bo'e'si
伯格曼法则,bo'ge'man'fa'ze
参与观察,can'yu'guan'cha
差序格局,cha'xu'ge'ju
产翁,chan'weng
常伴有,chang'ban'you
传教士,chuan'jiao'shi
此词由,ci'ci'you
从生物,cong'sheng'wu
从生物的角度,cong'sheng'wu'de'jiao'du
从体质,cong'ti'zhi
从中汲取了,cong'zhong'ji'qu'le
达伦多夫,da'lun'duo'fu
带到欧洲的,dai'dao'ou'zhou'de
蛋民,dan'min
道格拉斯,dao'ge'la'si
的报道,de'bao'dao
的材料,de'cai'liao
的差异,de'cha'yi
的传统,de'chuan'tong
的发现,de'fa'xian
的发展,de'fa'zhan
德国学者,de'guo'xue'zhe
的角度,de'jiao'du
的理解,de'li'jie
的名称,de'ming'cheng
的人的,de'ren'de
的身体和,de'shen'ti'he
的书名,de'shu'ming
的文化,de'wen'hua
的学科群,de'xue'ke'qun
的研究,de'yan'jiu
的用法,de'yong'fa
等方面的研究,deng'fang'mian'de'yan'jiu
杜波依斯,du'bo'yi'si
对具有,dui'ju'you
对人类进行,dui'ren'lei'jin'xing
对人类体质,dui'ren'lei'ti'zhi
对人类学,dui'ren'lei'xue
而进一步,er'jin'yi'bu
而这些,er'zhe'xie
发展变迁的过程,fa'zhan'bian'qian'de'guo'cheng
泛布性领导,fan'bu'xing'ling'dao
泛灵信仰,fan'ling'xin'yang
泛文化比较研究,fan'wen'hua'bi'jiao'yan'jiu
方面的,fang'mian'de
方面的研究,fang'mian'de'yan'jiu
费孝通,fei'xiao'tong
分析方法,fen'xi'fang'fa
分支学科,fen'zhi'xue'ke
弗雷泽,fu'lei'ze
弗里德曼,fu'li'de'man
弗思,fu'si
父子连名制,fu'zi'lian'ming'zhi
感兴趣,gan'xing'qu
高尚道德,gao'shang'dao'de
各地区文化,ge'di'qu'wen'hua
格尔兹,ge'er'zi
各分支学科中,ge'fen'zhi'xue'ke'zhong
格特曼量表,ge'te'man'liang'biao
古姆萨制,gu'mu'sa'zhi
古希腊哲学家,gu'xi'la'zhe'xue'jia
观测技术,guan'ce'ji'shu
广泛综合的研究,guang'fan'zong'he'de'yan'jiu
广义的文化人类学,guang'yi'de'wen'hua'ren'lei'xue
过渡仪式,guo'du'yi'shi
海员等,hai'yuan'deng
涵化,han'hua
和文化,he'wen'hua
和原始社会,he'yuan'shi'she'hui
亨德,heng'de
虎日,hu'ri
化石遗骨,hua'shi'yi'gu
婚姻家庭,hun'yin'jia'ting
基础上进行,ji'chu'shang'jin'xing
及各,ji'ge
羁縻府州,ji'mi'fu'zhou
基尼系数,ji'ni'xi'shu
技术性手段,ji'shu'xing'shou'duan
继嗣集团,ji'si'ji'tuan
即指民族学,ji'zhi'min'zu'xue
即专指,ji'zhuan'zhi
交表婚,jiao'biao'hun
交感巫术,jiao'gan'wu'shu
较专门的领域,jiao'zhuan'men'de'ling'yu
解剖结构,jie'pou'jie'gou
仅仅关注,jin'jin'guan'zhu
今天所说的,jin'tian'suo'shuo'de
金翼,jin'yi
仅作狭义的解释,jin'zuo'xia'yi'de'jie'shi
镜中我,jing'zhong'wo
就是有关,jiu'shi'you'guan
开始注意现在,kai'shi'zhu'yi'xian'zai
考古和语言,kao'gu'he'yu'yan
考古学,kao'gu'xue
刻板印象,ke'ban'yin'xiang
克拉克洪,ke'la'ke'hong
克罗式,ke'luo'shi
客位,ke'wei
库拉圈,ku'la'quan
夸富宴,kua'fu'yan
跨文化比较研究,kua'wen'hua'bi'jiao'yan'jiu
拉德克利夫布朗,la'de'ke'li'fu'bu'lang
利己型自杀,li'ji'xing'zi'sha
利奇,li'qi
列维,lie'wei
林耀华,lin'yao'hua
灵长目学,ling'zhang'mu'xue
马林诺夫斯基,ma'lin'nuo'fu'si'ji
米德,mi'de
描述中,miao'shu'zhong
民族学,min'zu'xue
民族学是在,min'zu'xue'shi'zai
民族志,min'zu'zhi
民族志电影,min'zu'zhi'dian'ying
摩尔根,mo'er'gen
欧洲许多,ou'zhou'xu'duo
品质及行为,pin'zhi'ji'xing'wei
普理查德,pu'li'cha'de
普那路亚婚,pu'na'lu'ya'hun
亲属称谓制,qin'shu'cheng'wei'zhi
亲属关系,qin'shu'guan'xi
亲自到,qin'zi'dao
情境定义,qing'jing'ding'yi
倾向于将,qing'xiang'yu'jiang
全面研究,quan'mian'yan'jiu
群体内聚力,qun'ti'nei'ju'li
人工制品,ren'gong'zhi'pin
人类的,ren'lei'de
人类的起源,ren'lei'de'qi'yuan
人类解剖学和生理学,ren'lei'jie'pou'xue'he'sheng'li'xue
人类进化,ren'lei'jin'hua
人类文化,ren'lei'wen'hua
人类文化的,ren'lei'wen'hua'de
人类文化的起源,ren'lei'wen'hua'de'qi'yuan
人类学的,ren'lei'xue'de
人类学家也,ren'lei'xue'jia'ye
人类学是,ren'lei'xue'shi
人类学一词,ren'lei'xue'yi'ci
人类学这个词,ren'lei'xue'zhe'ge'ci
人类学中止了,ren'lei'xue'zhong'zhi'le
人体测量技术,ren'ti'ce'liang'ji'shu
人体解剖学,ren'ti'jie'pou'xue
人体与生态的关系,ren'ti'yu'sheng'tai'de'guan'xi
人种学,ren'zhong'xue
仍在使用,reng'zai'shi'yong
濡化,ru'hua
萨满,sa'man
萨摩亚人的成年,sa'mo'ya'ren'de'cheng'nian
萨皮尔,sa'pi'er
上理解,shang'li'jie
社会达尔文主义,she'hui'da'er'wen'zhu'yi
社会人类学,she'hui'ren'lei'xue
社会失范论,she'hui'shi'fan'lun
社会文化人类学,she'hui'wen'hua'ren'lei'xue
什么是人类学,shen'me'shi'ren'lei'xue
深描,shen'miao
生理学,sheng'li'xue
生理著作,sheng'li'zhu'zuo
是从,shi'cong
是对人类的,shi'dui'ren'lei'de
世纪后,shi'ji'hou
世纪以前,shi'ji'yi'qian
施坚雅,shi'jian'ya
世界上各民族,shi'jie'shang'ge'min'zu
试图探索,shi'tu'tan'suo
实验民族志,shi'yan'min'zu'zhi
斯宾塞,si'bin'sai
斯特劳斯,si'te'lao'si
