爱华老年公寓,ai'hua'lao'nian'gong'yu
安源宾馆,an'yuan'bin'guan
安源钢铁公司,an'yuan'gang'tie'gong'si
安源公安分局,an'yuan'gong'an'fen'ju
安源管道,an'yuan'guan'dao
安源广场,an'yuan'guang'chang
安源建材,an'yuan'jian'cai
安源交警大队,an'yuan'jiao'jing'da'dui
安源客车公司,an'yuan'ke'che'gong'si
安源派出所,an'yuan'pai'chu'suo
安源汽车站,an'yuan'qi'che'zhan
安源区政府,an'yuan'qu'zheng'fu
安源新村,an'yuan'xin'cun
安源镇政府,an'yuan'zhen'zheng'fu
八达花苑,ba'da'hua'yuan
八一村,ba'yi'cun
八一街办事处,ba'yi'jie'ban'shi'chu
白源街道办,bai'yuan'jie'dao'ban
白源镇,bai'yuan'zhen
白云宾馆,bai'yun'bin'guan
宝塔坡,bao'ta'po
保险公司,bao'xian'gong'si
北桥,bei'qiao
北桥桥头,bei'qiao'qiao'tou
滨河西路江湾,bin'he'xi'lu'jiang'wan
滨河苑,bin'he'yuan
彩虹桥,cai'hong'qiao
长潭,chang'tan
长溪村,chang'xi'cun
朝阳小区,chao'yang'xiao'qu
车辆厂,che'liang'chang
城北小学,cheng'bei'xiao'xue
城南站,cheng'nan'zhan
城区小学,cheng'qu'xiao'xue
船形小区,chuan'xing'xiao'qu
大城,da'cheng
大江边村,da'jiang'bian'cun
大水庙,da'shui'miao
大田村,da'tian'cun
大有市场,da'you'shi'chang
丹江,dan'jiang
丹江办事处,dan'jiang'ban'shi'chu
登岸小区,deng'an'xiao'qu
地税局,di'shui'ju
电大,dian'da
东方巴黎,dong'fang'ba'li
东方宾馆,dong'fang'bin'guan
东门,dong'men
东门道口,dong'men'dao'kou
东门加油站,dong'men'jia'you'zhan
东门桥,dong'men'qiao
鹅湖宾馆,e'hu'bin'guan
鹅湖公园,e'hu'gong'yuan
鹅湖桥,e'hu'qiao
鹅湖小区,e'hu'xiao'qu
鹅井村,e'jing'cun
二汽服务站,er'qi'fu'wu'zhan
二医院,er'yi'yuan
赣西医院,gan'xi'yi'yuan
高山庙,gao'shan'miao
高新园东区,gao'xin'yuan'dong'qu
公安局家属区,gong'an'ju'jia'shu'qu
供电局,gong'dian'ju
公交广告公司,gong'jiao'guang'gao'gong'si
公交西站,gong'jiao'xi'zhan
公交新区,gong'jiao'xin'qu
公交总公司,gong'jiao'zong'gong'si
供水公司,gong'shui'gong'si
广场花园,guang'chang'hua'yuan
广电大厦,guang'dian'da'sha
光丰铁桥,guang'feng'tie'qiao
光丰小区,guang'feng'xiao'qu
桂花园,gui'hua'yuan
国安局,guo'an'ju
宏庆街路口,hong'qing'jie'lu'kou
湖东镇东,hu'dong'zhen'dong
湖东镇中,hu'dong'zhen'zhong
花冲坳,hua'chong'ao
黄家洲,huang'jia'zhou
汇蓝国际,hui'lan'guo'ji
惠联超市,hui'lian'chao'shi
火车站,huo'che'zhan
基建村,ji'jian'cun
技校,ji'xiao
机械电子工业学校,ji'xie'dian'zi'gong'ye'xue'xiao
佳境天城,jia'jing'tian'cheng
建行,jian'hang
将军庙,jiang'jun'miao
江矿,jiang'kuang
交警一中队,jiao'jing'yi'zhong'dui
交警直属大队,jiao'jing'zhi'shu'da'dui
金典城,jin'dian'cheng
金陵大市场,jin'ling'da'shi'chang
金陵东区,jin'ling'dong'qu
金陵西区,jin'ling'xi'qu
金陵小区,jin'ling'xiao'qu
金螺峰,jin'luo'feng
金山角,jin'shan'jiao
禁山里,jin'shan'li
景星村,jing'xing'cun
救护大队,jiu'hu'da'dui
开发区,kai'fa'qu
开发区公安分局,kai'fa'qu'gong'an'fen'ju
康庄桥,kang'zhuang'qiao
矿务局,kuang'wu'ju
蓝波湾大酒店,lan'bo'wan'da'jiu'dian
联通公司,lian'tong'gong'si
燎原小区,liao'yuan'xiao'qu
柳鸣水泥厂,liu'ming'shui'ni'chang
浏市中学,liu'shi'zhong'xue
流万管理处,liu'wan'guan'li'chu
六中,liu'zhong
芦家大屋,lu'jia'da'wu
吕家冲社区,lv'jia'chong'she'qu
绿茵广场,lv'yin'guang'chang
旅游客车厂,lv'you'ke'che'chang
麻山派出所,ma'shan'pai'chu'suo
麻山镇,ma'shan'zhen
麻山中学,ma'shan'zhong'xue
美地世纪新城,mei'di'shi'ji'xin'cheng
木沙场,mu'sha'chang
木沙塘社区,mu'sha'tang'she'qu
南门桥,nan'men'qiao
南台小学,nan'tai'xiao'xue
牛氏塘,niu'shi'tang
彭高镇,peng'gao'zhen
萍钢路口,ping'gang'lu'kou
萍高路口,ping'gao'lu'kou
萍开区政府,ping'kai'qu'zheng'fu
萍师附小,ping'shi'fu'xiao
萍铁工务段,ping'tie'gong'wu'duan
萍乡电厂,ping'xiang'dian'chang
萍乡电影院,ping'xiang'dian'ying'yuan
萍乡二中,ping'xiang'er'zhong
萍乡高专,ping'xiang'gao'zhuan
萍乡六中,ping'xiang'liu'zhong
萍乡三中,ping'xiang'san'zhong
萍乡实验学校,ping'xiang'shi'yan'xue'xiao
萍乡四中,ping'xiang'si'zhong
萍乡卫校,ping'xiang'wei'xiao
萍乡中学,ping'xiang'zhong'xue
萍中,ping'zhong
葡萄岭,pu'tao'ling
齐民路,qi'min'lu
青龙水泥厂,qing'long'shui'ni'chang
青山道口,qing'shan'dao'kou
青山广场,qing'shan'guang'chang
青山镇,qing'shan'zhen
青山中学,qing'shan'zhong'xue
秋收广场,qiu'shou'guang'chang
秋收广场东区,qiu'shou'guang'chang'dong'qu
秋收广场西区,qiu'shou'guang'chang'xi'qu
秋收起义广场,qiu'shou'qi'yi'guang'chang
区建行,qu'jian'hang
区农业局,qu'nong'ye'ju
区医院,qu'yi'yuan
群艺馆,qun'yi'guan
人民公园,ren'min'gong'yuan
人寿保险公司,ren'shou'bao'xian'gong'si
日星村,ri'xing'cun
塞纳名城,sai'na'ming'cheng
三侯庙,san'hou'miao
三田村,san'tian'cun
三田桥,san'tian'qiao
三湾里,san'wan'li
三医院,san'yi'yuan
三中,san'zhong
山下,shan'xia
善洲村,shan'zhou'cun
商城,shang'cheng
上柳源,shang'liu'yuan
社保局,she'bao'ju
市财政局,shi'cai'zheng'ju
市车管所,shi'che'guan'suo
市国土局,shi'guo'tu'ju
石化大厦,shi'hua'da'sha
市技校,shi'ji'xiao
施家冲,shi'jia'chong
市建行,shi'jian'hang
市建设局,shi'jian'she'ju
市建筑设计院,shi'jian'zhu'she'ji'yuan
市交警支队,shi'jiao'jing'zhi'dui
市交警直属大队,shi'jiao'jing'zhi'shu'da'dui
市民政局,shi'min'zheng'ju
市气象台,shi'qi'xiang'tai
市三医院,shi'san'yi'yuan
市三中,shi'san'zhong
市水泥厂,shi'shui'ni'chang
市委党校,shi'wei'dang'xiao
市烟草公司,shi'yan'cao'gong'si
市医院,shi'yi'yuan
市医院北院,shi'yi'yuan'bei'yuan
市邮政局,shi'you'zheng'ju
市政公司,shi'zheng'gong'si
市中医院,shi'zhong'yi'yuan
水口,shui'kou
水口立交桥,shui'kou'li'jiao'qiao
水口桥,shui'kou'qiao
塑料一厂,su'liao'yi'chang
体育中心,ti'yu'zhong'xin
田家炳中学,tian'jia'bing'zhong'xue
田中,tian'zhong
筒车湾,tong'che'wan
同聚大酒店,tong'ju'da'jiu'dian
桐子坑,tong'zi'keng
万公塘,wan'gong'tang
万龙湾,wan'long'wan
万龙湾路口,wan'long'wan'lu'kou
万龙湾社区,wan'long'wan'she'qu
卫生局,wei'sheng'ju
五丰河,wu'feng'he
武冠集团,wu'guan'ji'tuan
武警支队,wu'jing'zhi'dui
