阿拉伯复兴社会主义,a'la'bo'fu'xing'she'hui'zhu'yi
埃及,ai'ji
埃及以色列和平条约,ai'ji'yi'se'lie'he'ping'tiao'yue
艾奇逊,ai'qi'xun
艾森豪威尔,ai'sen'hao'wei'er
艾森豪威尔主义,ai'sen'hao'wei'er'zhu'yi
爱沙尼亚,ai'sha'ni'ya
安德罗波夫,an'de'luo'bo'fu
安哥拉危机,an'ge'la'wei'ji
安理会常任理事国,an'li'hui'chang'ren'li'shi'guo
澳大利亚,ao'da'li'ya
巴尔干半岛,ba'er'gan'ban'dao
巴格达条约组织,ba'ge'da'tiao'yue'zu'zhi
巴勒斯坦问题,ba'le'si'tan'wen'ti
巴鲁克计划,ba'lu'ke'ji'hua
霸主,ba'zhu
半个超级大国的中国,ban'ge'chao'ji'da'guo'de'zhong'guo
半殖民地理论,ban'zhi'min'di'li'lun
保持中立,bao'chi'zhong'li
保加利亚,bao'jia'li'ya
保卫国家主权和民族资源,bao'wei'guo'jia'zhu'quan'he'min'zu'zi'yuan
包围圈,bao'wei'quan
被保护国,bei'bao'hu'guo
北大西洋公约组织,bei'da'xi'yang'gong'yue'zu'zhi
北约,bei'yue
北约组织的军事化,bei'yue'zu'zhi'de'jun'shi'hua
庇护,bi'hu
避难,bi'nan
边界地区,bian'jie'di'qu
边界谈判,bian'jie'tan'pan
边界现状,bian'jie'xian'zhuang
冰岛雷克雅未克,bing'dao'lei'ke'ya'wei'ke
波茨坦会议,bo'ci'tan'hui'yi
波兰,bo'lan
勃兰特的新东方政策,bo'lan'te'de'xin'dong'fang'zheng'ce
勃列日涅夫主义,bo'lie'ri'nie'fu'zhu'yi
柏林墙,bo'lin'qiang
柏林墙事件,bo'lin'qiang'shi'jian
柏林危机,bo'lin'wei'ji
博斯普鲁斯海峡,bo'si'pu'lu'si'hai'xia
不安全感,bu'an'quan'gan
布达佩斯,bu'da'pei'si
布尔什维克思想,bu'er'shi'wei'ke'si'xiang
部分禁止核试验条约,bu'fen'jin'zhi'he'shi'yan'tiao'yue
不附带任何条件,bu'fu'dai'ren'he'tiao'jian
不结盟国家,bu'jie'meng'guo'jia
不结盟运动,bu'jie'meng'yun'dong
不扩散核武器条约,bu'kuo'san'he'wu'qi'tiao'yue
布雷顿森林体系,bu'lei'dun'sen'lin'ti'xi
布鲁塞尔条约组织,bu'lu'sai'er'tiao'yue'zu'zhi
布什,bu'shi
常规武装,chang'gui'wu'zhuang
常规武装力量条约,chang'gui'wu'zhuang'li'liang'tiao'yue
超级大国,chao'ji'da'guo
朝鲜半岛,chao'xian'ban'dao
朝鲜战争,chao'xian'zhan'zheng
超越遏制战略,chao'yue'e'zhi'zhan'lue
承袭海,cheng'xi'hai
磋商,cuo'shang
达达尼尔海峡,da'da'ni'er'hai'xia
大规模报复,da'gui'mo'bao'fu
大国,da'guo
大国三角,da'guo'san'jiao
大西洋宪章,da'xi'yang'xian'zhang
戴高乐主义,dai'gao'le'zhu'yi
戴维营会谈美埃以,dai'wei'ying'hui'tan'mei'ai'yi
单一欧洲文件,dan'yi'ou'zhou'wen'jian
德国的分裂,de'guo'de'fen'lie
德国统一,de'guo'tong'yi
德国统一的会议,de'guo'tong'yi'de'hui'yi
德洛尔报告,de'luo'er'bao'gao
第二次柏林危机,di'er'ci'bo'lin'wei'ji
第二次冷战,di'er'ci'leng'zhan
第二次世界大战,di'er'ci'shi'jie'da'zhan
第二次中东战争,di'er'ci'zhong'dong'zhan'zheng
第二阶段限制战略武器谈判,di'er'jie'duan'xian'zhi'zhan'lue'wu'qi'tan'pan
帝国主义,di'guo'zhu'yi
地理,di'li
第三次科技革命,di'san'ci'ke'ji'ge'ming
第三次中东战争,di'san'ci'zhong'dong'zhan'zheng
第三世界,di'san'shi'jie
第四点计划,di'si'dian'ji'hua
第五次中东战争,di'wu'ci'zhong'dong'zhan'zheng
第一次中东战争,di'yi'ci'zhong'dong'zhan'zheng
第一阶段限制战略武器谈判,di'yi'jie'duan'xian'zhi'zhan'lue'wu'qi'tan'pan
地缘政治,di'yuan'zheng'zhi
奠边府战役,dian'bian'fu'zhan'yi
东京湾事件,dong'jing'wan'shi'jian
东南亚集体防务条约,dong'nan'ya'ji'ti'fang'wu'tiao'yue
东南亚条约组织,dong'nan'ya'tiao'yue'zu'zhi
东欧革命年,dong'ou'ge'ming'nian
东欧剧变,dong'ou'ju'bian
杜勒斯,du'le'si
杜鲁门主义,du'lu'men'zhu'yi
对苏有限推回政策,dui'su'you'xian'tui'hui'zheng'ce
对无核区承担义务,dui'wu'he'qu'cheng'dan'yi'wu
多极均势格局,duo'ji'jun'shi'ge'ju
多米诺骨牌理论,duo'mi'nuo'gu'pai'li'lun
俄罗斯,e'luo'si
遏制政策,e'zhi'zheng'ce
二百海里海洋权,er'bai'hai'li'hai'yang'quan
法国,fa'guo
法国独立自主的核战略,fa'guo'du'li'zi'zhu'de'he'zhan'lue
法兰西第五共和国,fa'lan'xi'di'wu'gong'he'guo
发展和平友好平等互利长期稳定的关系,fa'zhan'he'ping'you'hao'ping'deng'hu'li'chang'qi'wen'ding'de'guan'xi
发展民族经济,fa'zhan'min'zu'jing'ji
发展中国家,fa'zhan'zhong'guo'jia
反弹道导弹,fan'dan'dao'dao'dan
泛非主义,fan'fei'zhu'yi
贩卖军火,fan'mai'jun'huo
非法审讯,fei'fa'shen'xun
非工业化,fei'gong'ye'hua
非军国主义化,fei'jun'guo'zhu'yi'hua
菲律宾,fei'lv'bin
非斯大林化,fei'si'da'lin'hua
非洲,fei'zhou
芬兰,fen'lan
附庸国,fu'yong'guo
高浚生,gao'jun'sheng
高尚涛,gao'shang'tao
戈尔巴乔夫,ge'er'ba'qiao'fu
葛罗米柯,ge'luo'mi'ke
共产党和工人党情报局,gong'chan'dang'he'gong'ren'dang'qing'bao'ju
公开性,gong'kai'xing
公民投票,gong'min'tou'piao
公认的国际关系原则,gong'ren'de'guo'ji'guan'xi'yuan'ze
共同防御条约,gong'tong'fang'yu'tiao'yue
工业时代,gong'ye'shi'dai
公正和持久的和平,gong'zheng'he'chi'jiu'de'he'ping
古巴导弹危机,gu'ba'dao'dan'wei'ji
孤立主义,gu'li'zhu'yi
关贸总协定,guan'mao'zong'xie'ding
观念分配,guan'nian'fen'pei
关系正常化,guan'xi'zheng'chang'hua
关于建立独立国家联合体协议议定书,guan'yu'jian'li'du'li'guo'jia'lian'he'ti'xie'yi'yi'ding'shu
关于西柏林间题的协定及其附件,guan'yu'xi'bo'lin'jian'ti'de'xie'ding'ji'qi'fu'jian
国防预算,guo'fang'yu'suan
国际法准则,guo'ji'fa'zhun'ze
国际关系,guo'ji'guan'xi
国际关系中最起码的准则,guo'ji'guan'xi'zhong'zui'qi'ma'de'zhun'ze
国际较量,guo'ji'jiao'liang
国际经济新秩序,guo'ji'jing'ji'xin'zhi'xu
国际事务,guo'ji'shi'wu
国际水域,guo'ji'shui'yu
国际体系,guo'ji'ti'xi
国际体系结构,guo'ji'ti'xi'jie'gou
国际形势,guo'ji'xing'shi
国际政治,guo'ji'zheng'zhi
国际秩序,guo'ji'zhi'xu
国家不分大小应该一律平等,guo'jia'bu'fen'da'xiao'ying'gai'yi'lv'ping'deng
国家合并,guo'jia'he'bing
国家体系,guo'jia'ti'xi
国界,guo'jie
哈布斯堡家族,ha'bu'si'bao'jia'zu
哈尔斯坦主义,ha'er'si'tan'zhu'yi
海湾战争,hai'wan'zhan'zheng
海洋资源,hai'yang'zi'yuan
核边缘政策,he'bian'yuan'zheng'ce
核裁军运动,he'cai'jun'yun'dong
核对抗,he'dui'kang
核纪元,he'ji'yuan
赫鲁晓夫,he'lu'xiao'fu
赫鲁晓夫访美与美苏戴维营会谈,he'lu'xiao'fu'fang'mei'yu'mei'su'dai'wei'ying'hui'tan
和平共处,he'ping'gong'chu
和平共处理论,he'ping'gong'chu'li'lun
核时代,he'shi'dai
核时代国际政治,he'shi'dai'guo'ji'zheng'zhi
核威慑理论,he'wei'she'li'lun
核武器,he'wu'qi
核战略的绝对优势,he'zhan'lue'de'jue'dui'you'shi
核战争的边缘,he'zhan'zheng'de'bian'yuan
互谅互让,hu'liang'hu'rang
互通有无,hu'tong'you'wu
华沙条约组织,hua'sha'tiao'yue'zu'zhi
缓和,huan'he
基本权利,ji'ben'quan'li
集体防御机制,ji'ti'fang'yu'ji'zhi
加迪斯,jia'di'si
加特霍夫,jia'te'huo'fu
建立正常的国家关系,jian'li'zheng'chang'de'guo'jia'guan'xi
柬埔寨,jian'pu'zhai
减轻债务负担,jian'qing'zhai'wu'fu'dan
捷克斯洛伐克,jie'ke'si'luo'fa'ke
近东,jin'dong
进攻性战略中程导弹,jin'gong'xing'zhan'lue'zhong'cheng'dao'dan
金融,jin'rong
金融革命,jin'rong'ge'ming
经济大萧条,jing'ji'da'xiao'tiao
经济防火墙,jing'ji'fang'huo'qiang
经济格局,jing'ji'ge'ju
经济互助委员会,jing'ji'hu'zhu'wei'yuan'hui
九国共产党情报局,jiu'guo'gong'chan'dang'qing'bao'ju
居留权,ju'liu'quan
军火商,jun'huo'shang
军控协定,jun'kong'xie'ding
均势,jun'shi
军事分界线,jun'shi'fen'jie'xian
军事基地,jun'shi'ji'di
军事同盟,jun'shi'tong'meng
军事优势,jun'shi'you'shi
卡斯特罗政权,ka'si'te'luo'zheng'quan
卡特的人权外交卡特主义,ka'te'de'ren'quan'wai'jiao'ka'te'zhu'yi
卡特主义,ka'te'zhu'yi
凯南,kai'nan
科克菲尔德报告,ke'ke'fei'er'de'bao'gao
克里米亚战争,ke'li'mi'ya'zhan'zheng
克里姆林宫,ke'li'mu'lin'gong
肯尼迪的多边核力量计划,ken'ni'di'de'duo'bian'he'li'liang'ji'hua
肯尼迪的和平战略,ken'ni'di'de'he'ping'zhan'lue
恐怖活动,kong'bu'huo'dong
孔塔多拉集团,kong'ta'duo'la'ji'tuan
扩张主义国家,kuo'zhang'zhu'yi'guo'jia
拉丁美洲,la'ding'mei'zhou
拉美债务危机,la'mei'zhai'wu'wei'ji
拉脱维亚,la'tuo'wei'ya
老挝,lao'wo
雷克雅未克会谈,lei'ke'ya'wei'ke'hui'tan
冷战,leng'zhan
黎巴嫩战争,li'ba'nen'zhan'zheng
李承晚,li'cheng'wan
里根,li'gen
里根主义,li'gen'zhu'yi
力量对比,li'liang'dui'bi
力量均衡,li'liang'jun'heng
立陶宛,li'tao'wan
联合国安理会,lian'he'guo'an'li'hui
联盟,lian'meng
两极世界,liang'ji'shi'jie
两伊战争,liang'yi'zhan'zheng
零点选择,ling'dian'xuan'ze
领海,ling'hai
领海范围,ling'hai'fan'wei
领海宽度,ling'hai'kuan'du
灵活反应战略常规部队,ling'huo'fan'ying'zhan'lue'chang'gui'bu'dui
领空,ling'kong
领水,ling'shui
领土的不可割让性,ling'tu'de'bu'ke'ge'rang'xing
