爱德华个人偏好量表,ai'de'hua'ge'ren'pian'hao'liang'biao
安置测验,an'zhi'ce'yan
奥尔波特弗农林泽量表,ao'er'bo'te'fu'nong'lin'ze'liang'biao
编图画故事测验,bian'tu'hua'gu'shi'ce'yan
标准参照测验,biao'zhun'can'zhao'ce'yan
波特斯迷津测验,bo'te'si'mi'jin'ce'yan
不引人注意测量,bu'yin'ren'zhu'yi'ce'liang
参照测量,can'zhao'ce'liang
测量,ce'liang
测量量表,ce'liang'liang'biao
测验标准化,ce'yan'biao'zhun'hua
测验的效度,ce'yan'de'xiao'du
测验机智,ce'yan'ji'zhi
测验焦虑,ce'yan'jiao'lv
测验偏向,ce'yan'pian'xiang
测验实施,ce'yan'shi'shi
测验中的文化偏向,ce'yan'zhong'de'wen'hua'pian'xiang
测验中的种族偏向,ce'yan'zhong'de'zhong'zu'pian'xiang
常模,chang'mo
常模参照测验,chang'mo'can'zhao'ce'yan
诚实测验,cheng'shi'ce'yan
抽样,chou'yang
抽样调查中的访谈,chou'yang'diao'cha'zhong'de'fang'tan
词汇测验,ci'hui'ce'yan
词汇量测量,ci'hui'liang'ce'liang
词语联想测验,ci'yu'lian'xiang'ce'yan
第一次世界大战时的军队测验,di'yi'ci'shi'jie'da'zhan'shi'de'jun'dui'ce'yan
调查表,diao'cha'biao
方差分析,fang'cha'fen'xi
房屋树人测验,fang'wu'shu'ren'ce'yan
非语词测验,fei'yu'ci'ce'yan
个案研究法,ge'an'yan'jiu'fa
格特曼量表,ge'te'man'liang'biao
观察法,guan'cha'fa
霍兹曼墨渍技术,huo'zi'man'mo'zi'ji'shu
积木图案测验,ji'mu'tu'an'ce'yan
计算机管理测验,ji'suan'ji'guan'li'ce'yan
角色扮演测验,jiao'se'ban'yan'ce'yan
句子完成测验,ju'zi'wan'cheng'ce'yan
可读性测量,ke'du'xing'ce'liang
客观测验,ke'guan'ce'yan
控制组,kong'zhi'zu
口述测验,kou'shu'ce'yan
拉希测量模式,la'xi'ce'liang'mo'shi
勒特国际操作量表,le'te'guo'ji'cao'zuo'liang'biao
雷斯特确定问题测验,lei'si'te'que'ding'wen'ti'ce'yan
利克特量表,li'ke'te'liang'biao
罗夏测验,luo'xia'ce'yan
米勒类比测验,mi'le'lei'bi'ce'yan
密执安图片测验,mi'zhi'an'tu'pian'ce'yan
民意测验,min'yi'ce'yan
明尼苏达多相人格调查表,ming'ni'su'da'duo'xiang'ren'ge'diao'cha'biao
内容参照测验,nei'rong'can'zhao'ce'yan
排除文化影响的测验,pai'chu'wen'hua'ying'xiang'de'ce'yan
皮博迪图片词汇测验,pi'bo'di'tu'pian'ci'hui'ce'yan
评定者误差,ping'ding'zhe'wu'cha
潜影测验,qian'ying'ce'yan
区分度,qu'fen'du
人对人的评定量表,ren'dui'ren'de'ping'ding'liang'biao
瑟斯顿量表,se'si'dun'liang'biao
社会测量,she'hui'ce'liang
社会距离量表,she'hui'ju'li'liang'biao
实验者效应,shi'yan'zhe'xiao'ying
顺应性测验,shun'ying'xing'ce'yan
斯坦福比纳智力量表,si'tan'fu'bi'na'zhi'li'liang'biao
斯坦福成就测验,si'tan'fu'cheng'jiu'ce'yan
速度和能力测验,su'du'he'neng'li'ce'yan
态度测量,tai'du'ce'liang
泰勒评价模式,tai'le'ping'jia'mo'shi
题库,ti'ku
统计污染,tong'ji'wu'ran
投射技术,tou'she'ji'shu
团体测验和个别测验,tuan'ti'ce'yan'he'ge'bie'ce'yan
外语操作测验,wai'yu'cao'zuo'ce'yan
外语口语能力测验,wai'yu'kou'yu'neng'li'ce'yan
完形测验,wan'xing'ce'yan
韦克斯勒智力测验,wei'ke'si'le'zhi'li'ce'yan
文化平等评价,wen'hua'ping'deng'ping'jia
问卷法,wen'juan'fa
温特列克人事测验,wen'te'lie'ke'ren'shi'ce'yan
西肖尔音乐能力测验,xi'xiao'er'yin'yue'neng'li'ce'yan
现场研究,xian'chang'yan'jiu
项目编写技术,xiang'mu'bian'xie'ji'shu
项目抽样,xiang'mu'chou'yang
协方差分析,xie'fang'cha'fen'xi
心理测验,xin'li'ce'yan
心理学报告,xin'li'xue'bao'gao
心理学中的统计,xin'li'xue'zhong'de'tong'ji
行为固定等级量表,xing'wei'gu'ding'deng'ji'liang'biao
虚无假设检验,xu'wu'jia'she'jian'yan
选拔测验,xuan'ba'ce'yan
样本,yang'ben
因素分析,yin'su'fen'xi
语义区分法,yu'yi'qu'fen'fa
阅读理解测验,yue'du'li'jie'ce'yan
真分数,zhen'fen'shu
纸笔智力测验,zhi'bi'zhi'li'ce'yan
智力测量,zhi'li'ce'liang
智力测验的历史,zhi'li'ce'yan'de'li'shi
智力分数,zhi'li'fen'shu
职业兴趣测量,zhi'ye'xing'qu'ce'liang
主题统觉测验,zhu'ti'tong'jue'ce'yan
子女回归定律,zi'nv'hui'gui'ding'lv
总体,zong'ti
作业评定,zuo'ye'ping'ding
