表情焦虑,biao'qing'jiao'lv
不肿,bu'zhong
测井公司,ce'jing'gong'si
查体合作,cha'ti'he'zuo
乘二村,cheng'er'cun
乘风庄,cheng'feng'zhuang
定期监测,ding'qi'jian'ce
发育正常,fa'yu'zheng'chang
复查,fu'cha
腹软,fu'ruan
肝脾肋下未及,gan'pi'lei'xia'wei'ji
各瓣膜听诊区无杂音,ge'ban'mo'ting'zhen'qu'wu'za'yin
黑矇,hei'meng
喉中,hou'zhong
呼吸音,hu'xi'yin
静点,jing'dian
颈软,jing'ruan
咳痰,ke'tan
离院,li'yuan
律齐,lv'qi
门诊随诊,men'zhen'sui'zhen
粘液,nian'ye
怒张,nu'zhang
气管居中,qi'guan'ju'zhong
上腹,shang'fu
神清语明,shen'qing'yu'ming
双肺,shuang'fei
双下肢,shuang'xia'zhi
无浮肿,wu'fu'zhong
无压痛及反跳痛,wu'ya'tong'ji'fan'tiao'tong
吸痰,xi'tan
咽充血,yan'chong'xue
银浪,yin'lang
银浪村,yin'lang'cun
银浪库,yin'lang'ku
营养中等,ying'yang'zhong'deng
右肺,you'fei
油田总医院,you'tian'zong'yi'yuan
远望,yuan'wang
粘痰,zhan'tan
嘱患者,zhu'huan'zhe
嘱其,zhu'qi
自主体位,zi'zhu'ti'wei
左肺,zuo'fei
