阿信屋,a'xin'wu
安安,an'an
安美露,an'mei'lu
昂坪,ang'ping
奥海城,ao'hai'cheng
澳门了,ao'men'le
八半,ba'ban
八达通,ba'da'tong
巴士,ba'shi
巴士上,ba'shi'shang
巴士站,ba'shi'zhan
芭提雅,ba'ti'ya
白盾,bai'dun
百佳,bai'jia
百老汇,bai'lao'hui
板长,ban'chang
半岛酒店,ban'dao'jiu'dian
班房,ban'fang
半山,ban'shan
办证件,ban'zheng'jian
棒棒堂,bang'bang'tang
保良局,bao'liang'ju
抱著你,bao'zhu'ni
抱著我,bao'zhu'wo
北海道,bei'hai'dao
北角,bei'jiao
碧君,bi'jun
比卡超,bi'ka'chao
必理通,bi'li'tong
鼻敏感,bi'min'gan
比你地,bi'ni'di
比香港,bi'xiang'gang
毕业证明,bi'ye'zheng'ming
薄扶林,bo'fu'lin
博览馆,bo'lan'guan
波鞋,bo'xie
波鞋街,bo'xie'jie
不在香港,bu'zai'xiang'gang
茶餐厅,cha'can'ting
差五多,cha'wu'duo
长沙湾,chang'sha'wan
长洲岛,chang'zhou'dao
陈诗颖,chen'shi'ying
城巴,cheng'ba
城大,cheng'da
程式,cheng'shi
城市大学,cheng'shi'da'xue
池记,chi'ji
崇光百货,chong'guang'bai'huo
崇基,chong'ji
重庆大厦,chong'qing'da'sha
抽湿机,chou'shi'ji
出香港,chu'xiang'gang
出於,chu'yu
出闸,chu'zha
储值,chu'zhi
吹乾,chui'qian
慈云山,ci'yun'shan
从香港,cong'xiang'gang
翠华,cui'hua
寸土寸金,cun'tu'cun'jin
存摺,cun'zhe
大澳,da'ao
大埔,da'bu
大埔墟,da'bu'xu
大埔仔,da'bu'zai
搭船,da'chuan
大公报,da'gong'bao
大家姐,da'jia'jie
大角咀,da'jiao'zui
大陆卡,da'lu'ka
大陆人,da'lu'ren
大陆生,da'lu'sheng
大帽山,da'mao'shan
达瑞斯,da'rui'si
大三巴,da'san'ba
大水坑,da'shui'keng
大围,da'wei
大喜屋,da'xi'wu
大学站,da'xue'zhan
大眼仔,da'yan'zai
大於,da'yu
大屿山,da'yu'shan
单程证,dan'cheng'zheng
到了香港,dao'le'xiang'gang
到罗湖,dao'luo'hu
到深圳了,dao'shen'zhen'le
到香港,dao'xiang'gang
到香港了,dao'xiang'gang'le
德福,de'fu
德辅道,de'fu'dao
登打士街,deng'da'shi'jie
迪迪尼,di'di'ni
抵港,di'gang
