阿而胜之,a'er'sheng'zhi
爱恶天下可秘,ai'e'tian'xia'ke'mi
爱恶重闭必固,ai'e'zhong'bi'bi'gu
爱而使之,ai'er'shi'zhi
爱而无亲则流,ai'er'wu'qin'ze'liu
爱民无私曰德,ai'min'wu'si'yue'de
爱民之道奈何,ai'min'zhi'dao'nai'he
爱其力,ai'qi'li
爱气之潜然而哀,ai'qi'zhi'qian'ran'er'ai
爱且不能为我能也,ai'qie'bu'neng'wei'wo'neng'ye
爱亲善养,ai'qin'shan'yang
蔼然若夏之静云,ai'ran'ruo'xia'zhi'jing'yun
爱人而私赏之,ai'ren'er'si'shang'zhi
爱人甚而不能利也,ai'ren'shen'er'bu'neng'li'ye
爱赏者无贪心,ai'shang'zhe'wu'tan'xin
爱施俱行,ai'shi'ju'xing
爱施所设,ai'shi'suo'she
爱施之德虽行而无私,ai'shi'zhi'de'sui'xing'er'wu'si
爱施之德也,ai'shi'zhi'de'ye
爱四封之内,ai'si'feng'zhi'nei
爱有所移,ai'you'suo'yi
爱欲静之,ai'yu'jing'zhi
爱者憎之始也,ai'zhe'zeng'zhi'shi'ye
爱之,ai'zhi
爱之利之,ai'zhi'li'zhi
爱之则亲,ai'zhi'ze'qin
安得二天下而杀之,an'de'er'tian'xia'er'sha'zhi
安得名圣,an'de'ming'sheng
安得无危,an'de'wu'wei
安得已然,an'de'yi'ran
安得有其实,an'de'you'qi'shi
安而尊,an'er'zun
案法式而验得失,an'fa'shi'er'yan'de'shi
案法试课成功,an'fa'shi'ke'cheng'gong
安高在乎同利,an'gao'zai'hu'tong'li
安固而不动,an'gu'er'bu'dong
案家人比地,an'jia'ren'bi'di
安能圉我,an'neng'yu'wo
案其当宜,an'qi'dang'yi
安其土,an'qi'tu
案其罪而行罚,an'qi'zui'er'xing'fa
按强助弱,an'qiang'zhu'ruo
安卿大夫之家,an'qing'da'fu'zhi'jia
安情性,an'qing'xing
按实而定名,an'shi'er'ding'ming
安始而可,an'shi'er'ke
安水藏,an'shui'cang
案田而税,an'tian'er'shui
安天下之危者也,an'tian'xia'zhi'wei'zhe'ye
安危者与人,an'wei'zhe'yu'ren
安危之本也,an'wei'zhi'ben'ye
安危之机七,an'wei'zhi'ji'qi
安乡重家则敬上畏罪,an'xiang'zhong'jia'ze'jing'shang'wei'zui
安乡重家则虽变俗易习,an'xiang'zhong'jia'ze'sui'bian'su'yi'xi
安徐而静,an'xu'er'jing
安也者心也,an'ye'zhe'xin'ye
安以其余修兵革,an'yi'qi'yu'xiu'bing'ge
安之奈何,an'zhi'nai'he
安知所怨,an'zhi'suo'yuan
案之以法,an'zhi'yi'fa
安之者心也,an'zhi'zhe'xin'ye
安主上,an'zhu'shang
敖其妇女,ao'qi'fu'nv
八分有职,ba'fen'you'zhi
八观第十三,ba'guan'di'shi'san
八会诸侯,ba'hui'zhu'hou
八举而胜行威立,ba'ju'er'sheng'xing'wei'li
八举时节,ba'ju'shi'jie
罢民力,ba'min'li
罢女无家,ba'nv'wu'jia
八十四尺而至于泉,ba'shi'si'chi'er'zhi'yu'quan
罢士无伍,ba'shi'wu'wu
八十以上,ba'shi'yi'shang
八十已上,ba'shi'yi'shang
霸王不在成曲,ba'wang'bu'zai'cheng'qu
霸王者有时,ba'wang'zhe'you'shi
霸王之君兴,ba'wang'zhi'jun'xing
霸王之事也,ba'wang'zhi'shi'ye
霸王之形,ba'wang'zhi'xing
霸王之资也,ba'wang'zhi'zi'ye
霸形第二十二,ba'xing'di'er'shi'er
霸言第二十三,ba'yan'di'er'shi'san
八曰举狼章,ba'yue'ju'lang'zhang
八曰振困,ba'yue'zhen'kun
八者各得其义,ba'zhe'ge'de'qi'yi
霸者生功,ba'zhe'sheng'gong
霸主积于将战士,ba'zhu'ji'yu'jiang'zhan'shi
百步之外,bai'bu'zhi'wai
白昌,bai'chang
百虫乃蕃,bai'chong'nai'fan
百川道,bai'chuan'dao
白稻长狭,bai'dao'chang'xia
败敌人谋之,bai'di'ren'mou'zhi
败而不可饰也,bai'er'bu'ke'shi'ye
百而当一,bai'er'dang'yi
百二十六尺而至于泉,bai'er'shi'liu'chi'er'zhi'yu'quan
百盖无筑,bai'gai'wu'zhu
百工不失其功,bai'gong'bu'shi'qi'gong
百工商贾不得服长鬈貂,bai'gong'shang'gu'bu'de'fu'chang'quan'diao
百官分职致治以安国家,bai'guan'fen'zhi'zhi'zhi'yi'an'guo'jia
百官服事者离法而治,bai'guan'fu'shi'zhe'li'fa'er'zhi
百官论职,bai'guan'lun'zhi
百官识,bai'guan'shi
百官守其事,bai'guan'shou'qi'shi
百官虽具,bai'guan'sui'ju
百官条通,bai'guan'tiao'tong
