阿苯边唑,a'ben'bian'zuo
阿米巴,a'mi'ba
阿米巴痢疾,a'mi'ba'li'ji
阿莫西林,a'mo'xi'lin
阿奇霉素,a'qi'mei'su
阿昔洛韦,a'xi'luo'wei
埃博拉,ai'bo'la
埃博拉病毒,ai'bo'la'bing'du
埃博拉出血热,ai'bo'la'chu'xue're
埃尔托弧菌,ai'er'tuo'hu'jun
埃尔托生物型,ai'er'tuo'sheng'wu'xing
爱国卫生运动,ai'guo'wei'sheng'yun'dong
埃及伊蚊,ai'ji'yi'wen
艾滋病,ai'zi'bing
艾滋病病毒,ai'zi'bing'bing'du
艾滋病病人,ai'zi'bing'bing'ren
艾滋病初筛实验室,ai'zi'bing'chu'shai'shi'yan'shi
艾滋病毒感染,ai'zi'bing'du'gan'ran
艾滋病毒感染者,ai'zi'bing'du'gan'ran'zhe
艾滋病防治,ai'zi'bing'fang'zhi
艾滋病防治科,ai'zi'bing'fang'zhi'ke
艾滋病防治条例,ai'zi'bing'fang'zhi'tiao'li
艾滋病感染,ai'zi'bing'gan'ran
艾滋病感染者,ai'zi'bing'gan'ran'zhe
艾滋病抗体,ai'zi'bing'kang'ti
艾滋病科,ai'zi'bing'ke
艾滋病筛查,ai'zi'bing'shai'cha
艾滋病疫苗,ai'zi'bing'yi'miao
艾滋病咨询室,ai'zi'bing'zi'xun'shi
氨苄,an'bian
氨苄毒霉素,an'bian'du'mei'su
氨苄西林,an'bian'xi'lin
暗娼,an'chang
安络血,an'luo'xue
安全防护,an'quan'fang'hu
安全套,an'quan'tao
安全套推广,an'quan'tao'tui'guang
安全性行为,an'quan'xing'xing'wei
安全注射,an'quan'zhu'she
按蚊,an'wen
巴比妥,ba'bi'tuo
靶器官,ba'qi'guan
巴氏消毒,ba'shi'xiao'du
百白破,bai'bai'po
百白破混合疫苗,bai'bai'po'hun'he'yi'miao
百白破精制疫苗,bai'bai'po'jing'zhi'yi'miao
百白破菌苗,bai'bai'po'jun'miao
百白破联合疫苗,bai'bai'po'lian'he'yi'miao
白白破三联疫苗,bai'bai'po'san'lian'yi'miao
百白破三联疫苗,bai'bai'po'san'lian'yi'miao
百白破疫苗,bai'bai'po'yi'miao
白蛋白,bai'dan'bai
白腹巨鼠,bai'fu'ju'shu
白喉,bai'hou
白喉棒状杆菌,bai'hou'bang'zhuang'gan'jun
白喉抗毒素,bai'hou'kang'du'su
白喉类毒素,bai'hou'lei'du'su
白介素,bai'jie'su
白内障,bai'nei'zhang
白破,bai'po
白破二联,bai'po'er'lian
白破疫苗,bai'po'yi'miao
百日咳,bai'ri'ke
百日咳杆菌,bai'ri'ke'gan'jun
白色念珠菌,bai'se'nian'zhu'jun
白纹伊蚊,bai'wen'yi'wen
白细胞,bai'xi'bao
白细胞计数,bai'xi'bao'ji'shu
白细胞介素,bai'xi'bao'jie'su
白血病,bai'xue'bing
败血症,bai'xue'zheng
柏油样便,bai'you'yang'bian
板齿鼠,ban'chi'shu
半抗原,ban'kang'yuan
斑丘疹,ban'qiu'zhen
班氏丝虫,ban'shi'si'chong
半数致死量,ban'shu'zhi'si'liang
斑疹,ban'zhen
斑疹伤寒,ban'zhen'shang'han
办证室,ban'zheng'shi
棒状杆菌,bang'zhuang'gan'jun
报病率,bao'bing'lv
报病数,bao'bing'shu
包虫病,bao'chong'bing
保虫宿主,bao'chong'su'zhu
保存宿主,bao'cun'su'zhu
暴发,bao'fa
暴发调查,bao'fa'diao'cha
暴发流行,bao'fa'liu'xing
暴发型,bao'fa'xing
暴发疫情,bao'fa'yi'qing
报告病例,bao'gao'bing'li
报告接种率,bao'gao'jie'zhong'lv
报告卡,bao'gao'ka
报告日期,bao'gao'ri'qi
报告时限,bao'gao'shi'xian
报告总结,bao'gao'zong'jie
保护率,bao'hu'lv
保护效果,bao'hu'xiao'guo
保护性抗体,bao'hu'xing'kang'ti
保护性抗原,bao'hu'xing'kang'yuan
保护易感人群,bao'hu'yi'gan'ren'qun
保护易感者,bao'hu'yi'gan'zhe
暴露,bao'lu
暴露后,bao'lu'hou
暴露前,bao'lu'qian
暴露人群,bao'lu'ren'qun
暴露者,bao'lu'zhe
暴露组,bao'lu'zu
包膜蛋白,bao'mo'dan'bai
鲍氏,bao'shi
保守疗法,bao'shou'liao'fa
报销比例,bao'xiao'bi'li
被动免疫,bei'dong'mian'yi
被动免疫抗体,bei'dong'mian'yi'kang'ti
被动吸烟,bei'dong'xi'yan
北京福尔,bei'jing'fu'er
北京生物制品研究所,bei'jing'sheng'wu'zhi'pin'yan'jiu'suo
北京生研所,bei'jing'sheng'yan'suo
北京天坛,bei'jing'tian'tan
苯巴比妥,ben'ba'bi'tuo
本月实种,ben'yue'shi'zhong
本月应种,ben'yue'ying'zhong
鼻窦炎,bi'dou'yan
避光保存,bi'guang'bao'cun
鼻咽部,bi'yan'bu
鼻咽分泌物,bi'yan'fen'mi'wu
避孕套,bi'yun'tao
便标本,bian'biao'ben
便常规,bian'chang'gui
鞭虫,bian'chong
变量,bian'liang
鞭毛,bian'mao
鞭毛虫,bian'mao'chong
扁平湿疣,bian'ping'shi'you
扁平细胞,bian'ping'xi'bao
扁平疣,bian'ping'you
变态反应,bian'tai'fan'ying
变态反应性疾病,bian'tai'fan'ying'xing'ji'bing
扁桃体,bian'tao'ti
扁桃体炎,bian'tao'ti'yan
扁桃腺,bian'tao'xian
变形杆菌,bian'xing'gan'jun
变异,bian'yi
变异株,bian'yi'zhu
标本采集,biao'ben'cai'ji
标化死亡率,biao'hua'si'wang'lv
表面抗体,biao'mian'kang'ti
表面抗原,biao'mian'kang'yuan
表面抗原阳性,biao'mian'kang'yuan'yang'xing
标准差,biao'zhun'cha
标准化法,biao'zhun'hua'fa
标准误,biao'zhun'wu
标准样,biao'zhun'yang
标准组群抽样,biao'zhun'zu'qun'chou'yang
病从口入,bing'cong'kou'ru
病毒繁殖,bing'du'fan'zhi
病毒分离,bing'du'fen'li
病毒复制,bing'du'fu'zhi
病毒颗粒,bing'du'ke'li
病毒携带者,bing'du'xie'dai'zhe
病毒性肝炎,bing'du'xing'gan'yan
病毒性疾病,bing'du'xing'ji'bing
病毒血症,bing'du'xue'zheng
病毒载量,bing'du'zai'liang
病毒株,bing'du'zhu
并发症,bing'fa'zheng
丙类传染病,bing'lei'chuan'ran'bing
病例对照,bing'li'dui'zhao
病理损害,bing'li'sun'hai
病例统计,bing'li'tong'ji
病例组,bing'li'zu
病媒生物,bing'mei'sheng'wu
冰排,bing'pai
病史,bing'shi
病死率,bing'si'lv
冰箱温度记录,bing'xiang'wen'du'ji'lu
丙型,bing'xing
丙型病毒性肝炎,bing'xing'bing'du'xing'gan'yan
丙型肝炎,bing'xing'gan'yan
病因,bing'yin
病原特征,bing'yuan'te'zheng
病原携带,bing'yuan'xie'dai
病原携带者,bing'yuan'xie'dai'zhe
病愿携带者,bing'yuan'xie'dai'zhe
病原学,bing'yuan'xue
丙种球蛋白,bing'zhong'qiu'dan'bai
伯氨喹,bo'an'kui
波状热,bo'zhuang're
布病,bu'bing
布病疫苗,bu'bing'yi'miao
补充电解质,bu'chong'dian'jie'zhi
不得接种,bu'de'jie'zhong
不规则热,bu'gui'ze're
不合格接种,bu'he'ge'jie'zhong
布菌,bu'jun
不良反应,bu'liang'fan'ying
布鲁菌,bu'lu'jun
布鲁菌病,bu'lu'jun'bing
布鲁氏菌病,bu'lu'shi'jun'bing
不明原因发热,bu'ming'yuan'yin'fa're
不明原因肺炎,bu'ming'yuan'yin'fei'yan
不能接种,bu'neng'jie'zhong
哺乳期,bu'ru'qi
布氏病,bu'shi'bing
布氏杆菌,bu'shi'gan'jun
布氏菌,bu'shi'jun
布氏菌苗,bu'shi'jun'miao
布氏田鼠,bu'shi'tian'shu
布氏症,bu'shi'zheng
补体,bu'ti
补体系统,bu'ti'xi'tong
补液,bu'ye
不宜接种,bu'yi'jie'zhong
不育症,bu'yu'zheng
补证,bu'zheng
补种,bu'zhong
补种儿童,bu'zhong'er'tong
采供血机构,cai'gong'xue'ji'gou
采集标本,cai'ji'biao'ben
采取措施,cai'qu'cuo'shi
残留麻痹,can'liu'ma'bi
仓鼠,cang'shu
草原黄鼠,cao'yuan'huang'shu
厕蝇,ce'ying
查漏补种,cha'lou'bu'zhong
产毒性大肠杆菌,chan'du'xing'da'chang'gan'jun
产褥期,chan'ru'qi
肠出血性大肠杆菌,chang'chu'xue'xing'da'chang'gan'jun
肠穿孔,chang'chuan'kong
长春长生,chang'chun'chang'sheng
长春生物制品研究所,chang'chun'sheng'wu'zhi'pin'yan'jiu'suo
长春生研所,chang'chun'sheng'yan'suo
长春万信,chang'chun'wan'xin
肠道病毒,chang'dao'bing'du
肠道传染病,chang'dao'chuan'ran'bing
肠道门诊,chang'dao'men'zhen
肠道黏膜,chang'dao'nian'mo
肠毒素,chang'du'su
常规免疫,chang'gui'mian'yi
常规免疫报表,chang'gui'mian'yi'bao'biao
常规免疫接种报表,chang'gui'mian'yi'jie'zhong'bao'biao
常规免疫接种率,chang'gui'mian'yi'jie'zhong'lv
常规免疫接种率报告,chang'gui'mian'yi'jie'zhong'lv'bao'gao
常见病,chang'jian'bing
长生,chang'sheng
肠鼠疫,chang'shu'yi
肠炭疽,chang'tan'ju
肠套叠,chang'tao'die
肠致病性大肠杆菌,chang'zhi'bing'xing'da'chang'gan'jun
常住儿童,chang'zhu'er'tong
潮红,chao'hong
超敏反应,chao'min'fan'ying
超声显像,chao'sheng'xian'xiang
超重,chao'zhong
尘肺,chen'fei
成大,cheng'da
成大速达,cheng'da'su'da
成大速大,cheng'da'su'da
成都精制乙脑,cheng'du'jing'zhi'yi'nao
成都生物制品研究所,cheng'du'sheng'wu'zhi'pin'yan'jiu'suo
成都生研所,cheng'du'sheng'yan'suo
迟报,chi'bao
痴呆,chi'dai
迟缓性麻痹,chi'huan'xing'ma'bi
驰缓性麻痹,chi'huan'xing'ma'bi
驰缓性肢体麻痹,chi'huan'xing'zhi'ti'ma'bi
持久性流行,chi'jiu'xing'liu'xing
尺神经,chi'shen'jing
持续性免疫,chi'xu'xing'mian'yi
持续性消毒,chi'xu'xing'xiao'du
驰张热,chi'zhang're
充分摇匀,chong'fen'yao'yun
重复感染,chong'fu'gan'ran
重复接种,chong'fu'jie'zhong
虫媒传染病,chong'mei'chuan'ran'bing
重庆智飞,chong'qing'zhi'fei
充血,chong'xue
充血性,chong'xue'xing
臭虫,chou'chong
臭氧,chou'yang
抽样,chou'yang
抽样调查,chou'yang'diao'cha
抽样误差,chou'yang'wu'cha
储存宿主,chu'cun'su'zhu
处方药,chu'fang'yao
除氟,chu'fu
初免,chu'mian
初免月龄,chu'mian'yue'ling
初筛,chu'shai
初筛实验室,chu'shai'shi'yan'shi
初筛阳性,chu'shai'yang'xing
初筛阴性,chu'shai'yin'xing
出生率,chu'sheng'lv
出生日期,chu'sheng'ri'qi
出血点,chu'xue'dian
出血热,chu'xue're
出血热病毒,chu'xue're'bing'du
出血热疫苗,chu'xue're'yi'miao
出血性大肠杆菌,chu'xue'xing'da'chang'gan'jun
出疹期,chu'zhen'qi
初治,chu'zhi
初治病人,chu'zhi'bing'ren
初治除阴,chu'zhi'chu'yin
初治涂阳,chu'zhi'tu'yang
初种,chu'zhong
传播,chuan'bo
传播媒介,chuan'bo'mei'jie
传播速度,chuan'bo'su'du
传播途径,chuan'bo'tu'jing
传播迅速,chuan'bo'xun'su
传染,chuan'ran
传染病,chuan'ran'bing
