按摩,an'mo
暗示疗法,an'shi'liao'fa
被动运动,bei'dong'yun'dong
本人参与,ben'ren'can'yu
并发症,bing'fa'zheng
病伤残者,bing'shang'can'zhe
不可逆,bu'ke'ni
残存功能,can'cun'gong'neng
残疾者,can'ji'zhe
残障者,can'zhang'zhe
城乡医疗卫生网,cheng'xiang'yi'liao'wei'sheng'wang
重返社会,chong'fan'she'hui
重建,chong'jian
促进功能恢复,cu'jin'gong'neng'hui'fu
催眠疗法,cui'mian'liao'fa
大脑发育迟缓,da'nao'fa'yu'chi'huan
单音刺激,dan'yin'ci'ji
独立生活,du'li'sheng'huo
读字练习,du'zi'lian'xi
多科性,duo'ke'xing
多学科相配套,duo'xue'ke'xiang'pei'tao
二级预防,er'ji'yu'fang
儿童脑性瘫痪,er'tong'nao'xing'tan'huan
儿童听力及语言障碍,er'tong'ting'li'ji'yu'yan'zhang'ai
发音器官练习,fa'yin'qi'guan'lian'xi
防止永久性残疾,fang'zhi'yong'jiu'xing'can'ji
服务内容,fu'wu'nei'rong
复原,fu'yuan
辅助器,fu'zhu'qi
改善功能,gai'shan'gong'neng
感官及智力残疾,gan'guan'ji'zhi'li'can'ji
高级神经功能障碍,gao'ji'shen'jing'gong'neng'zhang'ai
个体能力障碍,ge'ti'neng'li'zhang'ai
个体水平,ge'ti'shui'ping
功能性电刺激,gong'neng'xing'dian'ci'ji
功能障碍,gong'neng'zhang'ai
功能装备矫形器,gong'neng'zhuang'bei'jiao'xing'qi
构音机构练习,gou'yin'ji'gou'lian'xi
构音异常,gou'yin'yi'chang
骨干康复医疗机构,gu'gan'kang'fu'yi'liao'ji'gou
骨关节肌肉疾病和伤残,gu'guan'jie'ji'rou'ji'bing'he'shang'can
关节炎,guan'jie'yan
关节置换术后,guan'jie'zhi'huan'shu'hou
冠心病,guan'xin'bing
冠状动脉搭桥术后,guan'zhuang'dong'mai'da'qiao'shu'hou
广泛性,guang'fan'xing
国际残损残疾残障分类,guo'ji'can'sun'can'ji'can'zhang'fen'lei
后遗症,hou'yi'zheng
恢复,hui'fu
恢复患者功能,hui'fu'huan'zhe'gong'neng
回归社会,hui'gui'she'hui
会话练习,hui'hua'lian'xi
基本任务,ji'ben'ren'wu
基层康复,ji'ceng'kang'fu
继发症,ji'fa'zheng
积极矫治,ji'ji'jiao'zhi
脊髓损伤,ji'sui'sun'shang
脊柱侧弯,ji'zhu'ce'wan
假肢,jia'zhi
假肢与矫形器师,jia'zhi'yu'jiao'xing'qi'shi
教育康复,jiao'yu'kang'fu
接受康复服务,jie'shou'kang'fu'fu'wu
截瘫,jie'tan
截肢断肢再植术后,jie'zhi'duan'zhi'zai'zhi'shu'hou
进行性肌萎缩,jin'xing'xing'ji'wei'suo
经皮神经电刺激,jing'pi'shen'jing'dian'ci'ji
精神病,jing'shen'bing
精神残疾,jing'shen'can'ji
精神神经症,jing'shen'shen'jing'zheng
精神支持疗法,jing'shen'zhi'chi'liao'fa
颈椎病,jing'zhui'bing
局部冷疗,ju'bu'leng'liao
具体目标,ju'ti'mu'biao
康复,kang'fu
康复传统,kang'fu'chuan'tong
康复对策,kang'fu'dui'ce
康复服务方式,kang'fu'fu'wu'fang'shi
康复服务计划,kang'fu'fu'wu'ji'hua
康复概念,kang'fu'gai'nian
康复工程,kang'fu'gong'cheng
康复工作,kang'fu'gong'zuo
康复护理,kang'fu'hu'li
康复机构,kang'fu'ji'gou
康复机构的康复,kang'fu'ji'gou'de'kang'fu
康复介入,kang'fu'jie'ru
康复科,kang'fu'ke
康复评定,kang'fu'ping'ding
康复人员,kang'fu'ren'yuan
康复人员培训中心,kang'fu'ren'yuan'pei'xun'zhong'xin
康复设备,kang'fu'she'bei
康复试点,kang'fu'shi'dian
康复问题,kang'fu'wen'ti
康复意见,kang'fu'yi'jian
康复医师,kang'fu'yi'shi
康复医师培训基地,kang'fu'yi'shi'pei'xun'ji'di
康复医学,kang'fu'yi'xue
康复医学的工作方式,kang'fu'yi'xue'de'gong'zuo'fang'shi
康复医学定义范围,kang'fu'yi'xue'ding'yi'fan'wei
康复医学队伍,kang'fu'yi'xue'dui'wu
康复医学发展史,kang'fu'yi'xue'fa'zhan'shi
康复医学范围,kang'fu'yi'xue'fan'wei
康复医学概论,kang'fu'yi'xue'gai'lun
康复医学工作,kang'fu'yi'xue'gong'zuo
康复医学科,kang'fu'yi'xue'ke
康复医学事业,kang'fu'yi'xue'shi'ye
康复医院,kang'fu'yi'yuan
康复预防,kang'fu'yu'fang
康复预防三层次,kang'fu'yu'fang'san'ceng'ci
康复治疗,kang'fu'zhi'liao
康复治疗方案,kang'fu'zhi'liao'fang'an
康复治疗士,kang'fu'zhi'liao'shi
康复治疗组,kang'fu'zhi'liao'zu
康复中心,kang'fu'zhong'xin
可逆,ke'ni
理疗士,li'liao'shi
理疗师,li'liao'shi
颅脑损伤,lu'nao'sun'shang
轮椅,lun'yi
慢性疾病,man'xing'ji'bing
慢性疼痛,man'xing'teng'tong
门诊,men'zhen
民政部,min'zheng'bu
脑血管意外,nao'xue'guan'yi'wai
培训基地,pei'xun'ji'di
器官水平,qi'guan'shui'ping
其他残疾,qi'ta'can'ji
潜在,qian'zai
轻度残疾,qing'du'can'ji
全面康复,quan'mian'kang'fu
日常生活活动,ri'chang'sheng'huo'huo'dong
弱智,ruo'zhi
三级预防,san'ji'yu'fang
上门康复服务,shang'men'kang'fu'fu'wu
社会工作者,she'hui'gong'zuo'zhe
社会康复,she'hui'kang'fu
社会水平,she'hui'shui'ping
社会性,she'hui'xing
社会职能,she'hui'zhi'neng
社区康复,she'qu'kang'fu
社区康复试点,she'qu'kang'fu'shi'dian
社区资源,she'qu'zi'yuan
