哀公,ai'gong
安史之乱,an'shi'zhi'luan
把秦国的,ba'qin'guo'de
巴蜀,ba'shu
百家语,bai'jia'yu
白起,bai'qi
百越,bai'yue
颁行全国,ban'xing'quan'guo
北边的长城,bei'bian'de'chang'cheng
北到长城一带,bei'dao'chang'cheng'yi'dai
被封为诸侯,bei'feng'wei'zhu'hou
北据河为塞,bei'ju'he'wei'sai
比较不显眼,bi'jiao'bu'xian'yan
必然趋势,bi'ran'qu'shi
必要的,bi'yao'de
便利了,bian'li'le
汴塬一带,bian'yuan'yi'dai
并赐扶苏死,bing'ci'fu'su'si
并利用战国,bing'li'yong'zhan'guo
并任用,bing'ren'yong
并以,bing'yi
并阴山,bing'yin'shan
兵种已有步,bing'zhong'yi'you'bu
伯益,bo'yi
不断改进,bu'duan'gai'jin
部落名,bu'luo'ming
才开始改变,cai'kai'shi'gai'bian
财力和人力,cai'li'he'ren'li
采取了,cai'qu'le
参看,can'kan
长期以来,chang'qi'yi'lai
长生不老之药,chang'sheng'bu'lao'zhi'yao
朝代名,chao'dai'ming
车同轨,che'tong'gui
陈胜,chen'sheng
成公,cheng'gong
称皇帝,cheng'huang'di
承认和保护,cheng'ren'he'bao'hu
称王,cheng'wang
称王后使用,cheng'wang'hou'shi'yong
驰道,chi'dao
出公,chu'gong
初即位时,chu'ji'wei'shi
处理兵器,chu'li'bing'qi
出生后,chu'sheng'hou
出现了,chu'xian'le
出子,chu'zi
春秋时,chun'qiu'shi
春秋时代晚期,chun'qiu'shi'dai'wan'qi
春秋战国,chun'qiu'zhan'guo
从舂省,cong'chong'sheng
从此秦,cong'ci'qin
从此秦国,cong'ci'qin'guo
从禾,cong'he
从经济条件讲,cong'jing'ji'tiao'jian'jiang
促进各民族,cu'jin'ge'min'zu
促进各族人民,cu'jin'ge'zu'ren'min
大吃小,da'chi'xiao
大大超过了,da'da'chao'guo'le
大国之间,da'guo'zhi'jian
代代承袭,dai'dai'cheng'xi
带甲之士百万,dai'jia'zhi'shi'bai'wan
代以郡县制,dai'yi'jun'xian'zhi
当时的陕西,dang'shi'de'shan'xi
悼公,dao'gong
的边缘部分,de'bian'yuan'bu'fen
得病,de'bing
