阿海,a'hai
按图纸技术要求,an'tu'zhi'ji'shu'yao'qiu
按图纸及相关标准要求,an'tu'zhi'ji'xiang'guan'biao'zhun'yao'qiu
按线,an'xian
安装高程,an'zhuang'gao'cheng
把合工艺螺栓,ba'he'gong'yi'luo'shuan
把合牢固,ba'he'lao'gu
把合螺栓,ba'he'luo'shuan
巴基斯坦,ba'ji'si'tan
半割,ban'ge
半割坡口,ban'ge'po'kou
半自动气保焊机,ban'zi'dong'qi'bao'han'ji
半自动气割机,ban'zi'dong'qi'ge'ji
背面,bei'mian
背面气体,bei'mian'qi'ti
背面清根,bei'mian'qing'gen
鼻端固定导叶,bi'duan'gu'ding'dao'ye
比能,bi'neng
比转速,bi'zhuan'su
表计压力,biao'ji'ya'li
表面硬质堆焊,biao'mian'ying'zhi'dui'han
波浪变形,bo'lang'bian'xing
波浪度,bo'lang'du
薄涂料焊条,bo'tu'liao'han'tiao
补偿节,bu'chang'jie
部件,bu'jian
不可调式水利机械,bu'ke'tiao'shi'shui'li'ji'xie
布鲁桥,bu'lu'qiao
补气试验,bu'qi'shi'yan
藏木,cang'mu
操作架,cao'zuo'jia
层间温度,ceng'jian'wen'du
叉管,cha'guan
插装,cha'zhuang
产品成套办公室,chan'pin'cheng'tao'ban'gong'shi
产品金属零部件涂漆,chan'pin'jin'shu'ling'bu'jian'tu'qi
长甸,chang'dian
长河坝,chang'he'ba
超负荷非正常运行区,chao'fu'he'fei'zheng'chang'yun'xing'qu
衬板,chen'ban
衬垫,chen'dian
陈明,chen'ming
陈志磊,chen'zhi'lei
成套办,cheng'tao'ban
成型,cheng'xing
成形余量,cheng'xing'yu'liang
冲击式水轮机,chong'ji'shi'shui'lun'ji
冲击式转轮公称直径,chong'ji'shi'zhuan'lun'gong'cheng'zhi'jing
楚卡斯,chu'ka'si
出口角度,chu'kou'jiao'du
初生空化系数,chu'sheng'kong'hua'xi'shu
初始压力,chu'shi'ya'li
初始转速,chu'shi'zhuan'su
出线盒,chu'xian'he
传输导叶,chuan'shu'dao'ye
传输室,chuan'shu'shi
锤击,chui'ji
垂直度,chui'zhi'du
磁轭圈,ci'e'quan
凑合节,cou'he'jie
搭板,da'ban
搭焊牢固,da'han'lao'gu
搭焊顺序,da'han'shun'xu
大件厂,da'jian'chang
大脚角焊缝,da'jiao'jiao'han'feng
搭接接头,da'jie'jie'tou
大面坡口,da'mian'po'kou
打磨,da'mo
大坡口,da'po'kou
大坡口侧,da'po'kou'ce
大气压,da'qi'ya
打压工具,da'ya'gong'ju
大中型水轮机,da'zhong'xing'shui'lun'ji
单导叶接力器,dan'dao'ye'jie'li'qi
单幅板转子支架,dan'fu'ban'zhuan'zi'zhi'jia
单级水泵水轮机,dan'ji'shui'beng'shui'lun'ji
单位飞逸转速,dan'wei'fei'yi'zhuan'su
单位功率,dan'wei'gong'lv
单位量,dan'wei'liang
