安东将军,an'dong'jiang'jun
按肥瘠,an'fei'ji
安徽寿县,an'hui'shou'xian
按照史家的习惯,an'zhao'shi'jia'de'xi'guan
巴氐,ba'di
八十多年,ba'shi'duo'nian
把他杀死,ba'ta'sha'si
八姓,ba'xing
败北齐,bai'bei'qi
拜为,bai'wei
颁布均田制,ban'bu'jun'tian'zhi
版图狭窄,ban'tu'xia'zhai
保大九年,bao'da'jiu'nian
保大三年,bao'da'san'nian
保境息民,bao'jing'xi'min
保据,bao'ju
褒中,bao'zhong
褒中一带,bao'zhong'yi'dai
被北齐,bei'bei'qi
北朝,bei'chao
北朝的,bei'chao'de
北朝之一,bei'chao'zhi'yi
北狄,bei'di
北抵汉中,bei'di'han'zhong
北方重新统一,bei'fang'chong'xin'tong'yi
北方强敌之手,bei'fang'qiang'di'zhi'shou
北方王朝,bei'fang'wang'chao
北方政权,bei'fang'zheng'quan
被封为,bei'feng'wei
北汉,bei'han
北汉的,bei'han'de
北汉亡,bei'han'wang
北强南弱,bei'jiang'nan'ruo
北接燕代,bei'jie'yan'dai
北京留守,bei'jing'liu'shou
北凉,bei'liang
北邻,bei'lin
被乱兵所杀,bei'luan'bing'suo'sha
被迫引众北还,bei'po'yin'zhong'bei'hai
北齐,bei'qi
北齐是,bei'qi'shi
被任命为,bei'ren'ming'wei
被任为,bei'ren'wei
被杀死,bei'sha'si
北隋,bei'sui
被太子,bei'tai'zi
北魏,bei'wei
北魏初期,bei'wei'chu'qi
北魏东魏西魏北齐北周,bei'wei'dong'wei'xi'wei'bei'qi'bei'zhou
北魏立国,bei'wei'li'guo
北魏末年,bei'wei'mo'nian
北魏前期,bei'wei'qian'qi
北魏太武帝,bei'wei'tai'wu'di
北魏统一北方的,bei'wei'tong'yi'bei'fang'de
北魏陷入,bei'wei'xian'ru
北魏孝武帝末年,bei'wei'xiao'wu'di'mo'nian
北魏政权,bei'wei'zheng'quan
北匈奴,bei'xiong'nu
北燕,bei'yan
北御辽国,bei'yu'liao'guo
北周,bei'zhou
北周的,bei'zhou'de
北周是,bei'zhou'shi
北周外戚,bei'zhou'wai'qi
被主人,bei'zhu'ren
本名朱温,ben'ming'zhu'wen
比较强大,bi'jiao'qiang'da
必欣于敌去,bi'xin'yu'di'qu
汴滑,bian'hua
汴京,bian'jing
汴州,bian'zhou
表字,biao'zi
兵败,bing'bai
兵抵,bing'di
冰井台,bing'jing'tai
兵临长江而还,bing'lin'chang'jiang'er'hai
并求,bing'qiu
兵盛,bing'sheng
兵士又,bing'shi'you
并悉称善,bing'xi'cheng'shan
并先后建立了,bing'xian'hou'jian'li'le
兵役和各种劳役,bing'yi'he'ge'zhong'lao'yi
并州刺史,bing'zhou'ci'shi
渤海国,bo'hai'guo
部分守旧贵族,bu'fen'shou'jiu'gui'zu
不复见于记载,bu'fu'jian'yu'ji'zai
不甘受将相所制,bu'gan'shou'jiang'xiang'suo'zhi
部落的,bu'luo'de
步骑,bu'qi
步入官僚行列,bu'ru'guan'liao'hang'lie
卜筮占决,bu'shi'zhan'jue
不宜于此营建,bu'yi'yu'ci'ying'jian
采取威逼政策,cai'qu'wei'bi'zheng'ce
蔡徐郓曹齐濮,cai'xu'yun'cao'qi'pu
残暴荒,can'bao'huang
残破不堪,can'po'bu'kan
残破局面,can'po'ju'mian
仓粟,cang'su
草隶尺牍,cao'li'chi'du
曹氏政权,cao'shi'zheng'quan
曹魏,cao'wei
曹嶷联兵,cao'yi'lian'bing
册立,ce'li
曾经做过,ceng'jing'zuo'guo
茶叶生产,cha'ye'sheng'chan
柴家庄人,chai'jia'zhuang'ren
柴荣,chai'rong
柴荣病死,chai'rong'bing'si
柴氏,chai'shi
柴世宗,chai'shi'zong
柴守礼,chai'shou'li
柴翁,chai'weng
单于汉魏之际,chan'yu'han'wei'zhi'ji
长达六七十年内,chang'da'liu'qi'shi'nian'nei
苌等,chang'deng
长江北岸,chang'jiang'bei'an
长期跋扈,chang'qi'ba'hu
长期混战,chang'qi'hun'zhan
长期活跃,chang'qi'huo'yue
长期掌握,chang'qi'zhang'wo
长期征战,chang'qi'zheng'zhan
长兴三年,chang'xing'san'nian
长兴四年,chang'xing'si'nian
长兴县,chang'xing'xian
常遭惨杀,chang'zao'can'sha
常至午夜,chang'zhi'wu'ye
朝廷军政大权,chao'ting'jun'zheng'da'quan
朝廷内部,chao'ting'nei'bu
朝廷威权,chao'ting'wei'quan
朝政不修,chao'zheng'bu'xiu
朝政浊乱,chao'zheng'zhuo'luan
彻底消灭了,che'di'xiao'mie'le
撤回北方,che'hui'bei'fang
陈霸先,chen'ba'xian
陈朝,chen'chao
陈承衰梁之弊,chen'cheng'shuai'liang'zhi'bi
陈午,chen'wu
陈武帝,chen'wu'di
陈午小竖,chen'wu'xiao'shu
陈吴兴下若里,chen'wu'xing'xia'ruo'li
