矮子步,ai'zi'bu
别娶二房婆,bie'qu'er'fang'po
别耍蛮,bie'shua'man
并蒂红花,bing'di'hong'hua
冰火同炉,bing'huo'tong'lu
病染黄泉,bing'ran'huang'quan
薄树生,bo'shu'sheng
剥他皮,bo'ta'pi
不安然,bu'an'ran
不安神,bu'an'shen
补背褡,bu'bei'da
不搭调,bu'da'diao
不多一时,bu'duo'yi'shi
不费功,bu'fei'gong
补汗褟,bu'han'ta
补麻袋,bu'ma'dai
不能容,bu'neng'rong
不扑弦,bu'pu'xian
不相应,bu'xiang'ying
不孝男,bu'xiao'nan
不消闲,bu'xiao'xian
不招待江湖人,bu'zhao'dai'jiang'hu'ren
不忠不贤,bu'zhong'bu'xian
采棒,cai'bang
采茶,cai'cha
彩唱,cai'chang
采灯,cai'deng
彩莲劝夫,cai'lian'quan'fu
彩球记,cai'qiu'ji
彩娃子,cai'wa'zi
才心安,cai'xin'an
蔡兴林,cai'xing'lin
蔡兴周,cai'xing'zhou
彩桌子,cai'zhuo'zi
才子会,cai'zi'hui
参观苏联展览馆,can'guan'su'lian'zhan'lan'guan
苍安民,cang'an'min
藏楼联姻,cang'lou'lian'yin
草船借箭,cao'chuan'jie'jian
曹洪园,cao'hong'yuan
草棵中,cao'ke'zhong
曹善华,cao'shan'hua
草上飞改名,cao'shang'fei'gai'ming
曹香兰,cao'xiang'lan
镲锅,cha'guo
插花盖顶,cha'hua'gai'ding
插科打诨,cha'ke'da'hun
差了声,cha'le'sheng
插秧歌,cha'yang'ge
钗头凤,chai'tou'feng
拆西厢,chai'xi'xiang
颤步,chan'bu
铲地,chan'di
缠头裹脑,chan'tou'guo'nao
缠头扭,chan'tou'niu
缠线,chan'xian
缠袖,chan'xiu
缠腰扭,chan'yao'niu
禅宇寺,chan'yu'si
长安地,chang'an'di
长坂坡,chang'ban'po
唱汴梁,chang'bian'liang
唱不穷,chang'bu'qiong
长春市艺术研究所,chang'chun'shi'yi'shu'yan'jiu'suo
唱到此,chang'dao'ci
长短句,chang'duan'ju
唱功戏,chang'gong'xi
唱佳音,chang'jia'yin
唱金锣,chang'jin'luo
场框,chang'kuang
常乐图,chang'le'tu
唱棱子,chang'leng'zi
常丽萍,chang'li'ping
常青指路,chang'qing'zhi'lu
唱说扮舞,chang'shuo'ban'wu
唱说扮舞绝,chang'shuo'ban'wu'jue
常晓华,chang'xiao'hua
厂长钓鱼,chang'zhang'diao'yu
厂长家事,chang'zhang'jia'shi
撤板,che'ban
撤步,che'bu
车祸之后,che'huo'zhi'hou
车站服务员,che'zhan'fu'wu'yuan
抻袄袖,chen'ao'xiu
抻板,chen'ban
陈春山,chen'chun'shan
陈福奇,chen'fu'qi
陈功范,chen'gong'fan
陈济亮,chen'ji'liang
陈三凤,chen'san'feng
陈素秋,chen'su'qiu
陈喜江,chen'xi'jiang
臣遇狼,chen'yu'lang
陈玉生接姑娘,chen'yu'sheng'jie'gu'niang
成婚配,cheng'hun'pei
成口,cheng'kou
程喜发,cheng'xi'fa
叱诧风云,chi'cha'feng'yun
吃栗子,chi'li'zi
痴情女,chi'qing'nv
叱咤风云,chi'zha'feng'yun
冲冲怒,chong'chong'nu
重返柳条沟,chong'fan'liu'tiao'gou
崇祯观画,chong'zhen'guan'hua
丑帽,chou'mao
臭名扬,chou'ming'yang
处处有亲人,chu'chu'you'qin'ren
出门庭,chu'men'ting
出手活,chu'shou'huo
出水芙蓉,chu'shui'fu'rong
串口,chuan'kou
穿庙堂,chuan'miao'tang
穿身中,chuan'shen'zhong
传圣旨,chuan'sheng'zhi
传旨官,chuan'zhi'guan
窗前月下,chuang'qian'yue'xia
闯王坐殿,chuang'wang'zuo'dian
春典,chun'dian
春哥上工,chun'ge'shang'gong
春歌戏,chun'ge'xi
春华秋实,chun'hua'qiu'shi
春香传,chun'xiang'chuan
茨儿山,ci'er'shan
刺虎,ci'hu
慈母心,ci'mu'xin
茨山,ci'shan
丛文欣,cong'wen'xin
丛榆人,cong'yu'ren
篡口,cuan'kou
崔宝库,cui'bao'ku
崔大艳,cui'da'yan
崔健华,cui'jian'hua
翠口,cui'kou
翠屏山,cui'ping'shan
崔盛金,cui'sheng'jin
崔秀恩,cui'xiu'en
村官儿巧断驴狗案,cun'guan'er'qiao'duan'lv'gou'an
村口,cun'kou
错步,cuo'bu
错吃药,cuo'chi'yao
错中错,cuo'zhong'cuo
大霸桥,da'ba'qiao
打八仙,da'ba'xian
大板,da'ban
大板落子,da'ban'lao'zi
大比年,da'bi'nian
大比之年,da'bi'zhi'nian
打边墙,da'bian'qiang
打宾鸿,da'bin'hong
打脖子戏,da'bo'zi'xi
打苍蝇,da'cang'ying
打插,da'cha
大道沿唱手,da'dao'yan'chang'shou
大道沿的玩艺儿,da'dao'yan'de'wan'yi'er
大登殿,da'deng'dian
大夺凤皇山,da'duo'feng'huang'shan
大恩情,da'en'qing
打法你,da'fa'ni
打法我,da'fa'wo
大佛调,da'fo'tiao
大纲鉴,da'gang'jian
打杠子,da'gang'zi
大哥大嫂,da'ge'da'sao
打狗劝夫,da'gou'quan'fu
大姑娘上学,da'gu'niang'shang'xue
大姑娘摘桃,da'gu'niang'zhai'tao
大鼓四平调,da'gu'si'ping'diao
打瓜园,da'gua'yuan
大观灯,da'guan'deng
打关东,da'guan'dong
打关西,da'guan'xi
打蛤蟆,da'ha'ma
打韩昌,da'han'chang
打花棍,da'hua'gun
大话云,da'hua'yun
打黄狼,da'huang'lang
打激淋,da'ji'lin
大将名五更,da'jiang'ming'wu'geng
大救驾,da'jiu'jia
打绢,da'juan
大口落子,da'kou'lao'zi
打梨,da'li
打龙袍,da'long'pao
大锣,da'luo
大门青州府,da'men'qing'zhou'fu
打蜜蜂,da'mi'feng
大面瓜,da'mian'gua
大闹马家店,da'nao'ma'jia'dian
大闹天宫,da'nao'tian'gong
大闹五龙堂,da'nao'wu'long'tang
大劈棺,da'pi'guan
大破孟州,da'po'meng'zhou
大庆二人转选,da'qing'er'ren'zhuan'xuan
大清律,da'qing'lv
打秋千,da'qiu'qian
大曲艺,da'qu'yi
大山林,da'shan'lin
搭上言,da'shang'yan
打水歌,da'shui'ge
大四套,da'si'tao
大宋忠臣,da'song'zhong'chen
大唐忠臣,da'tang'zhong'chen
大天台,da'tian'tai
打西瓜,da'xi'gua
大西厢,da'xi'xiang
大喜子,da'xi'zi
大香山,da'xiang'shan
打牙牌,da'ya'pai
大烟叹,da'yan'tan
大雁戏楼,da'yan'xi'lou
大雁笑群儒,da'yan'xiao'qun'ru
大雁展翅,da'yan'zhan'chi
打渔人十二月,da'yu'ren'shi'er'yue
大杂烩,da'za'hui
打枣,da'zao
打战表,da'zhan'biao
打颤颤,da'zhan'chan
打主张,da'zhu'zhang
戴立然,dai'li'ran
带上堂,dai'shang'tang
黛玉悲秋,dai'yu'bei'qiu
黛玉恨,dai'yu'hen
黛玉葬花,dai'yu'zang'hua
单鞭夺槊,dan'bian'duo'shuo
单插花,dan'cha'hua
单出头,dan'chu'tou
单刀赴会,dan'dao'fu'hui
单顶扭,dan'ding'niu
单戈,dan'ge
单学民,dan'xue'min
单学民二人转选,dan'xue'min'er'ren'zhuan'xuan
当差官,dang'chai'guan
党令波,dang'ling'bo
当群,dang'qun
荡子叹,dang'zi'tan
当总兵,dang'zong'bing
到汴梁,dao'bian'liang
倒卷帘,dao'juan'lian
倒抛扇,dao'pao'shan
倒牵牛,dao'qian'niu
刀切菜,dao'qie'cai
盗扇,dao'shan
倒推磨,dao'tui'mo
到阵前,dao'zhen'qian
得备招亲,de'bei'zhao'qin
得钞傲妻,de'chao'ao'qi
得得颤,de'de'chan
得身安,de'shen'an
得知情,de'zhi'qing
登高望远,deng'gao'wang'yuan
邓立宪,deng'li'xian
邓惜华,deng'xi'hua
灯下劝夫,deng'xia'quan'fu
地瓜迷,di'gua'mi
地溜平,di'liu'ping
地平川,di'ping'chuan
狄仁杰赶考,di'ren'jie'gan'kao
低头一计,di'tou'yi'ji
低头一计有有有,di'tou'yi'ji'you'you'you
踮步,dian'bu
貂蝉拜月,diao'chan'bai'yue
貂婵拜月,diao'chan'bai'yue
叼绢,diao'juan
雕翎箭,diao'ling'jian
掉萝卜,diao'luo'bo
掉罗卜,diao'luo'bu
叠着唱,die'zhe'chang
丁成巧得妻,ding'cheng'qiao'de'qi
顶绢,ding'juan
定口,ding'kou
丁郎寻父,ding'lang'xun'fu
顶碰玉子,ding'peng'yu'zi
丁少良,ding'shao'liang
丁文力,ding'wen'li
定相,ding'xiang
丁香割肉,ding'xiang'ge'rou
顶腰,ding'yao
丢戒指,diu'jie'zhi
东北蹦蹦音乐,dong'bei'beng'beng'yin'yue
东北地方戏,dong'bei'di'fang'xi
东北二人转选,dong'bei'er'ren'zhuan'xuan
东北二人转音乐,dong'bei'er'ren'zhuan'yin'yue
东北风,dong'bei'feng
东北民歌选,dong'bei'min'ge'xuan
东北民间舞,dong'bei'min'jian'wu
东北曲种,dong'bei'qu'zhong
东北三宝,dong'bei'san'bao
洞宾买药,dong'bin'mai'yao
董放,dong'fang
董广生,dong'guang'sheng
董家庙,dong'jia'miao
董俊平,dong'jun'ping
董启肇,dong'qi'zhao
冬去春来,dong'qu'chun'lai
董廷瑞,dong'ting'rui
东西两院,dong'xi'liang'yuan
东西院,dong'xi'yuan
冬夏常青唱手,dong'xia'chang'qing'chang'shou
东厢记,dong'xiang'ji
董兴顺,dong'xing'shun
董雁,dong'yan
董义发,dong'yi'fa
董以信,dong'yi'xin
东岳庙,dong'yue'miao
豆腐状元,dou'fu'zhuang'yuan
抖肩,dou'jian
抖扇,dou'shan
抖腕,dou'wan
抖威武,dou'wei'wu
窦小鹏,dou'xiao'peng
杜国珍,du'guo'zhen
杜金和,du'jin'he
度秋冬,du'qiu'dong
度日难,du'ri'nan
杜月光,du'yue'guang
独占花魁,du'zhan'hua'kui
断道,duan'dao
断了后,duan'le'hou
断桥,duan'qiao
端扇,duan'shan
对翻身,dui'fan'shen
对花,dui'hua
对口,dui'kou
对口唱,dui'kou'chang
对口咬,dui'kou'yao
对菱花,dui'ling'hua
对你明,dui'ni'ming
对松关,dui'song'guan
对我云,dui'wo'yun
对字,dui'zi
顿板,dun'ban
垛板,duo'ban
跺步,duo'bu
朵朵红,duo'duo'hong
多尽孝,duo'jin'xiao
垛句,duo'ju
垛口大鼓,duo'kou'da'gu
多苦情,duo'ku'qing
多少春,duo'shao'chun
多照看,duo'zhao'kan
二大妈探病,er'da'ma'tan'bing
二当家看场,er'dang'jia'kan'chang
二二板,er'er'ban
二姑娘拜年,er'gu'niang'bai'nian
二姑爷拜寿,er'gu'ye'bai'shou
二老爹娘,er'lao'die'niang
二老双亲,er'lao'shuang'qin
二目眩,er'mu'xuan
二品官,er'pin'guan
二品卿,er'pin'qing
二人转传统作品选,er'ren'zhuan'chuan'tong'zuo'pin'xuan
二人转集,er'ren'zhuan'ji
二人转集成,er'ren'zhuan'ji'cheng
二人转吉剧文集,er'ren'zhuan'ji'ju'wen'ji
二人转曲调介绍,er'ren'zhuan'qu'diao'jie'shao
二人转曲调选集,er'ren'zhuan'qu'diao'xuan'ji
二人转史料,er'ren'zhuan'shi'liao
二人转说口,er'ren'zhuan'shuo'kou
二人转问题讨论集,er'ren'zhuan'wen'ti'tao'lun'ji
二人转现代作品选,er'ren'zhuan'xian'dai'zuo'pin'xuan
二人转现状丛刊,er'ren'zhuan'xian'zhuang'cong'kan
二人转小丛书,er'ren'zhuan'xiao'cong'shu
二人转写作知识,er'ren'zhuan'xie'zuo'zhi'shi
二人转选,er'ren'zhuan'xuan
二人转选集,er'ren'zhuan'xuan'ji
二人转研究,er'ren'zhuan'yan'jiu
二人转研究资料,er'ren'zhuan'yan'jiu'zi'liao
二人转音乐,er'ren'zhuan'yin'yue
二人转作品选,er'ren'zhuan'zuo'pin'xuan
二嫂养鹅,er'sao'yang'e
二上山,er'shang'shan
二十四节气歌,er'shi'si'jie'qi'ge
二十四岁寡妇,er'shi'si'sui'gua'fu
二四板,er'si'ban
二仙得道,er'xian'de'dao
二仙得道大天台,er'xian'de'dao'da'tian'tai
二员将,er'yuan'jiang
发财还家,fa'cai'huan'jia
法库县曲艺团,fa'ku'xian'qu'yi'tuan
发了懵,fa'le'meng
范保华,fan'bao'hua
犯边关,fan'bian'guan
返场演出,fan'chang'yan'chu
犯愁肠,fan'chou'chang
饭店迎春,fan'dian'ying'chun
反樊城,fan'fan'cheng
反叫五更,fan'jiao'wu'geng
樊梨花下山,fan'li'hua'xia'shan
翻码,fan'ma
翻腕,fan'wan
反西凉,fan'xi'liang
范致生,fan'zhi'sheng
防备老,fang'bei'lao
放悲声,fang'bei'sheng
放风筝,fang'feng'zheng
放金光,fang'jin'guang
纺棉花,fang'mian'hua
纺线,fang'xian
费守疆,fei'shou'jiang
分八字,fen'ba'zi
分包赶角,fen'bao'gan'jiao
粉段子,fen'duan'zi
粉口,fen'kou
焚香火,fen'xiang'huo
分心刺,fen'xin'ci
锋参军,feng'can'jun
凤凰进村,feng'huang'jin'cun
冯慧琳,feng'hui'lin
冯奎卖妻,feng'kui'mai'qi
风流店,feng'liu'dian
凤求皇,feng'qiu'huang
凤嫂,feng'sao
疯僧扫秦,feng'seng'sao'qin
丰收桥,feng'shou'qiao
风水情,feng'shui'qing
冯延飞,feng'yan'fei
凤仪亭,feng'yi'ting
佛门点缘,fo'men'dian'yuan
付道全,fu'dao'quan
副道权,fu'dao'quan
付佳琦,fu'jia'qi
付景生,fu'jing'sheng
付流水,fu'liu'shui
驸马公,fu'ma'gong
驸马官,fu'ma'guan
驸马令,fu'ma'ling
府门庭,fu'men'ting
妇女进城,fu'nv'jin'cheng
父女进城,fu'nv'jin'cheng
傅品发,fu'pin'fa
夫妻争灯,fu'qi'zheng'deng
夫人梦,fu'ren'meng
辅调,fu'tiao
复县民间艺术剧团,fu'xian'min'jian'yi'shu'ju'tuan
付晓凤,fu'xiao'feng
富小根与白玉芬,fu'xiao'gen'yu'bai'yu'fen
阜新市曲艺团,fu'xin'shi'qu'yi'tuan
扶余县民间艺术团,fu'yu'xian'min'jian'yi'shu'tuan
父子顶嘴,fu'zi'ding'zui
该出手莫出手,gai'chu'shou'mo'chu'shou
盖清和,gai'qing'he
盖扇,gai'shan
赶会,gan'hui
甘露寺,gan'lu'si
赶贼兵,gan'zei'bing
纲鉴,gang'jian
高成借嫂,gao'cheng'jie'sao
高春国,gao'chun'guo
高殿品,gao'dian'pin
高凤阁,gao'feng'ge
高价姑娘,gao'jia'gu'niang
高俊搬兵,gao'jun'ban'bing
高老庄,gao'lao'zhuang
高粱红唱手,gao'liang'hong'chang'shou
高茹,gao'ru
告扇子,gao'shan'zi
高声喝,gao'sheng'he
高堂老母,gao'tang'lao'mu
高永印,gao'yong'yin
高云梯,gao'yun'ti
高兆民,gao'zhao'min
歌唱古代科学家,ge'chang'gu'dai'ke'xue'jia
歌唱宋恩珍,ge'chang'song'en'zhen
疙瘩口,ge'da'kou
戈航,ge'hang
割韭菜,ge'jiu'cai
隔门贤,ge'men'xian
割袍断义,ge'pao'duan'yi
葛素云,ge'su'yun
割尾巴,ge'wei'ba
歌舞小戏,ge'wu'xiao'xi
给军属拜年,gei'jun'shu'bai'nian
给你餐,gei'ni'can
跟半截,gen'ban'jie
根牙,gen'ya
更得宠,geng'dei'chong
耿瑛,geng'ying
共产党夸赞走富路,gong'chan'dang'kua'zan'zou'fu'lu
拱肩,gong'jian
宫钦科,gong'qin'ke
宫顷科,gong'qing'ke
共同创办,gong'tong'chuang'ban
狗奸臣,gou'jian'chen
勾口,gou'kou
谷柏林,gu'bo'lin
古城会,gu'cheng'hui
古城相会,gu'cheng'xiang'hui
古代文豪十大家,gu'dai'wen'hao'shi'da'jia
姑娘的心事,gu'niang'de'xin'shi
姑娘要赔送,gu'niang'yao'pei'song
姑娘要陪送,gu'niang'yao'pei'song
姑娘装,gu'niang'zhuang
古恰之最,gu'qia'zhi'zui
姑嫂降香,gu'sao'jiang'xiang
姑嫂同心,gu'sao'tong'xin
姑爷钻门坎,gu'ye'zuan'men'kan
顾玉增,gu'yu'zeng
谷振铎,gu'zhen'duo
寡妇难,gua'fu'nan
寡妇思五更,gua'fu'si'wu'geng
挂画,gua'hua
挂心中,gua'xin'zhong
刮旋风,gua'xuan'feng
关宝贵,guan'bao'gui
观不尽,guan'bu'jin
管大海,guan'da'hai
关东城起大会,guan'dong'cheng'qi'da'hui
关公盘道,guan'gong'pan'dao
关国杰,guan'guo'jie
观画,guan'hua
观花灯,guan'hua'deng
观画楼,guan'hua'lou
关金华,guan'jin'hua
管天姑娘,guan'tian'gu'niang
观星,guan'xing
官星,guan'xing
观音赐箭,guan'yin'ci'jian
灌园叟晚逢仙,guan'yuan'sou'wan'feng'xian
关长荣,guan'zhang'rong
观仔细,guan'zi'xi
逛灯,guang'deng
光棍哭妻,guang'gun'ku'qi
光棍曲,guang'gun'qu
光荣灯,guang'rong'deng
跪埃尘,gui'ai'chen
归朝转,gui'chao'zhuan
贵客上门,gui'ke'shang'men
归了天,gui'le'tian
归了正,gui'le'zheng
归梁山,gui'liang'shan
跪溜平,gui'liu'ping
归西天,gui'xi'tian
柜中缘,gui'zhong'yuan
滚出去吧滚出去,gun'chu'qu'ba'gun'chu'qu
滚地包,gun'di'bao
滚口,gun'kou
滚扇,gun'shan
过板,guo'ban
过草地,guo'cao'di
郭臣埋儿,guo'chen'mai'er
过顶绢,guo'ding'juan
蝈蝈吹牛,guo'guo'chui'niu
过河,guo'he
果红稻香,guo'hong'dao'xiang
郭洪鹏,guo'hong'peng
郭鸿玉,guo'hong'yu
郭军反奉,guo'jun'fan'feng
过门,guo'men
郭文宝,guo'wen'bao
郭秀民,guo'xiu'min
郭英臣,guo'ying'chen
果园会,guo'yuan'hui
海龙县地方戏剧团,hai'long'xian'di'fang'xi'ju'tuan
海伦县民间艺术团,hai'lun'xian'min'jian'yi'shu'tuan
还妻记,hai'qi'ji
还是当姩的大老王,hai'shi'dang'nian'de'da'lao'wang
韩渐锐,han'jian'rui
寒江,han'jiang
喊落,han'luo
韩明学徐德明,han'ming'xue'xu'de'ming
寒贫,han'pin
韩青林,han'qing'lin
韩淑双,han'shu'shuang
韩树祥,han'shu'xiang
韩湘子讨封,han'xiang'zi'tao'feng
韩笑伟,han'xiao'wei
喊冤枉,han'yuan'wang
好恩情,hao'en'qing
郝国忱,hao'guo'chen
好汉男,hao'han'nan
好和歹,hao'he'dai
好后勤,hao'hou'qin
郝维国,hao'wei'guo
好心伤,hao'xin'shang
好心田,hao'xin'tian
郝摇旗杀妻,hao'yao'qi'sha'qi
郝云亭,hao'yun'ting
耗子告狸猫,hao'zi'gao'li'mao
耗子娶猫,hao'zi'qu'mao
耗子摔跤,hao'zi'shuai'jiao
河北梆子,he'bei'bang'zi
河伯娶妇,he'bo'qu'fu
何苍劲,he'cang'jing
合唱,he'chang
喝个光,he'ge'guang
何连珍,he'lian'zhen
何邱佳,he'qiu'jia
和尚思凡,he'shang'si'fan
何氏卖身,he'shi'mai'shen
何为证,he'wei'zheng
何喜中,he'xi'zhong
和弦,he'xian
何晓颖,he'xiao'ying
何彦杰,he'yan'jie
何宇松,he'yu'song
黑板,hei'ban
黑虎出山,hei'hu'chu'shan
黑龙江二人转史志,hei'long'jiang'er'ren'zhuan'shi'zhi
黑龙江卷,hei'long'jiang'juan
黑山县地方戏剧团,hei'shan'xian'di'fang'xi'ju'tuan
黑五更,hei'wu'geng
狠毒记,hen'du'ji
狠心狼,hen'xin'lang
横摆柳,heng'bai'liu
横拉扇,heng'la'shan
横抛玉子,heng'pao'yu'zi
横批贴写,heng'pi'tie'xie
红板,hong'ban
红榜招贤,hong'bang'zhao'xian
洪奎相亲,hong'kui'xiang'qin
红绫被,hong'ling'bei
红柳子,hong'liu'zi
红娘下书,hong'niang'xia'shu
红色战士,hong'se'zhan'shi
哄下堂,hong'xia'tang
红杏出墙,hong'xing'chu'qiang
鸿雁捎书,hong'yan'shao'shu
红叶岭,hong'ye'ling
红月娥做梦,hong'yue'e'zuo'meng
红装奇志,hong'zhuang'qi'zhi
后边行,hou'bian'xing
候补县令,hou'bu'xian'ling
侯殿君,hou'dian'jun
后翻扇,hou'fan'shan
后抛绢,hou'pao'juan
后碰玉子,hou'peng'yu'zi
后绕花,hou'rao'hua
后甩花,hou'shuai'hua
后堂中,hou'tang'zhong
后踢步,hou'ti'bu
侯显德,hou'xian'de
胡大婶惊梦,hu'da'shen'jing'meng
胡迪打秦桧,hu'di'da'qin'hui
胡迪骂阎,hu'di'ma'yan
胡迪游地府,hu'di'you'di'fu
蝴蝶杯,hu'die'bei
蝴蝶梦,hu'die'meng
蝴蝶飘,hu'die'piao
胡胡腔,hu'hu'qiang
胡景岐,hu'jing'qi
呼兰县民间艺术团,hu'lan'xian'min'jian'yi'shu'tuan
糊弄妈妈五更,hu'nong'ma'ma'wu'geng
忽培元,hu'pei'yuan
糊涂县官,hu'tu'xian'guan
呼延庆打擂,hu'yan'qing'da'lei
胡永丹,hu'yong'dan
花梆步,hua'bang'bu
化出化入,hua'chu'hua'ru
划大圈,hua'da'quan
画党史,hua'dang'shi
花棍,hua'gun
画家史,hua'jia'shi
花口,hua'kou
花魁游街,hua'kui'you'jie
画眉,hua'mei
华容道,hua'rong'dao
画纱灯,hua'sha'deng
画扇面,hua'shan'mian
花为媒,hua'wei'mei
花园会书生,hua'yuan'hui'shu'sheng
画中人,hua'zhong'ren
花子拾金,hua'zi'shi'jin
怀里装,huai'li'zhuang
怀中抱,huai'zhong'bao
换亲记,huan'qin'ji
换媳妇,huan'xi'fu
黄爱玉上坟,huang'ai'yu'shang'fen
荒草坡,huang'cao'po
黄广贞,huang'guang'zhen
荒旱连年,huang'han'lian'nian
晃肩,huang'jian
黄金定下山,huang'jin'ding'xia'shan
黄老打犬,huang'lao'da'quan
黄庆杰,huang'qing'jie
黄世俊,huang'shi'jun
黄氏女游阴,huang'shi'nv'you'yin
晃腰,huang'yao
黄子灵,huang'zi'ling
回杯记,hui'bei'ji
回春饭店,hui'chun'fan'dian
回岗岭,hui'gang'ling
会姑爷,hui'gu'ye
回门庭,hui'men'ting
回旋绢,hui'xuan'juan
会云雨,hui'yun'yu
混官断,hun'guan'duan
荤口,hun'kou
浑门,hun'men
昏迷处,hun'mi'chu
浑身冷,hun'shen'leng
获表演一等奖,huo'biao'yan'yi'deng'jiang
