邦联制,bang'lian'zhi
报禁,bao'jin
暴君,bao'jun
暴民,bao'min
暴民政治,bao'min'zheng'zhi
暴政,bao'zheng
被统治,bei'tong'zhi
被统治阶级,bei'tong'zhi'jie'ji
柏拉图,bo'la'tu
不同政见,bu'tong'zheng'jian
残酷镇压,can'ku'zhen'ya
参议院,can'yi'yuan
朝堂,chao'tang
城邦社会,cheng'bang'she'hui
持不同政见者,chi'bu'tong'zheng'jian'zhe
崇尚法律,chong'shang'fa'lv
崇尚法制,chong'shang'fa'zhi
崇尚法治,chong'shang'fa'zhi
大声疾呼,da'sheng'ji'hu
单一制,dan'yi'zhi
党部,dang'bu
党禁,dang'jin
党魁独裁,dang'kui'du'cai
党魁独裁制,dang'kui'du'cai'zhi
党魁专政,dang'kui'zhuan'zheng
党魁专制,dang'kui'zhuan'zhi
党委,dang'wei
道德问题,dao'de'wen'ti
邓小平,deng'xiao'ping
敌对分子,di'dui'fen'zi
敌对势力,di'dui'shi'li
地方党部,di'fang'dang'bu
地方党委,di'fang'dang'wei
地方各级党部,di'fang'ge'ji'dang'bu
地方各级党委,di'fang'ge'ji'dang'wei
帝国,di'guo
第三党,di'san'dang
地下党,di'xia'dang
帝制,di'zhi
颠覆政府,dian'fu'zheng'fu
独裁统治,du'cai'tong'zhi
独裁者,du'cai'zhe
独裁政权,du'cai'zheng'quan
独裁制度,du'cai'zhi'du
多党,duo'dang
多党民主,duo'dang'min'zhu
多数党,duo'shu'dang
多数派,duo'shu'pai
多元,duo'yuan
多元化,duo'yuan'hua
多元政体,duo'yuan'zheng'ti
多元政治,duo'yuan'zheng'zhi
扼杀,e'sha
二元制君主立宪制,er'yuan'zhi'jun'zhu'li'xian'zhi
法西斯,fa'xi'si
法西斯统治,fa'xi'si'tong'zhi
法西斯政权,fa'xi'si'zheng'quan
发展取向,fa'zhan'qu'xiang
法制,fa'zhi
法治,fa'zhi
法治思想,fa'zhi'si'xiang
反对党,fan'dui'dang
反对派,fan'dui'pai
反对统治,fan'dui'tong'zhi
副贰,fu'er
复合制,fu'he'zhi
改革取向,gai'ge'qu'xiang
革命反革命,ge'ming'fan'ge'ming
个人独裁,ge'ren'du'cai
个人专政,ge'ren'zhuan'zheng
个人专制,ge'ren'zhuan'zhi
共产,gong'chan
共产暴政,gong'chan'bao'zheng
共产帝国,gong'chan'di'guo
共产主义,gong'chan'zhu'yi
巩固政权,gong'gu'zheng'quan
共和党,gong'he'dang
共和国,gong'he'guo
共和制,gong'he'zhi
共识,gong'shi
共同利益,gong'tong'li'yi
痼疾,gu'ji
寡头,gua'tou
寡头政治,gua'tou'zheng'zhi
关隘,guan'ai
官制,guan'zhi
光州,guang'zhou
光洲,guang'zhou
光州事件,guang'zhou'shi'jian
光洲事件,guang'zhou'shi'jian
规范性,gui'fan'xing
贵族院,gui'zu'yuan
