阿里,a'li
阿里地区,a'li'di'qu
安多县,an'duo'xian
芭比啦,ba'bi'la
巴次,ba'ci
巴尔库路,ba'er'ku'lu
巴河,ba'he
八角街,ba'jiao'jie
八廓街,ba'kuo'jie
巴青县,ba'qing'xian
巴桑,ba'sang
巴松措,ba'song'cuo
八一,ba'yi
八一校,ba'yi'xiao
八一镇,ba'yi'zhen
白居寺,bai'ju'si
白朗县,bai'lang'xian
白玛,bai'ma
白姆,bai'mu
班戈,ban'ge
搬外面,ban'wai'mian
邦达,bang'da
北京中路,bei'jing'zhong'lu
比如县,bi'ru'xian
边巴,bian'ba
边巴次仁,bian'ba'ci'ren
边防证,bian'fang'zheng
辩经,bian'jing
兵财,bing'cai
波密县,bo'mi'xian
布达拉,bu'da'la
布达拉宫,bu'da'la'gong
蔡公堂,cai'gong'tang
藏餐,cang'can
藏大,cang'da
藏刀,cang'dao
仓姑寺,cang'gu'si
藏家宴,cang'jia'yan
仓决,cang'jue
察隅,cha'yu
察隅县,cha'yu'xian
茶园,cha'yuan
长安牌客车,chang'an'pai'ke'che
长安牌载货汽车,chang'an'pai'zai'huo'qi'che
昌都地区,chang'du'di'qu
城关区,cheng'guan'qu
次白,ci'bai
次多,ci'duo
次吉,ci'ji
次仁,ci'ren
次仁顿珠,ci'ren'dun'zhu
从拉萨,cong'la'sa
措姆,cuo'mu
错那县,cuo'na'xian
达次,da'ci
达杰,da'jie
达赖喇嘛,da'lai'la'ma
达瓦,da'wa
大召寺,da'zhao'si
大昭寺,da'zhao'si
达孜县,da'zi'xian
旦增,dan'zeng
当雄,dang'xiong
当雄县,dang'xiong'xian
到拉萨,dao'la'sa
到拉萨了,dao'la'sa'le
到西藏,dao'xi'zang
德白,de'bai
德吉,de'ji
德吉北路,de'ji'bei'lu
德吉路,de'ji'lu
德庆,de'qing
滇藏线,dian'zang'xian
定日县,ding'ri'xian
堆龙,dui'long
堆龙德庆县,dui'long'de'qing'xian
顿珠,dun'zhu
夺底,duo'di
夺底路,duo'di'lu
多吉,duo'ji
多杰,duo'jie
嗯过,en'guo
肺水肿,fei'shui'zhong
分司,fen'si
富绅会,fu'shen'hui
甘丹寺,gan'dan'si
高反,gao'fan
高反了,gao'fan'le
高原安,gao'yuan'an
高原反应,gao'yuan'fan'ying
高原上,gao'yuan'shang
哥比伦,ge'bi'lun
各地市,ge'di'shi
格多,ge'duo
格尔木,ge'er'mu
格桑,ge'sang
格桑次仁,ge'sang'ci'ren
格桑林卡,ge'sang'lin'ka
工布江达,gong'bu'jiang'da
贡嘎,gong'ga
贡嘎机场,gong'ga'ji'chang
贡嘎县,gong'ga'xian
贡桑,gong'sang
工作队,gong'zuo'dui
观景台,guan'jing'tai
过林卡,guo'lin'ka
锅庄,guo'zhuang
还在拉萨,hai'zai'la'sa
黑灯瞎火哦,hei'deng'xia'huo'o
红景天,hong'jing'tian
华泰龙,hua'tai'long
皇家一号,huang'jia'yi'hao
回拉萨,hui'la'sa
回内地,hui'nei'di
灰衣服,hui'yi'fu
既不卫生,ji'bu'wei'sheng
吉隆县,ji'long'xian
即使做错了,ji'shi'zuo'cuo'le
加布,jia'bu
加查,jia'cha
加查县,jia'cha'xian
加德满都,jia'de'man'du
江孜县,jiang'zi'xian
金珠,jin'zhu
金珠西路,jin'zhu'xi'lu
经幡,jing'fan
警务站,jing'wu'zhan
精油垫,jing'you'dian
卡定沟,ka'ding'gou
卡若拉,ka'ruo'la
康桑,kang'sang
磕长头,ke'chang'tou
拉巴,la'ba
拉巴次仁,la'ba'ci'ren
拉分司,la'fen'si
拉鲁,la'lu
拉姆,la'mu
拉萨,la'sa
拉萨的,la'sa'de
拉萨河,la'sa'he
拉萨了,la'sa'le
拉萨吗,la'sa'ma
拉萨呢,la'sa'ne
拉萨市,la'sa'shi
拉萨市区,la'sa'shi'qu
拉孜县,la'zi'xian
来拉萨,lai'la'sa
烂路,lan'lu
朗杰,lang'jie
浪卡子县,lang'ka'zi'xian
乐百隆,le'bai'long
李世英,li'shi'ying
林芝,lin'zhi
林芝地区,lin'zhi'di'qu
林芝县,lin'zhi'xian
林周县,lin'zhou'xian
零花钱都,ling'hua'qian'dou
柳梧新区,liu'wu'xin'qu
龙王潭,long'wang'tan
隆子,long'zi
隆子县,long'zi'xian
鲁朗,lu'lang
鲁郎,lu'lang
罗布,luo'bu
罗布林卡,luo'bu'lin'ka
洛桑,luo'sang
洛扎县,luo'zha'xian
绿松石,lv'song'shi
玛吉,ma'ji
玛吉阿米,ma'ji'a'mi
麻辣空间,ma'la'kong'jian
芒康,mang'kang
芒康县,mang'kang'xian
牦牛骨,mao'niu'gu
牦牛肉,mao'niu'rou
梅朵,mei'duo
美美乐,mei'mei'le
米堆,mi'dui
米拉山,mi'la'shan
米拉山口,mi'la'shan'kou
米林县,mi'lin'xian
米玛,mi'ma
民族团结,min'zu'tuan'jie
莫多,mo'duo
墨脱,mo'tuo
墨竹,mo'zhu
墨竹工卡,mo'zhu'gong'ka
墨竹工卡县,mo'zhu'gong'ka'xian
纳金路,na'jin'lu
纳木错,na'mu'cuo
那曲,na'qu
那曲地区,na'qu'di'qu
那曲县,na'qu'xian
乃东,nai'dong
乃东县,nai'dong'xian
南迦巴瓦峰,nan'jia'ba'wa'feng
南木林,nan'mu'lin
