爱国治民,ai'guo'zhi'min
爱以身为天下,ai'yi'shen'wei'tian'xia
安平泰,an'ping'tai
百姓皆谓,bai'xing'jie'wei
百姓皆注其耳目,bai'xing'jie'zhu'qi'er'mu
保此道者,bao'ci'dao'zhe
北京中华书局,bei'jing'zhong'hua'shu'ju
北京中华书局一九八四年版一书中所附校定文,bei'jing'zhong'hua'shu'ju'yi'jiu'ba'si'nian'ban'yi'shu'zhong'suo'fu'xiao'ding'wen
本传统,ben'chuan'tong
本电子版,ben'dian'zi'ban
本为蓝本,ben'wei'lan'ben
必,bi
必故强之,bi'gu'qiang'zhi
必故兴,bi'gu'xing
必故兴之,bi'gu'xing'zhi
必故与之,bi'gu'yu'zhi
必故张之,bi'gu'zhang'zhi
闭其门,bi'qi'men
必以身后之,bi'yi'shen'hou'zhi
必以言下之,bi'yi'yan'xia'zhi
必有凶年,bi'you'xiong'nian
比于赤子,bi'yu'chi'zi
敝则新,bi'ze'xin
必作于细,bi'zuo'yu'xi
必作于易,bi'zuo'yu'yi
兵无所容其刃,bing'wu'suo'rong'qi'ren
兵者不祥之器,bing'zhe'bu'xiang'zhi'qi
帛书本,bo'shu'ben
帛书本及,bo'shu'ben'ji
搏之不得,bo'zhi'bu'de
不,bu
不爱,bu'ai
不出户,bu'chu'hu
不殆,bu'dai
不但融汇于,bu'dan'rong'hui'yu
不道早已,bu'dao'zao'yi
不得,bu'de
不得已,bu'de'yi
不得已而用之,bu'de'yi'er'yong'zhi
不敢为天下先,bu'gan'wei'tian'xia'xian
不谷,bu'gu
不贵难得之货,bu'gui'nan'de'zhi'huo
不贵其师,bu'gui'qi'shi
不见而明,bu'jian'er'ming
不见可欲,bu'jian'ke'yu
不居其薄,bu'ju'qi'bao
不居其华,bu'ju'qi'hua
不可,bu'ke
不可不,bu'ke'bu
不可不畏,bu'ke'bu'wei
不可长保,bu'ke'chang'bao
不可得而,bu'ke'de'er
不可得而贵,bu'ke'de'er'gui
不可得而害,bu'ke'de'er'hai
不可得而贱,bu'ke'de'er'jian
不可得而利,bu'ke'de'er'li
不可得而疏,bu'ke'de'er'shu
不可为也,bu'ke'wei'ye
不可执也,bu'ke'zhi'ye
不窥牖,bu'kui'you
不勤,bu'qin
不如其已,bu'ru'qi'yi
不如守中,bu'ru'shou'zhong
不如坐进此道,bu'ru'zuo'jin'ci'dao
不善人者,bu'shan'ren'zhe
不善人之师,bu'shan'ren'zhi'shi
不善人之所保,bu'shan'ren'zhi'suo'bao
不善者,bu'shan'zhe
不尚贤,bu'shang'xian
不失其所者久,bu'shi'qi'suo'zhe'jiu
不为而成,bu'wei'er'cheng
不祥之器,bu'xiang'zhi'qi
不笑不足以为道,bu'xiao'bu'zu'yi'wei'dao
不信者,bu'xin'zhe
不言之教,bu'yan'zhi'jiao
不以兵强天下,bu'yi'bing'qiang'tian'xia
不以取强,bu'yi'qu'qiang
不以智治国,bu'yi'zhi'zhi'guo
不欲以静,bu'yu'yi'jing
不欲盈,bu'yu'ying
不曰,bu'yue
不知常,bu'zhi'chang
不知有之,bu'zhi'you'zhi
不自伐,bu'zi'fa
不自见,bu'zi'jian
不自矜,bu'zi'jin
不自是,bu'zi'shi
不足,bu'zu
不足以取天下,bu'zu'yi'qu'tian'xia
财货有馀,cai'huo'you'yu
参看湖南,can'kan'hu'nan
参看湖南长沙马王堆汉墓出土,can'kan'hu'nan'chang'sha'ma'wang'dui'han'mu'chu'tu
仓甚虚,cang'shen'xu
藏之名山者,cang'zhi'ming'shan'zhe
长,chang
常,chang
常德不离,chang'de'bu'li
常德不忒,chang'de'bu'te
常德乃足,chang'de'nai'zu
长短相形,chang'duan'xiang'xing
长而不宰,chang'er'bu'zai
长沙马王堆汉墓,chang'sha'ma'wang'dui'han'mu
常善救物,chang'shan'jiu'wu
长生久视之道,chang'sheng'jiu'shi'zhi'dao
常使民无知,chang'shi'min'wu'zhi
常有,chang'you
常于几成而败之,chang'yu'ji'cheng'er'bai'zhi
常知稽式,chang'zhi'ji'shi
长之育之,chang'zhi'yu'zhi
常足矣,chang'zu'yi
朝甚除,chao'shen'chu
陈,chen
陈鼓应,chen'gu'ying
成,cheng
诚全而归之,cheng'quan'er'gui'zhi
成之熟之,cheng'zhi'shu'zhi
驰骋畋猎,chi'cheng'tian'lie
驰骋天下之至坚,chi'cheng'tian'xia'zhi'zhi'jian
持而保之,chi'er'bao'zhi
持而盈之,chi'er'ying'zhi
冲气以,chong'qi'yi
宠辱若惊,chong'ru'ruo'jing
重为轻根,chong'wei'qing'gen
宠为下,chong'wei'xia
处,chu
处其实,chu'qi'shi
处前而民不害,chu'qian'er'min'bu'hai
处上而民不重,chu'shang'er'min'bu'zhong
出生入死,chu'sheng'ru'si
出土的,chu'tu'de
处众人之所恶,chu'zhong'ren'zhi'suo'e
揣而锐之,chuai'er'rui'zhi
此,ci
此非,ci'fei
慈故能勇,ci'gu'neng'yong
此两者,ci'liang'zhe
此三者不可致诘,ci'san'zhe'bu'ke'zhi'jie
此三者以为文,ci'san'zhe'yi'wei'wen
