暗冲暗会尤为喜,an'chong'an'hui'you'wei'xi
暗处寻真也有真,an'chu'xun'zhen'ye'you'zhen
八格,ba'ge
败地逢冲仔细推,bai'di'feng'chong'zi'xi'tui
半局闲神任闲着,ban'ju'xian'shen'ren'xian'zhe
半浊半清犹是可,ban'zhuo'ban'qing'you'shi'ke
抱乙而孝,bao'yi'er'xiao
彼冲我兮皆冲起,bi'chong'wo'xi'jie'chong'qi
便是诸司并首领,bian'shi'zhu'si'bing'shou'ling
丙火猛烈,bing'huo'meng'lie
兵权獬豸弁冠客,bing'quan'xie'zhi'bian'guan'ke
不愁火土,bu'chou'huo'tu
不愁木盛,bu'chou'mu'sheng
不管白雪与明月,bu'guan'bai'xue'yu'ming'yue
不可过也,bu'ke'guo'ye
不可逆者,bu'ke'ni'zhe
不可偏也,bu'ke'pian'ye
不可使地德莫之载,bu'ke'shi'di'de'mo'zhi'zai
不可使天道莫之容,bu'ke'shi'tian'dao'mo'zhi'rong
不可以不辨,bu'ke'yi'bu'bian
不可以不卜,bu'ke'yi'bu'bu
不可以一端论也,bu'ke'yi'yi'duan'lun'ye
不可以一偏求也,bu'ke'yi'yi'pian'qiu'ye
不论庚辛,bu'lun'geng'xin
不明不暗受困顿,bu'ming'bu'an'shou'kun'dun
不畏水狂,bu'wei'shui'kuang
不用何妨莫动它,bu'yong'he'fang'mo'dong'ta
才德,cai'de
财官印绶分偏正,cai'guan'yin'shou'fen'pian'zheng
财气通门户,cai'qi'tong'men'hu
财神反不真,cai'shen'fan'bu'zhen
才胜德者用显多能之象,cai'sheng'de'zhe'yong'xian'duo'neng'zhi'xiang
臣不可过也,chen'bu'ke'guo'ye
臣象,chen'xiang
成不独成,cheng'bu'du'cheng
成方干添一元神,cheng'fang'gan'tian'yi'yuan'shen
成局干透一官星,cheng'ju'gan'tou'yi'guan'xing
成养虎之患,cheng'yang'hu'zhi'huan
澄浊求清清得去,cheng'zhuo'qiu'qing'qing'dei'qu
冲天奔地,chong'tian'ben'di
出门要向天涯游,chu'men'yao'xiang'tian'ya'you
出身,chu'shen
春不容金,chun'bu'rong'jin
此关若通也,ci'guan'ruo'tong'ye
从得真者只论从,cong'de'zhen'zhe'zhi'lun'cong
从儿不管身强弱,cong'er'bu'guan'shen'qiang'ruo
从神又有吉和凶,cong'shen'you'you'ji'he'xiong
从象,cong'xiang
从则相济,cong'ze'xiang'ji
达于天津,da'yu'tian'jin
戴天履地人为贵,dai'tian'lv'di'ren'wei'gui
但引其性情而已矣,dan'yin'qi'xing'qing'er'yi'yi
道有体用,dao'you'ti'yong
得火而锐,de'huo'er'rui
