白睛非黄染,bai'jing'fei'huang'ran
背白,bei'bai
背不舒,bei'bu'shu
鼻流血,bi'liu'xue
闭目诱发失神,bi'mu'you'fa'shi'shen
鼻前庭糜烂,bi'qian'ting'mi'lan
便脱出,bian'tuo'chu
便重坠,bian'zhong'zhui
病毒性心肌炎后,bing'du'xing'xin'ji'yan'hou
不语,bu'yu
大便黄,da'bian'huang
大便秘,da'bian'mi
大便热,da'bian're
动作受限,dong'zuo'shou'xian
二尖瓣返流,er'jian'ban'fan'liu
腓肠肌紧张,fei'chang'ji'jin'zhang
非面红,fei'mian'hong
非疲劳感,fei'pi'lao'gan
浮肿,fu'zhong
骨肿大,gu'zhong'da
活动不大,huo'dong'bu'da
活动不利,huo'dong'bu'li
脊红疹,ji'hong'zhen
肌肉斑,ji'rou'ban
剑突下隐痛,jian'tu'xia'yin'tong
睑下垂,jian'xia'chui
角膜上皮点状着色,jiao'mo'shang'pi'dian'zhuang'zhuo'se
角膜下方轻度染色,jiao'mo'xia'fang'qing'du'ran'se
筋疙瘩,jin'ge'da
颈部发僵,jing'bu'fa'jiang
颈红色斑丘疹,jing'hong'se'ban'qiu'zhen
胫后动脉搏动消失,jing'hou'dong'mai'bo'dong'xiao'shi
经行口糜,jing'xing'kou'mi
胫转筋,jing'zhuan'jin
颈椎变直,jing'zhui'bian'zhi
口唇皮肤干裂,kou'chun'pi'fu'gan'lie
口泡沫,kou'pao'mo
口右偏,kou'you'pian
口胀闷,kou'zhang'men
两侧股动脉搏动正常,liang'ce'gu'dong'mai'bo'dong'zheng'chang
两腿酸软,liang'tui'suan'ruan
滤泡收敛,lv'pao'shou'lian
脉实,mai'shi
面颊疼痛,mian'jia'teng'tong
面色黄暗,mian'se'huang'an
面色尚可,mian'se'shang'ke
眠尚可,mian'shang'ke
面瘦,mian'shou
尿增加,niao'zeng'jia
颞侧萎缩,nie'ce'wei'suo
皮肤瘢痕,pi'fu'ban'hen
皮肤不泽,pi'fu'bu'ze
皮肤红赤,pi'fu'hong'chi
皮肤紫,pi'fu'zi
皮色黑,pi'se'hei
皮色正常,pi'se'zheng'chang
前胸充血,qian'xiong'chong'xue
全身发冷,quan'shen'fa'leng
全身气窜,quan'shen'qi'cuan
全身紫,quan'shen'zi
乳房病变,ru'fang'bing'bian
乳房色斑,ru'fang'se'ban
色暗,se'an
上臂硬,shang'bi'ying
舌边红,she'bian'hong
舌根肿胀,she'gen'zhong'zhang
舌尖嫩红,she'jian'nen'hong
舌两畔殷红,she'liang'pan'yan'hong
舌苔白稍腻,she'tai'bai'shao'ni
舌苔呛,she'tai'qiang
舌苔有津,she'tai'you'jin
舌萎缩,she'wei'suo
舌无特殊,she'wu'te'shu
舌下厚腻,she'xia'hou'ni
舌质暗,she'zhi'an
神识昏寐,shen'shi'hun'mei
手臂麻木,shou'bi'ma'mu
手足多关节痛,shou'zu'duo'guan'jie'tong
双侧扁桃腺肿大,shuang'ce'bian'tao'xian'zhong'da
双眼结膜少,shuang'yan'jie'mo'shao
双眼下垂,shuang'yan'xia'chui
双眼痒,shuang'yan'yang
睡觉不踏实,shui'jiao'bu'ta'shi
痰色少,tan'se'shao
痰湿体质,tan'shi'ti'zhi
头白,tou'bai
臀部疖肿,tun'bu'jie'zhong
腕凉,wan'liang
网膜斑,wang'mo'ban
胃胀痛,wei'zhang'tong
下腹疼痛明显,xia'fu'teng'tong'ming'xian
下肢非不适,xia'zhi'fei'bu'shi
下肢静脉少,xia'zhi'jing'mai'shao
小便如常,xiao'bian'ru'chang
心悸,xin'ji
心前区频发,xin'qian'qu'pin'fa
心前区疼,xin'qian'qu'teng
胸憋闷不适,xiong'bie'men'bu'shi
血压不稳,xue'ya'bu'wen
牙齿黑,ya'chi'hei
咽涩,yan'se
意识昏,yi'shi'hun
阴茎溃疡,yin'jing'kui'yang
右侧肢体疼,you'ce'zhi'ti'teng
右上腹痛,you'shang'fu'tong
右眼上睑增生,you'yan'shang'jian'zeng'sheng
右足疼痛,you'zu'teng'tong
月经延后,yue'jing'yan'hou
脏异常,zang'yi'chang
掌指关节压痛,zhang'zhi'guan'jie'ya'tong
指发黑,zhi'fa'hei
趾毛脱落,zhi'mao'tuo'luo
足背部动脉搏动消失,zu'bei'bu'dong'mai'bo'dong'xiao'shi
足趾无异常,zu'zhi'wu'yi'chang
左侧大腿痛,zuo'ce'da'tui'tong
左侧胫后动脉搏动消失,zuo'ce'jing'hou'dong'mai'bo'dong'xiao'shi
左耳下降,zuo'er'xia'jiang
左面部少,zuo'mian'bu'shao
左腮肿痛,zuo'sai'zhong'tong
左手挫伤,zuo'shou'cuo'shang
左胁疼痛,zuo'xie'teng'tong
左足心疼痛,zuo'zu'xin'teng'tong
左足隐隐作痛,zuo'zu'yin'yin'zuo'tong
