白鸟悠悠下,bai'niao'you'you'xia
宝帘闲挂小银钩,bao'lian'xian'gua'xiao'yin'gou
悲也飘零,bei'ye'piao'ling
必遗其关系限制之处,bi'yi'qi'guan'xi'xian'zhi'zhi'chu
不可凑拍,bu'ke'cou'pai
不遣居人住,bu'qian'ju'ren'zhu
不若鄙人拈出境界二字为探其本也,bu'ruo'bi'ren'nian'chu'jing'jie'er'zi'wei'tan'qi'ben'ye
不以是而分优劣,bu'yi'shi'er'fen'you'lie
采菊东篱下,cai'ju'dong'li'xia
差近之耳,cha'jin'zhi'er
差足继武,cha'zu'ji'wu
此理想与写实二派之所由分,ci'li'xiang'yu'xie'shi'er'pai'zhi'suo'you'fen
词以境界为最上,ci'yi'jing'jie'wei'zui'shang
此在豪杰之士能自树立耳,ci'zai'hao'jie'zhi'shi'neng'zi'shu'li'er
都作连江点点萍,dou'zuo'lian'jiang'dian'dian'ping
杜鹃声里斜阳暮,du'juan'sheng'li'xie'yang'mu
而其构造亦必从自然之法律,er'qi'gou'zao'yi'bi'cong'zi'ran'zhi'fa'lv
否则谓之无境界,fou'ze'wei'zhi'wu'jing'jie
高城鼓动兰釭灺,gao'cheng'gu'dong'lan'gang'xie
故不知何者为我,gu'bu'zhi'he'zhe'wei'wo
故理想家亦写实家也,gu'li'xiang'jia'yi'xie'shi'jia'ye
故能写真景物真感情者,gu'neng'xie'zhen'jing'wu'zhen'gan'qing'zhe
故其妙处,gu'qi'miao'chu
古人为词,gu'ren'wei'ci
故物皆著我之色彩,gu'wu'jie'zhu'wo'zhi'se'cai
故写实家亦理想家也,gu'xie'shi'jia'yi'li'xiang'jia'ye
故一优美,gu'yi'you'mei
寒波澹澹起,han'bo'dan'dan'qi
汉家陵阙,han'jia'ling'que
何遽不若,he'ju'bu'ruo
何者为物,he'zhe'wei'wu
红杏枝头春意闹,hong'xing'zhi'tou'chun'yi'nao
后世唯范文正之渔家傲,hou'shi'wei'fan'wen'zheng'zhi'yu'jia'ao
忽听孤鸿三两声,hu'ting'gu'hong'san'liang'sheng
互相关系,hu'xiang'guan'xi
互相限制,hu'xiang'xian'zhi
欢也飘零,huan'ye'piao'ling
见说他生,jian'shuo'ta'sheng
境非独谓景物也,jing'fei'du'wei'jing'wu'ye
境界,jing'jie
境界有大小,jing'jie'you'da'xiao
镜中之象,jing'zhong'zhi'xiang
可堪孤馆闭春寒,ke'kan'gu'guan'bi'chun'han
泪眼问花花不语,lei'yan'wen'hua'hua'bu'yu
寥寥八字,liao'liao'ba'zi
羚羊挂角,ling'yang'gua'jiao
刘融斋谓飞卿精艳绝人,liu'rong'zhai'wei'fei'qing'jing'yan'jue'ren
乱红飞过秋千去,luan'hong'fei'guo'qiu'qian'qu
落日千山啼杜宇,luo'ri'qian'shan'ti'du'yu
落日照大旗,luo'ri'zhao'da'qi
马鸣风萧萧,ma'ming'feng'xiao'xiao
那时能记今生否,na'shi'neng'ji'jin'sheng'fou
其材料必求之于自然,qi'cai'liao'bi'qiu'zhi'yu'zi'ran
凄凉病榻无多语,qi'liang'bing'ta'wu'duo'yu
然沧浪所谓兴趣,ran'cang'lang'suo'wei'xing'qu
然二者颇难分别,ran'er'zhe'po'nan'fen'bie
然气象已不逮矣,ran'qi'xiang'yi'bu'dai'yi
然其写之于文学及美术中也,ran'qi'xie'zhi'yu'wen'xue'ji'mei'shu'zhong'ye
然未始不能写无我之境,ran'wei'shi'bu'neng'xie'wu'wo'zhi'jing
人生只似风前絮,ren'sheng'zhi'si'feng'qian'xu
人惟于静中得之,ren'wei'yu'jing'zhong'dei'zhi
如空中之音,ru'kong'zhong'zhi'yin
阮亭所谓神韵,ruan'ting'suo'wei'shen'yun
盛唐诸公唯在兴趣,sheng'tang'zhu'gong'wei'zai'xing'qu
睡也还醒,shui'ye'hai'xing
水中之影,shui'zhong'zhi'ying
送得归人,song'de'gui'ren
遂关千古登临之口,sui'guan'qian'gu'deng'lin'zhi'kou
所写之境亦必邻于理想故也,suo'xie'zhi'jing'yi'bi'lin'yu'li'xiang'gu'ye
太白纯以气象胜,tai'bai'chun'yi'qi'xiang'sheng
透澈玲珑,tou'che'ling'long
往事悠悠容细数,wang'shi'you'you'rong'xi'shu
微风燕子斜,wei'feng'yan'zi'xie
谓之有境界,wei'zhi'you'jing'jie
五代北宋之词所以独绝者在此,wu'dai'bei'song'zhi'ci'suo'yi'du'jue'zhe'zai'ci
无迹可求,wu'ji'ke'qiu
雾失楼台,wu'shi'lou'tai
无我之境,wu'wo'zhi'jing
无我之境也,wu'wo'zhi'jing'ye
西风残照,xi'feng'can'zhao
喜怒哀乐亦人心中之一境界,xi'nu'ai'le'yi'ren'xin'zhong'zhi'yi'jing'jie
细雨鱼儿出,xi'yu'yu'er'chu
夏英公之喜迁莺,xia'ying'gong'zhi'xi'qian'ying
相中之色,xiang'zhong'zhi'se
写境,xie'jing
写有我之境者为多,xie'you'wo'zhi'jing'zhe'wei'duo
严沧浪诗话谓,yan'cang'lang'shi'hua'wei
言有尽而意无穷,yan'you'jin'er'yi'wu'qiong
一宏壮也,yi'hong'zhuang'ye
以我观物,yi'wo'guan'wu
以物观物,yi'wu'guan'wu
因大诗人所造之境必合乎自然,yin'da'shi'ren'suo'zao'zhi'jing'bi'he'hu'zi'ran
犹不过道其面目,you'bu'guo'dao'qi'mian'mu
有境界,you'jing'jie
又恐他生误,you'kong'ta'sheng'wu
悠然见南山,you'ran'jian'nan'shan
又虽如何虚构之境,you'sui'ru'he'xu'gou'zhi'jing
有我之境,you'wo'zhi'jing
有我之境也,you'wo'zhi'jing'ye
有无我之境,you'wu'wo'zhi'jing
有写境,you'xie'jing
有有我之境,you'you'wo'zhi'jing
有造境,you'zao'jing
余谓北宋以前之词亦复如是,yu'wei'bei'song'yi'qian'zhi'ci'yi'fu'ru'shi
余谓此四字唯冯正中足以当之,yu'wei'ci'si'zi'wei'feng'zheng'zhong'zu'yi'dang'zhi
于由动之静时得之,yu'you'dong'zhi'jing'shi'dei'zhi
月迷津渡,yue'mi'jin'du
云破月来花弄影,yun'po'yue'lai'hua'nong'ying
造境,zao'jing
则自成高格,ze'zi'cheng'gao'ge
张皋文谓飞卿之词深美闳约,zhang'gao'wen'wei'fei'qing'zhi'ci'shen'mei'hong'yue
着一闹字而境界全出,zhe'yi'nao'zi'er'jing'jie'quan'chu
着一弄字而境界全出矣,zhe'yi'nong'zi'er'jing'jie'quan'chu'yi
自然,zi'ran
自然中之物,zi'ran'zhong'zhi'wu
自是精魂先魄去,zi'shi'jing'hun'xian'po'qu
自有名句,zi'you'ming'ju
纵使兹盟终不负,zong'shi'zi'meng'zhong'bu'fu
醉也还醒,zui'ye'hai'xing
