阿尔山,a'er'shan
阿里河,a'li'he
阿龙山,a'long'shan
阿荣旗,a'rong'qi
敖鲁古雅,ao'lu'gu'ya
八道街,ba'dao'jie
巴尔虎,ba'er'hu
巴彦托海,ba'yan'tuo'hai
班任课,ban'ren'ke
帮我上下号,bang'wo'shang'xia'hao
帮我升级撒,bang'wo'sheng'ji'sa
宝日希勒,bao'ri'xi'le
贝尔湖,bei'er'hu
北国经典,bei'guo'jing'dian
北药,bei'yao
毕力格,bi'li'ge
表太想我,biao'tai'xiang'wo
博克图,bo'ke'tu
补偿一个么,bu'chang'yi'ge'me
不代收是怎,bu'dai'shou'shi'zen
不干你闹了,bu'gan'ni'nao'le
不过是乌鸦,bu'guo'shi'wu'ya
不喜欢介个称呼,bu'xi'huan'jie'ge'cheng'hu
草原歌曲,cao'yuan'ge'qu
草原如家,cao'yuan'ru'jia
查巴奇,cha'ba'qi
柴河,chai'he
朝鲁门,chao'lu'men
陈巴尔虎旗,chen'ba'er'hu'qi
成吉思汗广场,cheng'ji'si'han'guang'chang
赤峰学院,chi'feng'xue'yuan
驰宏,chi'hong
除了闫子涵,chu'le'yan'zi'han
川天椒,chuan'tian'jiao
绰源,chuo'yuan
从海拉尔,cong'hai'la'er
嵯岗,cuo'gang
大坝沟,da'ba'gou
大榜,da'bang
大河湾,da'he'wan
达赉湖,da'lai'hu
达斡尔,da'wo'er
大兴安岭,da'xing'an'ling
大雁,da'yan
大雁吧,da'yan'ba
大雁的,da'yan'de
大杨树,da'yang'shu
大杨树镇,da'yang'shu'zhen
但市场的不错哎,dan'shi'chang'de'bu'cuo'ai
到海拉尔,dao'hai'la'er
到满洲里,dao'man'zhou'li
到内蒙,dao'nei'meng
到内蒙古,dao'nei'meng'gu
到期的话,dao'qi'de'hua
到通辽,dao'tong'liao
到牙克石,dao'ya'ke'shi
到扎兰屯,dao'zha'lan'tun
得到点卷,de'dao'dian'juan
得耳布尔,de'er'bu'er
得几天到货呀,de'ji'tian'dao'huo'ya
等我明天看看吧,deng'wo'ming'tian'kan'kan'ba
等我撒,deng'wo'sa
地方二中啊,di'fang'er'zhong'a
地方一,di'fang'yi
第一次玩火女,di'yi'ci'wan'huo'nv
第一街,di'yi'jie
顶下吧,ding'xia'ba
东胜,dong'sheng
都是紫钻的,dou'shi'zi'zuan'de
都行撒,dou'xing'sa
鄂尔多斯,e'er'duo'si
额尔古纳,e'er'gu'na
额尔古纳市,e'er'gu'na'shi
鄂伦春,e'lun'chun
鄂伦春旗,e'lun'chun'qi
鄂伦春自治旗,e'lun'chun'zi'zhi'qi
鄂温克,e'wen'ke
鄂温克旗,e'wen'ke'qi
鄂温克族自治旗,e'wen'ke'zu'zi'zhi'qi
恩呢呵呵,en'ne'he'he
二道街,er'dao'jie
发达广场,fa'da'guang'chang
发明屋,fa'ming'wu
放到窗户里面的,fang'dao'chuang'hu'li'mian'de
防火办,fang'huo'ban
粉红玛丽,fen'hong'ma'li
嘎查,ga'cha
甘河,gan'he
高台子,gao'tai'zi
根河,gen'he
根河市,gen'he'shi
谷建,gu'jian
官方团的,guan'fang'tuan'de
关门山,guan'men'shan
罐啤,guan'pi
哈达图,ha'da'tu
哈拉尔,ha'la'er
哈萨尔,ha'sa'er
还不投降啊,hai'bu'tou'xiang'a
海尔滨,hai'er'bin
海二中,hai'er'zhong
还拉低,hai'la'di
海拉尔,hai'la'er
海拉尔啊,hai'la'er'a
海拉尔吧,hai'la'er'ba
海拉尔的,hai'la'er'de
海拉尔了,hai'la'er'le
海拉尔吗,hai'la'er'ma
海拉尔呢,hai'la'er'ne
海拉尔区,hai'la'er'qu
海一中,hai'yi'zhong
好吧我再等等,hao'ba'wo'zai'deng'deng
好的再见,hao'de'zai'jian
和别人聊天呢,he'bie'ren'liao'tian'ne
和谁聊那,he'shei'liao'na
合作区,he'zuo'qu
黑山头,hei'shan'tou
红花尔基,hong'hua'er'ji
后面的毛笔字,hou'mian'de'mao'bi'zi
呼和,hu'he
呼和诺尔,hu'he'nuo'er
呼伦,hu'lun
呼伦贝,hu'lun'bei
呼伦贝尔,hu'lun'bei'er
呼伦贝尔的,hu'lun'bei'er'de
呼伦贝尔火网,hu'lun'bei'er'huo'wang
呼伦贝尔市,hu'lun'bei'er'shi
呼伦贝尔学院,hu'lun'bei'er'xue'yuan
呼伦湖,hu'lun'hu
华汇,hua'hui
晃电话,huang'dian'hua
黄雨欣,huang'yu'xin
回海拉尔,hui'hai'la'er
会玩款,hui'wan'kuan
回牙克石,hui'ya'ke'shi
霍尔奇,huo'er'qi
霍林郭勒,huo'lin'guo'le
霍林河,huo'lin'he
火网,huo'wang
或者逼的,huo'zhe'bi'de
几道街,ji'dao'jie
加格达奇,jia'ge'da'qi
家爷,jia'ye
家族随意,jia'zu'sui'yi
姐姐美女,jie'jie'mei'nv
今天拿手机了啊,jin'tian'na'shou'ji'le'a
金帐汗,jin'zhang'han
九居,jiu'ju
就泡汤了,jiu'pao'tang'le
可可多好啊,ke'ke'duo'hao'a
克石,ke'shi
可是被,ke'shi'bei
克一河,ke'yi'he
科右中旗,ke'you'zhong'qi
库都尔,ku'dou'er
库伦旗,ku'lun'qi
款的窗户,kuan'de'chuang'hu
拉布大林,la'bu'da'lin
喇嘛山,la'ma'shan
来海拉尔,lai'hai'la'er
来满洲里,lai'man'zhou'li
来牙克石,lai'ya'ke'shi
老弟我问你,lao'di'wo'wen'ni
老犊子,lao'du'zi
劳烦你了,lao'fan'ni'le
离开三个月,li'kai'san'ge'yue
练字书,lian'zi'shu
聊吃,liao'chi
聊次,liao'ci
猎民村,lie'min'cun
林管局,lin'guan'ju
林业局,lin'ye'ju
岭东,ling'dong
灵泉,ling'quan
六道街,liu'dao'jie
柳蒿芽,liu'hao'ya
龙凤家园,long'feng'jia'yuan
龙凤新天地,long'feng'xin'tian'di
露天矿,lu'tian'kuang
卢亚茹,lu'ya'ru
