白沙茅龙笔,bai'sha'mao'long'bi
白沙子集,bai'sha'zi'ji
白水带,bai'shui'dai
白水带水月宫,bai'shui'dai'shui'yue'gong
百岁流芳石牌坊,bai'sui'liu'fang'shi'pai'fang
白玉塔,bai'yu'ta
宝和按当铺旧址,bao'he'an'dang'pu'jiu'zhi
北街天主教堂,bei'jie'tian'zhu'jiao'tang
碑廊及大雄宝殿,bei'lang'ji'da'xiong'bao'dian
北纬二十二度三十五分,bei'wei'er'shi'er'du'san'shi'wu'fen
北纬二十二度五分,bei'wei'er'shi'er'du'wu'fen
北枕皂幕,bei'zhen'zao'mu
遍布河网的冲积平原,bian'bu'he'wang'de'chong'ji'ping'yuan
冰臼,bing'jiu
蔡李佛拳,cai'li'fo'quan
蚕丝,can'si
茶庵公园,cha'an'gong'yuan
茶庵寺,cha'an'si
茶叶,cha'ye
潮连洪圣殿,chao'lian'hong'sheng'dian
潮人径,chao'ren'jing
撤市设区,che'shi'she'qu
陈白沙祠,chen'bai'sha'ci
陈白沙钓鱼台,chen'bai'sha'diao'yu'tai
陈白沙墓,chen'bai'sha'mu
陈非侬,chen'fei'nong
陈梦吉民间故事,chen'meng'ji'min'jian'gu'shi
陈梦吉墓,chen'meng'ji'mu
陈皮被慈禧指定为贡品,chen'pi'bei'ci'xi'zhi'ding'wei'gong'pin
陈皮鸡,chen'pi'ji
陈皮梅,chen'pi'mei
陈少白故居,chen'shao'bai'gu'ju
陈少白墓,chen'shao'bai'mu
陈献章,chen'xian'zhang
陈垣故居,chen'yuan'gu'ju
叱石摩崖石刻,chi'shi'mo'ya'shi'ke
叱石松涛,chi'shi'song'tao
冲蒌冬瓜,chong'lou'dong'gua
重阳登高,chong'yang'deng'gao
重阳圭峰登高习俗,chong'yang'gui'feng'deng'gao'xi'su
慈元庙碑刻,ci'yuan'miao'bei'ke
慈元庙旧址,ci'yuan'miao'jiu'zhi
大鳌慈姑,da'ao'ci'gu
大鳌岛,da'ao'dao
大鳌咸水歌,da'ao'xian'shui'ge
大润发,da'run'fa
大业元年废冈州,da'ye'yuan'nian'fei'gang'zhou
大有凉果,da'you'liang'guo
大泽赛龙舟,da'ze'sai'long'zhou
代表权力象征的礼器,dai'biao'quan'li'xiang'zheng'de'li'qi
倒挂汤,dao'gua'tang
道教,dao'jiao
德国信义宗,de'guo'xin'yi'zong
第二批广东省历史文化名城,di'er'pi'guang'dong'sheng'li'shi'wen'hua'ming'cheng
第四纪冰川时代形成的冰臼,di'si'ji'bing'chuan'shi'dai'xing'cheng'de'bing'jiu
第一条火车轮渡铁路,di'yi'tiao'huo'che'lun'du'tie'lu
钓台故址,diao'tai'gu'zhi
东含澳门,dong'han'ao'men
东坡荔,dong'po'li
东亭驿,dong'ting'yi
东洲公司,dong'zhou'gong'si
豆腐角,dou'fu'jiao
都会罗山咀文化,dou'hui'luo'shan'ju'wen'hua
都会乡黄道娘,dou'hui'xiang'huang'dao'niang
斗山茭笋,dou'shan'jiao'sun
杜阮大顶凉瓜,du'ruan'da'ding'liang'gua
杜阮鸡,du'ruan'ji
杜阮一品夫人米氏墓,du'ruan'yi'pin'fu'ren'mi'shi'mu
扼江海之要冲,e'jiang'hai'zhi'yao'chong
二十一世纪初,er'shi'yi'shi'ji'chu
发电厂,fa'dian'chang
方济阁墓园,fang'ji'ge'mu'yuan
非物质文化遗产,fei'wu'zhi'wen'hua'yi'chan
飞行员战斗曲,fei'xing'yuan'zhan'dou'qu
粉葛,fen'ge
冯业,feng'ye
佛教,fo'jiao
佛朗机人别都卢,fo'lang'ji'ren'bie'dou'lu
盖鸣晖,gai'ming'hui
赣语,gan'yu
冈州遗稿,gang'zhou'yi'gao
隔石步河相望,ge'shi'bu'he'xiang'wang
耿继茂,geng'ji'mao
公坑雀花,gong'keng'que'hua
工业立市,gong'ye'li'shi
公元前四千年,gong'yuan'qian'si'qian'nian
狗山起事,gou'shan'qi'shi
古城遗址,gu'cheng'yi'zhi
