艾封人之子也,ai'feng'ren'zhi'zi'ye
哀公异日以告闵子曰,ai'gong'yi'ri'yi'gao'min'zi'yue
哀公曰,ai'gong'yue
爱己而造哀也,ai'ji'er'zao'ai'ye
爱利出乎仁义,ai'li'chu'hu'ren'yi
爱民,ai'min
爱人利物之谓仁,ai'ren'li'wu'zhi'wei'ren
爱使其形者也,ai'shi'qi'xing'zhe'ye
爱以身于为天下,ai'yi'shen'yu'wei'tian'xia
哀又继之,ai'you'ji'zhi
哀乐不能入也,ai'yue'bu'neng'ru'ye
哀乐不易施乎前,ai'yue'bu'yi'shi'hu'qian
哀乐之来,ai'yue'zhi'lai
哀之末也,ai'zhi'mo'ye
爱之所以成,ai'zhi'suo'yi'cheng
爱之则亲,ai'zhi'ze'qin
安藏人心,an'cang'ren'xin
安得而至焉,an'de'er'zhi'yan
安化安不化,an'hua'an'bu'hua
案剑,an'jian
安可解,an'ke'jie
安可久长也,an'ke'jiu'chang'ye
安能化人,an'neng'hua'ren
安能治人,an'neng'zhi'ren
安排而去化,an'pai'er'qu'hua
安其居,an'qi'ju
安取道哉,an'qu'dao'zai
安取仁义,an'qu'ren'yi
安时而处顺,an'shi'er'chu'shun
安所困苦哉,an'suo'kun'ku'zai
安往而不爱哉,an'wang'er'bu'ai'zai
安危相易,an'wei'xiang'yi
安用礼乐,an'yong'li'yue
安与之相靡,an'yu'zhi'xiang'mi
安知夫子之犹若是也,an'zhi'fu'zi'zhi'you'ruo'shi'ye
安知我不知鱼之乐,an'zhi'wo'bu'zhi'yu'zhi'le
案之无下,an'zhi'wu'xia
案之亦无下,an'zhi'yi'wu'xia
安知鱼之乐,an'zhi'yu'zhi'le
翱翔蓬蒿之间,ao'xiang'peng'hao'zhi'jian
骜终身之丑,ao'zhong'shen'zhi'chou
罢兵休卒,ba'bing'xiu'zu
拔出公忠之属而无阿私,ba'chu'gong'zhong'zhi'shu'er'wu'a'si
拔举而不失其能,ba'ju'er'bu'shi'qi'neng
八年而不知死,ba'nian'er'bu'zhi'si
八年七旱,ba'nian'qi'han
八千岁为秋,ba'qian'sui'wei'qiu
八窍者卵生,ba'qiao'zhe'luan'sheng
白波若山,bai'bo'ruo'shan
百步一饮,bai'bu'yi'yin
百材皆度,bai'cai'jie'du
百川灌河,bai'chuan'guan'he
百工有器械之巧则壮,bai'gong'you'qi'xie'zhi'qiao'ze'zhuang
白公争而灭,bai'gong'zheng'er'mie
百骸,bai'hai
柏矩学于老聃,bai'ju'xue'yu'lao'dan
百里奚爵禄不入于心,bai'li'xi'jue'lu'bu'ru'yu'xin
百年之木,bai'nian'zhi'mu
白刃交于前,bai'ren'jiao'yu'qian
百舍重趼而不敢息,bai'she'chong'jian'er'bu'gan'xi
百姓悦之,bai'xing'yue'zhi
白玉不毁,bai'yu'bu'hui
抱德炀和,bao'de'yang'he
苞裹六极,bao'guo'liu'ji
鲍焦饰行非世,bao'jiao'shi'xing'fei'shi
报孔子,bao'kong'zi
葆力之士也,bao'li'zhi'shi'ye
抱梁柱而死,bao'liang'zhu'er'si
抱木而燔死,bao'mu'er'fan'si
抱木而死,bao'mu'er'si
抱其天乎,bao'qi'tian'hu
暴人之前者,bao'ren'zhi'qian'zhe
抱汝生,bao'ru'sheng
抱神以静,bao'shen'yi'jing
鲍叔牙,bao'shu'ya
抱瓮而出灌,bao'weng'er'chu'guan
豹养其内而虎食其外,bao'yang'qi'nei'er'hu'shi'qi'wai
包以四夷,bao'yi'si'yi
胞有重阆,bao'you'zhong'lang
薄于义而不积,bao'yu'yi'er'bu'ji
宝之至也,bao'zhi'zhi'ye
鲍子立干,bao'zi'li'gan
卑而不可不因者,bei'er'bu'ke'bu'yin'zhe
北方之贤者也,bei'fang'zhi'xian'zhe'ye
悲夫,bei'fu
背负青天而莫之夭阏者,bei'fu'qing'tian'er'mo'zhi'yao'yan'zhe
北宫奢为卫灵公赋敛以为钟,bei'gong'she'wei'wei'ling'gong'fu'lian'yi'wei'zhong
北海若曰,bei'hai'ruo'yue
北海之帝为忽,bei'hai'zhi'di'wei'hu
悲乐者,bei'le'zhe
北门成问于黄帝曰,bei'men'cheng'wen'yu'huang'di'yue
北面而不见冥山,bei'mian'er'bu'jian'ming'shan
北面而问曰,bei'mian'er'wen'yue
北面之祸也,bei'mian'zhi'huo'ye
北冥有鱼,bei'ming'you'yu
背逡巡,bei'qun'xun
北人无择曰,bei'ren'wu'ze'yue
背若泰山,bei'ruo'tai'shan
卑身而伏,bei'shen'er'fu
北使齐鲁,bei'shi'qi'lu
备物将以形,bei'wu'jiang'yi'xing
惫也,bei'ye
被衣大说,bei'yi'da'shuo
被衣曰,bei'yi'yue
奔蜂不能化藿,ben'feng'bu'neng'hua'huo
本乎天,ben'hu'tian
本在于上,ben'zai'yu'shang
彼必,bi'bi
彼必相与异,bi'bi'xiang'yu'yi
彼不得梦,bi'bu'de'meng
必不胜任矣,bi'bu'sheng'ren'yi
彼曾,bi'ceng
必察其所以之与其所以为,bi'cha'qi'suo'yi'zhi'yu'qi'suo'yi'wei
鼻彻为颤,bi'che'wei'chan
必持其名,bi'chi'qi'ming
必出乎无有,bi'chu'hu'wu'you
彼出于是,bi'chu'yu'shi
彼得全于酒而犹若是,bi'de'quan'yu'jiu'er'you'ruo'shi
彼恶得而鬻之,bi'e'de'er'yu'zhi
彼恶得而知之,bi'e'de'er'zhi'zhi
彼方且与造物者为人,bi'fang'qie'yu'zao'wu'zhe'wei'ren
彼非所明而明之,bi'fei'suo'ming'er'ming'zhi
彼非以兴名誉也,bi'fei'yi'xing'ming'yu'ye
必分其能,bi'fen'qi'neng
必服恭俭,bi'fu'gong'jian
彼富则人归之,bi'fu'ze'ren'gui'zhi
比干,bi'gan
比干戮,bi'gan'lu
比干剖,bi'gan'pou
比干剖心,bi'gan'pou'xin
彼固惑而来矣,bi'gu'huo'er'lai'yi
彼故鬻之,bi'gu'yu'zhi
彼故知之,bi'gu'zhi'zhi
必归其天,bi'gui'qi'tian
彼何宾宾以学子为,bi'he'bin'bin'yi'xue'zi'wei
彼何人哉,bi'he'ren'zai
彼何人者邪,bi'he'ren'zhe'xie
彼何为者也,bi'he'wei'zhe'ye
彼何暇安其性命之情哉,bi'he'xia'an'qi'xing'ming'zhi'qing'zai
彼何罪焉,bi'he'zui'yan
彼假修浑沌氏之术者也,bi'jia'xiu'hun'dun'shi'zhi'shu'zhe'ye
毕见其情事而行其所为,bi'jian'qi'qing'shi'er'xing'qi'suo'wei
彼将处乎不淫之度,bi'jiang'chu'hu'bu'yin'zhi'du
彼将内求于己而不得,bi'jiang'nei'qiu'yu'ji'er'bu'de
彼教不学,bi'jiao'bu'xue
彼节者有间而刀刃者无厚,bi'jie'zhe'you'jian'er'dao'ren'zhe'wu'hou
彼近吾死而我不听,bi'jin'wu'si'er'wo'bu'ting
必静必清,bi'jing'bi'qing
彼来则我与之来,bi'lai'ze'wo'yu'zhi'lai
彼民有常性,bi'min'you'chang'xing
必能教其弟,bi'neng'jiao'qi'di
必能诏其子,bi'neng'zhao'qi'zi
闭女外,bi'nv'wai
彼其道幽远而无人,bi'qi'dao'you'yuan'er'wu'ren
彼其道远而险,bi'qi'dao'yuan'er'xian
彼其乎归居,bi'qi'hu'gui'ju
彼其所殉仁义也,bi'qi'suo'xun'ren'yi'ye
彼其所以会之,bi'qi'suo'yi'hui'zhi
彼其外与,bi'qi'wai'yu
彼其物无测,bi'qi'wu'wu'ce
彼其物无穷,bi'qi'wu'wu'qiong
必其行,bi'qi'xing
必齐以静心,bi'qi'yi'jing'xin
彼其于世,bi'qi'yu'shi
彼其真是也,bi'qi'zhen'shi'ye
彼强阳则我与之强阳,bi'qiang'yang'ze'wo'yu'zhi'qiang'yang
彼且乘人而无天,bi'qie'cheng'ren'er'wu'tian
彼且恶乎待哉,bi'qie'e'hu'dai'zai
彼窃钩者诛,bi'qie'gou'zhe'zhu
彼且何肯以物为事乎,bi'qie'he'ken'yi'wu'wei'shi'hu
必且数眯焉,bi'qie'shu'mi'yan
彼且为无町畦,bi'qie'wei'wu'ding'qi
彼且为无崖,bi'qie'wei'wu'ya
彼且为婴儿,bi'qie'wei'ying'er
彼且奚适也,bi'qie'xi'shi'ye
彼且以蕲以,bi'qie'yi'qi'yi
彼且以丘为佞人也,bi'qie'yi'qiu'wei'ning'ren'ye
彼且择日而登假,bi'qie'ze'ri'er'deng'jia
必取其绪,bi'qu'qi'xu
彼人含其明,bi'ren'han'qi'ming
彼仁人何其多忧也,bi'ren'ren'he'qi'duo'you'ye
必入而叹,bi'ru'er'tan
彼审乎禁过,bi'shen'hu'jin'guo
彼圣人者,bi'sheng'ren'zhe
必生于尧,bi'sheng'yu'yao
必盛卒徒而后敢出焉,bi'sheng'zu'tu'er'hou'gan'chu'yan
彼是方生之说也,bi'shi'fang'sheng'zhi'shuo'ye
彼是莫得其偶,bi'shi'mo'de'qi'ou
彼视三釜,bi'shi'san'fu
彼视渊若陵,bi'shi'yuan'ruo'ling
避世之人,bi'shi'zhi'ren
必授之职,bi'shou'zhi'zhi
必死于暴人之前矣,bi'si'yu'bao'ren'zhi'qian'yi
彼特以天为父,bi'te'yi'tian'wei'fu
彼往则我与之往,bi'wang'ze'wo'yu'zhi'wang
彼为本末非本末,bi'wei'ben'mo'fei'ben'mo
彼为己,bi'wei'ji
彼为积散非积散也,bi'wei'ji'san'fei'ji'san'ye
彼唯人言之恶闻,bi'wei'ren'yan'zhi'e'wen
彼为衰杀非衰杀,bi'wei'shuai'sha'fei'shuai'sha
彼为盈虚非盈虚,bi'wei'ying'xu'fei'ying'xu
彼未知夫无方之传,bi'wei'zhi'fu'wu'fang'zhi'chuan
彼无故以合者,bi'wu'gu'yi'he'zhe
彼无为谓真是也,bi'wu'wei'wei'zhen'shi'ye
彼兀者也,bi'wu'zhe'ye
避席反走,bi'xi'fan'zou
比牺尊于沟中之断,bi'xi'zun'yu'gou'zhong'zhi'duan
必信,bi'xin
彼已尽矣,bi'yi'jin'yi
彼以利合,bi'yi'li'he
彼以生为附赘县疣,bi'yi'sheng'wei'fu'zhui'xuan'you
彼亦是也,bi'yi'shi'ye
必以我为贪也,bi'yi'wo'wei'tan'ye
必以我为贼也,bi'yi'wo'wei'zei'ye
彼亦一是非,bi'yi'yi'shi'fei
彼亦直寄焉,bi'yi'zhi'ji'yan
必有不蕲言而言,bi'you'bu'qi'yan'er'yan
彼又恶能,bi'you'e'neng
彼又恶能无惊乎哉,bi'you'e'neng'wu'jing'hu'zai
彼游方之外者也,bi'you'fang'zhi'wai'zhe'ye
必由其名,bi'you'qi'ming
必有人道之患,bi'you'ren'dao'zhi'huan
必有重赏大功而后得见,bi'you'zhong'shang'da'gong'er'hou'de'jian
彼与彼不知也,bi'yu'bi'bu'zhi'ye
比于大泽,bi'yu'da'ze
彼于致福者,bi'yu'zhi'fu'zhe
必与之莫多,bi'yu'zhi'mo'duo
彼正而蒙己德,bi'zheng'er'meng'ji'de
彼正正者,bi'zheng'zheng'zhe
彼知颦美而不知颦之所以美,bi'zhi'pin'mei'er'bu'zhi'pin'zhi'suo'yi'mei
彼知丘之著于己也,bi'zhi'qiu'zhi'zhu'yu'ji'ye
彼之谓不道之道,bi'zhi'wei'bu'dao'zhi'dao
彼直以循斯须也,bi'zhi'yi'xun'si'xu'ye
彼至则不论,bi'zhi'ze'bu'lun
比周而友,bi'zhou'er'you
辩不能举也,bian'bu'neng'ju'ye
辩不若默,bian'bu'ruo'mo
变而有气,bian'er'you'qi
变固外战,bian'gu'wai'zhan
辩乎荣辱之境,bian'hu'rong'ru'zhi'jing
编虎须,bian'hu'xu
变化齐一,bian'hua'qi'yi
变化之流也,bian'hua'zhi'liu'ye
边竟有人焉,bian'jing'you'ren'yan
辩其所不能辩也,bian'qi'suo'bu'neng'bian'ye
扁然而万物,bian'ran'er'wan'wu
辩士无谈说之序则不乐,bian'shi'wu'tan'shuo'zhi'xu'ze'bu'le
卞随辞曰,bian'sui'ci'yue
辩虽雕万物,bian'sui'diao'wan'wu
卞随曰,bian'sui'yue
辩也者,bian'ye'zhe
辩者,bian'zhe
辩者有言曰,bian'zhe'you'yan'yue
辩之不必慧,bian'zhi'bu'bi'hui
编之以皂栈,bian'zhi'yi'zao'zhan
扁子入,bian'zi'ru
扁子曰,bian'zi'yue
辩足以饰非,bian'zu'yi'shi'fei
宾礼乐,bin'li'yue
宾于乡里,bin'yu'xiang'li
邴邴乎其似喜也,bing'bing'hu'qi'si'xi'ye
病而求医,bing'er'qiu'yi
兵革之士乐战,bing'ge'zhi'shi'le'zhan
并溃漏发,bing'kui'lou'fa
兵莫惨于志,bing'mo'can'yu'zhi
秉人之知谋以为明察,bing'ren'zhi'zhi'mou'yi'wei'ming'cha
病也,bing'ye
并与其圣知之法而盗之,bing'yu'qi'sheng'zhi'zhi'fa'er'dao'zhi
病者能言其病,bing'zhe'neng'yan'qi'bing
搏币而扶翼,bo'bi'er'fu'yi
伯常骞,bo'chang'qian
伯常骞曰,bo'chang'qian'yue
伯成子高辞为诸侯而耕,bo'cheng'zi'gao'ci'wei'zhu'hou'er'geng
伯成子高立为诸侯,bo'cheng'zi'gao'li'wei'zhu'hou
伯皇氏,bo'huang'shi
伯昏无人曰,bo'hun'wu'ren'yue
伯乐善治马,bo'le'shan'zhi'ma
伯乐之罪也,bo'le'zhi'zui'ye
博溺心,bo'ni'xin
勃然动,bo'ran'dong
伯夷,bo'yi
伯夷辞之以为名,bo'yi'ci'zhi'yi'wei'ming
伯夷死名于首阳之下,bo'yi'si'ming'yu'shou'yang'zhi'xia
卜葬于故墓,bo'zang'yu'gu'mu
卜葬于沙丘而吉,bo'zang'yu'sha'qiu'er'ji
剥则辱,bo'ze'ru
卜之,bo'zhi
搏之而不得也,bo'zhi'er'bu'de'ye
勃志也,bo'zhi'ye
不哀夭,bu'ai'yao
不爱则不孝,bu'ai'ze'bu'xiao
不比而周,bu'bi'er'zhou
不避高下,bu'bi'gao'xia
不比则不利也,bu'bi'ze'bu'li'ye
不辩牛马,bu'bian'niu'ma
不藏是非美恶,bu'cang'shi'fei'mei'e
不成者为尾,bu'cheng'zhe'wei'wei
不翅于父母,bu'chi'yu'fu'mu
不丑穷,bu'chou'qiong
不出乎害人,bu'chu'hu'hai'ren
不穿耳,bu'chuan'er
不纯于德,bu'chun'yu'de
不贷,bu'dai
不当时命而大穷乎天下,bu'dang'shi'ming'er'da'qiong'hu'tian'xia
不道引而寿,bu'dao'yin'er'shou
不道之道,bu'dao'zhi'dao
不得成,bu'de'cheng
不得复使,bu'de'fu'shi
不得其类焉尔,bu'de'qi'lei'yan'er
不得已而后起,bu'de'yi'er'hou'qi
不得已于事也,bu'de'yi'yu'shi'ye
不得已之类,bu'de'yi'zhi'lei
不得则惑,bu'de'ze'huo
不多辞让,bu'duo'ci'rang
不多辟异,bu'duo'pi'yi
不多仁恩,bu'duo'ren'en
不多食乎力,bu'duo'shi'hu'li
不罚而民畏,bu'fa'er'min'wei
不废穷民,bu'fei'qiong'min
不冯其子,bu'feng'qi'zi
不敢怀非誉巧拙,bu'gan'huai'fei'yu'qiao'zhuo
不敢去之,bu'gan'qu'zhi
不敢食一脔,bu'gan'shi'yi'luan
不敢以全物与之,bu'gan'yi'quan'wu'yu'zhi
不敢以生物与之,bu'gan'yi'sheng'wu'yu'zhi
不敢饮食,bu'gan'yin'shi
不敢饮一杯,bu'gan'yin'yi'bei
不敢用也,bu'gan'yong'ye
不告则不知其爱人也,bu'gao'ze'bu'zhi'qi'ai'ren'ye
不告则不知其美于人也,bu'gao'ze'bu'zhi'qi'mei'yu'ren'ye
不耕而食,bu'geng'er'shi
不顾父母兄弟,bu'gu'fu'mu'xiong'di
不过此矣,bu'guo'ci'yi
不过满腹,bu'guo'man'fu
不过数金,bu'guo'shu'jin
不过数仞而下,bu'guo'shu'ren'er'xia
不过一枝,bu'guo'yi'zhi
不忽于人,bu'hu'yu'ren
布挥而不曳,bu'hui'er'bu'ye
不货,bu'huo
不吉,bu'ji
不祭先祖,bu'ji'xian'zu
不及孝之言也,bu'ji'xiao'zhi'yan'ye
不疾易水,bu'ji'yi'shui
不疾易薮,bu'ji'yi'sou
不及有虞氏乎,bu'ji'you'yu'shi'hu
不际之际,bu'ji'zhi'ji
不见己焉尔,bu'jian'ji'yan'er
不贱门隶,bu'jian'men'li
