啊波,a'bo
啊奶,a'nai
阿苏着,a'su'zhe
八角,ba'jiao
叭啦,ba'la
叭啦匠,ba'la'jiang
百花,bai'hua
白水巷,bai'shui'xiang
办事,ban'shi
膀子,bang'zi
包谷,bao'gu
北浦路,bei'pu'lu
必达,bi'da
不过么,bu'guo'me
不消,bu'xiao
不有,bu'you
不有普气,bu'you'pu'qi
采烟,cai'yan
茶花桥,cha'hua'qiao
唱调子,chang'diao'zi
常来吃,chang'lai'chi
肠子,chang'zi
吃不成,chi'bu'cheng
吃茶,chi'cha
吃得成,chi'de'cheng
吃定酒,chi'ding'jiu
吃鸡酒,chi'ji'jiu
吃酒,chi'jiu
吃杀猪饭,chi'sha'zhu'fan
吃台酒,chi'tai'jiu
吃烟,chi'yan
吃一台酒,chi'yi'tai'jiu
臭菜,chou'cai
臭豆腐砂锅米线,chou'dou'fu'sha'guo'mi'xian
出行,chu'xing
楚雄,chu'xiong
楚雄彝族自治州,chu'xiong'yi'zu'zi'zhi'zhou
吹叭啦,chui'ba'la
刺头菜,ci'tou'cai
攒歌,cuan'ge
脆皮肉,cui'pi'rou
大槽子,da'cao'zi
大爹,da'die
大翻歌,da'fan'ge
打核桃,da'he'tao
大鸡街,da'ji'jie
大舅母,da'jiu'mu
大路边,da'lu'bian
大妈,da'ma
大麦地,da'mai'di
大明星,da'ming'xing
大嬢,da'niang
大蛇腰,da'she'yao
大水箐,da'shui'jing
大田,da'tian
大亭垭口,da'ting'ya'kou
大耶,da'ye
傣味,dai'wei
倒攒歌,dao'cuan'ge
得很,de'hen
德江路,de'jiang'lu
抵不住,di'bu'zhu
调子,diao'zi
定酒,ding'jiu
肚子,du'zi
对子,dui'zi
朵稀,duo'xi
二大爹,er'da'die
二大妈,er'da'ma
二号桥,er'hao'qiao
二舅母,er'jiu'mu
饵块,er'kuai
二娘,er'niang
二耶,er'ye
二中,er'zhong
法古莋,fa'gu'zuo
烦得很,fan'de'hen
翻歌,fan'ge
分烟,fen'yan
蜂子,feng'zi
府后街,fu'hou'jie
干巴,gan'ba
干巴加肠子,gan'ba'jia'chang'zi
干巴菌,gan'ba'jun
干国,gan'guo
赶街,gan'jie
干酒,gan'jiu
肝生,gan'sheng
搞不了,gao'bu'liao
歌唱天下,ge'chang'tian'xia
歌行天下,ge'xing'tian'xia
给吃得成,gei'chi'de'cheng
给好瞧,gei'hao'qiao
给好玩,gei'hao'wan
给活,gei'huo
给怕,gei'pa
给怕不会,gei'pa'bu'hui
给怕不是,gei'pa'bu'shi
给认得,gei'ren'de
给是,gei'shi
给要得,gei'yao'de
给要得成,gei'yao'de'cheng
给整得成,gei'zheng'de'cheng
骨头生,gu'tou'sheng
挂门钱,gua'men'qian
罐罐米线,guan'guan'mi'xian
关龙,guan'long
鬼火,gui'huo
鬼火绿,gui'huo'lv
鬼火冒,gui'huo'mao
过山调,guo'shan'tiao
蛤蟆水井,ha'ma'shui'jing
憨毛驴,han'mao'lv
憨杂种,han'za'zhong
好瞧,hao'qiao
好瞧呢,hao'qiao'ne
好玩,hao'wan
贺叭啦,he'ba'la
和瑞祥,he'rui'xiang
核桃树,he'tao'shu
红豆炒腌菜,hong'dou'chao'yan'cai
红豆腌菜汤,hong'dou'yan'cai'tang
红烧,hong'shao
后山田,hou'shan'tian
后山垭口,hou'shan'ya'kou
葫芦包,hu'lu'bao
虎掌菌,hu'zhang'jun
环城西路,huan'cheng'xi'lu
汇东街,hui'dong'jie
回子,hui'zi
回族馆,hui'zu'guan
火把节,huo'ba'jie
火腿脚,huo'tui'jiao
鸡卦,ji'gua
鸡酒,ji'jiu
祭龙,ji'long
祭山神,ji'shan'shen
鸡枞,ji'zong
鸡枞油,ji'zong'you
家堂,jia'tang
见手青,jian'shou'qing
江以歌,jiang'yi'ge
叫魂,jiao'hun
接亲,jie'qin
接祖,jie'zu
金鹿中学,jin'lu'zhong'xue
敬神,jing'shen
经销路,jing'xiao'lu
九会,jiu'hui
舅老爹,jiu'lao'die
舅老公,jiu'lao'gong
舅母,jiu'mu
舅奶奶,jiu'nai'nai
菌子,jun'zi
菌子火锅,jun'zi'huo'guo
开发区,kai'fa'qu
克哪点,ke'na'dian
苦刺花,ku'ci'hua
阔不住,kuo'bu'zhu
剌田,la'tian
辣子,la'zi
来一组,lai'yi'zu
郎舅,lang'jiu
老厂,lao'chang
老爹,lao'die
老倌,lao'guan
老回子,lao'hui'zi
老火,lao'huo
老奶洋芋,lao'nai'yang'yu
老嬢,lao'niang
老亲爹,lao'qin'die
老亲妈,lao'qin'ma
老烧箐,lao'shao'jing
老耶,lao'ye
老姨爹,lao'yi'die
老姨妈,lao'yi'ma
老彝族,lao'yi'zu
犁地,li'di
礼舍江,li'she'jiang
炼油,lian'you
凉米线,liang'mi'xian
凉片,liang'pian
六街,liu'jie
六月二十四,liu'yue'er'shi'si
龙江公园,long'jiang'gong'yuan
卤腐,lu'fu
鹿小,lu'xiao
乱麻麻,luan'ma'ma
乱麻麻呢,luan'ma'ma'ne
萝卜丝,luo'bo'si
吕记农家菜,lv'ji'nong'jia'cai
马牙菌,ma'ya'jun
麦地湾,mai'di'wan
卖烟,mai'yan
冒实,mao'shi
