阿爸父,a'ba'fu
阿拉法,a'la'fa
阿们,a'men
挨打,ai'da
挨冻,ai'dong
挨冻的律,ai'dong'de'lv
挨个,ai'ge
挨骂,ai'ma
爱能遮掩,ai'neng'zhe'yan
爱能遮掩许多过犯,ai'neng'zhe'yan'xu'duo'guo'fan
爱人,ai'ren
爱人如己,ai'ren'ru'ji
碍事,ai'shi
爱是不嫉妒,ai'shi'bu'ji'du
爱是不自夸,ai'shi'bu'zi'kua
爱心就是联络全德的,ai'xin'jiu'shi'lian'luo'quan'de'de
爱心相同,ai'xin'xiang'tong
爱宴乐,ai'yan'le
爱真理的心,ai'zhen'li'de'xin
挨咒诅,ai'zhou'zu
爱主,ai'zhu
爱子,ai'zi
爱子的血,ai'zi'de'xue
按规矩,an'gui'ju
按理,an'li
按立,an'li
暗昧,an'mei
暗昧无益,an'mei'wu'yi
按肉体,an'rou'ti
按手,an'shou
按手的时候赐给你的,an'shou'de'shi'hou'ci'gei'ni'de
按手之礼,an'shou'zhi'li
安提阿,an'ti'a
按外貌,an'wai'mao
按外在,an'wai'zai
安息,an'xi
安息了,an'xi'le
安息年,an'xi'nian
安息日会异端,an'xi'ri'hui'yi'duan
暗笑,an'xiao
按照,an'zhao
按着,an'zhe
懊悔死行,ao'hui'si'xing
熬炼,ao'lian
巴比伦,ba'bi'lun
巴比伦大淫妇,ba'bi'lun'da'yin'fu
巴不得,ba'bu'de
巴兰,ba'lan
巴力,ba'li
把骆驼吞下去,ba'luo'tuo'tun'xia'qu
把螨虫滤出来,ba'man'chong'lv'chu'lai
把你们引到自己面前,ba'ni'men'yin'dao'zi'ji'mian'qian
把它撤去,ba'ta'che'qu
把他挽回过来,ba'ta'wan'hui'guo'lai
把物件看成是心灵,ba'wu'jian'kan'cheng'shi'xin'ling
把永生神离弃了,ba'yong'sheng'shen'li'qi'le
把众人都圈在罪里,ba'zhong'ren'dou'quan'zai'zui'li
把罪的律破坏了,ba'zui'de'lv'po'huai'le
百般,bai'ban
白得,bai'de
白得为业,bai'de'wei'ye
败坏,bai'huai
败坏的辖制,bai'huai'de'xia'zhi
百节,bai'jie
百节各按各职,bai'jie'ge'an'ge'zhi
百节各按其职,bai'jie'ge'an'qi'zhi
摆列在空中,bai'lie'zai'kong'zhong
拜偶像,bai'ou'xiang
拜兽和兽像,bai'shou'he'shou'xiang
拜兽像,bai'shou'xiang
白昼之子,bai'zhou'zhi'zi
颁布,ban'bu
颁布律法,ban'bu'lv'fa
绊倒,ban'dao
绊跌,ban'die
绊脚,ban'jiao
绊脚的石头,ban'jiao'de'shi'tou
绊脚石,ban'jiao'shi
办自己的事,ban'zi'ji'de'shi
膀臂,bang'bi
宝贝放在瓦器里,bao'bei'fang'zai'wa'qi'li
报恶信,bao'e'xin
报恶信息,bao'e'xin'xi
宝盒,bao'he
保惠师,bao'hui'shi
保罗光照以后,bao'luo'guang'zhao'yi'hou
保守你们的心怀意念,bao'shou'ni'men'de'xin'huai'yi'nian
保守我们的心,bao'shou'wo'men'de'xin
宝血,bao'xue
宝训,bao'xun
饱足,bao'zu
被称义,bei'cheng'yi
被称义得生命,bei'cheng'yi'de'sheng'ming
被除去,bei'chu'qu
被传于外邦,bei'chuan'yu'wai'bang
背道,bei'dao
被钉在十字架上,bei'ding'zai'shi'zi'jia'shang
被定罪,bei'ding'zui
被恩感,bei'en'gan
被过犯所胜,bei'guo'fan'suo'sheng
被害受辱,bei'hai'shou'ru
背后,bei'hou
背后说人,bei'hou'shuo'ren
卑贱的身体,bei'jian'de'shen'ti
被建造,bei'jian'zao
被浇奠,bei'jiao'dian
被接,bei'jie
被接升天,bei'jie'sheng'tian
被接在荣耀里,bei'jie'zai'rong'yao'li
被看守,bei'kan'shou
被看守在律法之下,bei'kan'shou'zai'lv'fa'zhi'xia
被捆锁,bei'kun'suo
背离,bei'li
被掳,bei'lu
被迷惑,bei'mi'huo
悖谬,bei'miu
悖逆,bei'ni
悖逆之子,bei'ni'zhi'zi
杯盘,bei'pan
背弃,bei'qi
被囚的,bei'qiu'de
被劝勉,bei'quan'mian
被杀的羔羊,bei'sha'de'gao'yang
被杀羔羊,bei'sha'gao'yang
被杀之羔羊生命册,bei'sha'zhi'gao'yang'sheng'ming'ce
被生的,bei'sheng'de
被生的与被造的分开,bei'sheng'de'yu'bei'zao'de'fen'kai
被圣灵,bei'sheng'ling
被圣灵称义,bei'sheng'ling'cheng'yi
被圣灵充满,bei'sheng'ling'chong'man
被释放,bei'shi'fang
被世人信服,bei'shi'ren'xin'fu
被赎,bei'shu
被提,bei'ti
被提到云里,bei'ti'dao'yun'li
