安丰塘,an'feng'tang
安丰镇,an'feng'zhen
安徽六安,an'hui'lu'an
安徽省,an'hui'sheng
安惠小区,an'hui'xiao'qu
八公山,ba'gong'shan
败急,bai'ji
败讲,bai'jiang
白莲乡,bai'lian'xiang
白马尖,bai'ma'jian
百神庙,bai'shen'miao
百姓畅言,bai'xing'chang'yan
白云商厦,bai'yun'shang'sha
板桥镇,ban'qiao'zhen
斑竹园,ban'zhu'yuan
保义镇,bao'yi'zhen
北塔公园,bei'ta'gong'yuan
滨河公园,bin'he'gong'yuan
滨河御景,bin'he'yu'jing
不得手,bu'de'shou
不得我,bu'de'wo
不讲算了,bu'jiang'suan'le
不就讲,bu'jiu'jiang
不快活,bu'kuai'huo
不照,bu'zhao
不照么,bu'zhao'me
蔡家岗,cai'jia'gang
岔路,cha'lu
陈埠,chen'bu
城北小学,cheng'bei'xiao'xue
城关镇,cheng'guan'zhen
城南镇,cheng'nan'zhen
城西湖,cheng'xi'hu
冲瞌睡,chong'ke'shui
从合肥,cong'he'fei
粗谈,cu'tan
村部,cun'bu
大别山,da'bie'shan
大别山路,da'bie'shan'lu
大顾店,da'gu'dian
大昊,da'hao
大河厂,da'he'chang
大湖,da'hu
大裂谷,da'lie'gu
打牌在,da'pai'zai
大圆盘,da'yuan'pan
逮狗腿,dai'gou'tui
但家庙,dan'jia'miao
叨登,dao'deng
到合肥,dao'he'fei
得味,de'wei
等一时,deng'yi'shi
东河口,dong'he'kou
东石笋,dong'shi'sun
东苑小区,dong'yuan'xiao'qu
都不照,dou'bu'zhao
都讲我,dou'jiang'wo
独山,du'shan
独山镇,du'shan'zhen
二十铺,er'shi'pu
烦死掉了,fan'si'diao'le
放克,fang'ke
非讲,fei'jiang
分路口,fen'lu'kou
凤池苑,feng'chi'yuan
冯井,feng'jing
佛子岭,fo'zi'ling
附加包,fu'jia'bao
釜山料理,fu'shan'liao'li
皋城,gao'cheng
皋城路,gao'cheng'lu
皋城中学,gao'cheng'zhong'xue
搞好之后,gao'hao'zhi'hou
搞慢点,gao'man'dian
搞么来,gao'me'lai
高塘镇,gao'tang'zhen
跟谁料,gen'shui'liao
古碑,gu'bei
鼓楼街,gu'lou'jie
瓜片,gua'pian
怪多的,guai'duo'de
怪好看的,guai'hao'kan'de
过不掉,guo'bu'diao
果子园,guo'zi'yuan
哈牛逼,ha'niu'bi
还不照,hai'bu'zhao
还就你一个人,hai'jiu'ni'yi'ge'ren
韩摆渡,han'bai'du
寒胃,han'wei
好大事,hao'da'shi
好好斗,hao'hao'dou
好急人,hao'ji'ren
好快活,hao'kuai'huo
豪门花园,hao'men'hua'yuan
好然,hao'ran
合肥了,he'fei'le
黑石渡,hei'shi'du
横山村,heng'shan'cun
红府,hong'fu
洪集,hong'ji
红街,hong'jie
红军广场,hong'jun'guang'chang
花石,hua'shi
黄孝玉,huang'xiao'yu
黄芽,huang'ya
徽商银行,hui'shang'yin'hang
霍邱,huo'qiu
霍邱的,huo'qiu'de
