嗳腐,ai'fu
暗经,an'jing
安神,an'shen
安胎,an'tai
八法,ba'fa
八纲,ba'gang
八纲辨证,ba'gang'bian'zheng
百合病,bai'he'bing
百节,bai'jie
半表半里,ban'biao'ban'li
瘢痕,ban'hen
斑疹,ban'zhen
暴病,bao'bing
胞宫,bao'gong
暴厥,bao'jue
暴聋,bao'long
暴盲,bao'mang
胞门,bao'men
暴仆,bao'pu
暴热,bao're
暴脱,bao'tuo
胞衣,bao'yi
胞衣不下,bao'yi'bu'xia
暴瘖,bao'yin
胞脏,bao'zang
暴注,bao'zhu
胞阻,bao'zu
背强,bei'qiang
奔豚,ben'tun
奔豚气,ben'tun'qi
鼻鼾,bi'han
避年,bi'nian
鼻衄,bi'nv
鼻煽,bi'shan
鼻为肺窍,bi'wei'fei'qiao
鼻渊,bi'yuan
闭证,bi'zheng
痹证,bi'zheng
辨病,bian'bing
砭石,bian'shi
辩证,bian'zheng
辩证施治,bian'zheng'shi'zhi
表寒,biao'han
表寒里热,biao'han'li're
表里,biao'li
表里俱寒,biao'li'ju'han
表里俱热,biao'li'ju're
表里同病,biao'li'tong'bing
表气不固,biao'qi'bu'gu
表热,biao're
表热里寒,biao're'li'han
表实,biao'shi
表实里虚,biao'shi'li'xu
表邪,biao'xie
表虚,biao'xu
表虚里实,biao'xu'li'shi
表证,biao'zheng
病机,bing'ji
病机十九条,bing'ji'shi'jiu'tiao
病脉,bing'mai
并月,bing'yue
补法,bu'fa
补肺,bu'fei
不寐,bu'mei
补气,bu'qi
补肾,bu'shen
补泻兼施,bu'xie'jian'shi
补心,bu'xin
补血,bu'xue
补阳,bu'yang
补阴,bu'yin
不月,bu'yue
藏统失司,cang'tong'shi'si
嘈杂,cao'za
缠喉风,chan'hou'feng
产门,chan'men
肠风,chang'feng
肠结,chang'jie
常脉,chang'mai
肠辟,chang'pi
肠虚滑脱,chang'xu'hua'tuo
肠液亏损,chang'ye'kui'sun
肠痈,chang'yong
肠燥便秘,chang'zao'bian'mi
潮热,chao're
炒三仙,chao'san'xian
炒三消,chao'san'xiao
沉郁,chen'yu
盛胎,cheng'tai
眵泪,chi'lei
齿衄,chi'nv
瘈疭,chi'zong
冲任不固,chong'ren'bu'gu
冲任损伤,chong'ren'sun'shang
除湿,chu'shi
怵惕,chu'ti
除中,chu'zhong
