阿呐呐,a'na'na
阿伟,a'wei
啊呜乱,a'wu'luan
啊呜软,a'wu'ruan
啊也,a'ye
啊余款,a'yu'kuan
爱仕达,ai'shi'da
安岭乡,an'ling'xiang
熬不牢,ao'bu'lao
岙环,ao'huan
岙里,ao'li
澳门豆捞,ao'men'dou'lao
八宝饭,ba'bao'fan
白鹤,bai'he
白鹤镇,bai'he'zhen
白糊糊,bai'hu'hu
白马岙,bai'ma'ao
白水洋,bai'shui'yang
白塔小区,bai'ta'xiao'qu
白无无,bai'wu'wu
白蟹,bai'xie
百姓家园,bai'xing'jia'yuan
白云阁,bai'yun'ge
白云小区,bai'yun'xiao'qu
办事大厅,ban'shi'da'ting
办证中心,ban'zheng'zhong'xin
帮你传,bang'ni'chuan
包芯丝,bao'xin'si
北山,bei'shan
本安全,ben'an'quan
泵头,beng'tou
比尔奇,bi'er'qi
碧海明珠,bi'hai'ming'zhu
碧中海,bi'zhong'hai
滨海镇,bin'hai'zhen
兵检,bing'jian
不带带,bu'dai'dai
不就是刚才那个,bu'jiu'shi'gang'cai'na'ge
步路,bu'lu
不是跟你说啦,bu'shi'gen'ni'shuo'la
埠头,bu'tou
不知道一,bu'zhi'dao'yi
菜干饼,cai'gan'bing
草票,cao'piao
查汇,cha'hui
插坑,cha'keng
长潭,chang'tan
长谭,chang'tan
长潭水库,chang'tan'shui'ku
长屿洞天,chang'yu'dong'tian
城东街道,cheng'dong'jie'dao
城峰,cheng'feng
澄江,cheng'jiang
城南镇,cheng'nan'zhen
城市港湾,cheng'shi'gang'wan
城西街道,cheng'xi'jie'dao
赤城街道,chi'cheng'jie'dao
赤城山,chi'cheng'shan
崇福,chong'fu
崇和,chong'he
崇和门,chong'he'men
厨道,chu'dao
楚门,chu'men
楚门镇,chu'men'zhen
楚门中学,chu'men'zhong'xue
传送什么文件,chuan'song'shen'me'wen'jian
葱包,cong'bao
大陈岛,da'chen'dao
大汾,da'fen
大公馆,da'gong'guan
大合山,da'he'shan
大鹿岛,da'lu'dao
大麦屿,da'mai'yu
大排面,da'pai'mian
大桥头,da'qiao'tou
大神仙居,da'shen'xian'ju
大石化,da'shi'hua
大台州,da'tai'zhou
大田,da'tian
大田中学,da'tian'zhong'xue
搭头,da'tou
大卫营,da'wei'ying
大温岭,da'wen'ling
大溪,da'xi
大熙达,da'xi'da
大溪镇,da'xi'zhen
大洋街道,da'yang'jie'dao
大洋小学,da'yang'xiao'xue
大浙江,da'zhe'jiang
带度娘,dai'du'niang
单考单招,dan'kao'dan'zhao
到黄岩,dao'huang'yan
到椒江,dao'jiao'jiang
到临海,dao'lin'hai
道路考,dao'lu'kao
到路桥,dao'lu'qiao
到牌子,dao'pai'zi
到台州,dao'tai'zhou
倒摊,dao'tan
到天台,dao'tian'tai
道头,dao'tou
到温岭,dao'wen'ling
到浙江,dao'zhe'jiang
的的的,de'de'de
的挂,de'gua
等几,deng'ji
等要,deng'yao
电大路,dian'da'lu
电话打开,dian'hua'da'kai
电话打来,dian'hua'da'lai
点文件,dian'wen'jian
钓浜,diao'bang
东岙,dong'ao
东池便当,dong'chi'bian'dang
东方百货,dong'fang'bai'huo
东方大道,dong'fang'da'dao
东方华联,dong'fang'hua'lian
东海大道,dong'hai'da'dao
东海塘,dong'hai'tang
东辉阁,dong'hui'ge
东辉公园,dong'hui'gong'yuan
东京湾,dong'jing'wan
东山公园,dong'shan'gong'yuan
东山头,dong'shan'tou
都不带带,dou'bu'dai'dai
豆面碎,dou'mian'sui
逗趣,dou'qu
赌博鬼,du'bo'gui
度娘头,du'niang'tou
杜桥,du'qiao
杜桥的,du'qiao'de
杜桥了,du'qiao'le
杜桥镇,du'qiao'zhen
杜桥中学,du'qiao'zhong'xue
对噶,dui'ga
多美丽,duo'mei'li
嗯也,en'ye
烦些,fan'xie
反正把,fan'zheng'ba
放冲,fang'chong
防洪坝,fang'hong'ba
方山,fang'shan
防台,fang'tai
方向盘套,fang'xiang'pan'tao
方远,fang'yuan
非好,fei'hao
凤凰蛋,feng'huang'dan
凤凰桥,feng'huang'qiao
凤凰山,feng'huang'shan
风剪云,feng'jian'yun
峰江,feng'jiang
枫山,feng'shan
府上人家,fu'shang'ren'jia
