阿洪病,a'hong'bing
阿克卡环,a'ke'ka'huan
阿米巴病,a'mi'ba'bing
阿米巴肺脓肿,a'mi'ba'fei'nong'zhong
阿尼齐科夫细胞,a'ni'qi'ke'fu'xi'bao
阿佩尔综合征,a'pei'er'zong'he'zheng
阿曲库铵,a'qu'ku'an
阿绍夫小体,a'shao'fu'xiao'ti
阿魏,a'wei
阿魏侧耳,a'wei'ce'er
阿育魏实,a'yu'wei'shi
阿月浑子,a'yue'hun'zi
艾宾豪斯错觉,ai'bin'hao'si'cuo'jue
埃伯内腺,ai'bo'nei'xian
埃伯内线,ai'bo'nei'xian
矮醋栗,ai'cu'li
矮地茶,ai'di'cha
矮地茶藜芦,ai'di'cha'li'lu
嗳腐,ai'fu
艾附暖宫丸,ai'fu'nuan'gong'wan
艾蒿,ai'hao
艾虎,ai'hu
癌基因,ai'ji'yin
矮脚苦蒿,ai'jiao'ku'hao
矮脚龙胆,ai'jiao'long'dan
矮脚罗伞,ai'jiao'luo'san
矮脚南,ai'jiao'nan
埃蕾,ai'lei
埃利森综合征,ai'li'sen'zong'he'zheng
埃利希侧链学说,ai'li'xi'ce'lian'xue'shuo
矮柳穿鱼,ai'liu'chuan'yu
艾默夹板,ai'mo'jia'ban
艾纳香,ai'na'xiang
艾纳香根,ai'na'xiang'gen
癌胚抗原,ai'pei'kang'yuan
艾片,ai'pian
嗳气吞酸,ai'qi'tun'suan
癌前病变,ai'qian'bing'bian
癌肉瘤,ai'rou'liu
艾实,ai'shi
艾条,ai'tiao
矮陀陀,ai'tuo'tuo
矮卫矛,ai'wei'mao
矮杨梅果,ai'yang'mei'guo
矮杨梅皮,ai'yang'mei'pi
艾叶,ai'ye
矮叶书带蕨,ai'ye'shu'dai'jue
艾叶油,ai'ye'you
矮子常山,ai'zi'chang'shan
按寸不及尺握手不及足,an'cun'bu'ji'chi'wo'shou'bu'ji'zu
安多霖胶囊,an'duo'lin'jiao'nang
按抚法,an'fu'fa
安氟醚,an'fu'mi
安宫牛黄丸,an'gong'niu'huang'wan
安徽刺黄柏,an'hui'ci'huang'bai
鞍基,an'ji
氨基蝶呤,an'ji'die'ling
氨基丁酸,an'ji'ding'suan
氨基己糖苷酶,an'ji'ji'tang'gan'mei
氨基酸代谢病,an'ji'suan'dai'xie'bing
氨甲蝶呤,an'jia'die'ling
暗间隙,an'jian'xi
鞍结节脑膜瘤,an'jie'jie'nao'mo'liu
暗经,an'jing
暗鳞鳞毛蕨,an'lin'lin'mao'jue
安龙香科科,an'long'xiang'ke'ke
安络化纤丸,an'luo'hua'xian'wan
鞍区阻滞,an'qu'zu'zhi
安全面切盘,an'quan'mian'qie'pan
暗色丝孢霉病,an'se'si'bao'mei'bing
鞍上脑膜瘤,an'shang'nao'mo'liu
安神丸,an'shen'wan
暗视场显微镜,an'shi'chang'xian'wei'jing
暗视觉,an'shi'jue
暗示性,an'shi'xing
暗适应,an'shi'ying
暗适应曲线,an'shi'ying'qu'xian
暗示治疗,an'shi'zhi'liao
桉树果,an'shu'guo
氨水烧伤,an'shui'shao'shang
安泰酮,an'tai'tong
安胎药,an'tai'yao
安慰剂,an'wei'ji
安慰剂效应,an'wei'ji'xiao'ying
安息香,an'xi'xiang
氨酰胆碱,an'xian'dan'jian
桉叶,an'ye
桉油,an'you
按之至骨者肾气也,an'zhi'zhi'gu'zhe'shen'qi'ye
昂天莲,ang'tian'lian
凹玻片,ao'bo'pian
奥伯试验,ao'bo'shi'yan
奥迪括约肌成形术,ao'di'kuo'yue'ji'cheng'xing'shu
奥迪括约肌切开术,ao'di'kuo'yue'ji'qie'kai'shu
奥迪括约肌狭窄,ao'di'kuo'yue'ji'xia'zhai
奥尔布赖特综合征,ao'er'bu'lai'te'zong'he'zheng
奥尔德里奇综合征,ao'er'de'li'qi'zong'he'zheng
奥尕,ao'ga
凹裂毛麝香,ao'lie'mao'she'xiang
凹朴皮,ao'pu'pi
傲然自得,ao'ran'zi'de
奥斯皮茨征,ao'si'pi'ci'zheng
凹瓦韦,ao'wa'wei
凹陷瘢痕,ao'xian'ban'hen
巴巴花,ba'ba'hua
八宝丹胶囊,ba'bao'dan'jiao'nang
巴比妥类静脉麻醉药,ba'bi'tuo'lei'jing'mai'ma'zui'yao
