按次下载,an'ci'xia'zai
安全证书,an'quan'zheng'shu
按日比对,an'ri'bi'dui
办理方式,ban'li'fang'shi
班前会,ban'qian'hui
包打,bao'da
保底套餐,bao'di'tao'can
保底消费,bao'di'xiao'fei
保号费,bao'hao'fei
保留期,bao'liu'qi
保密天使,bao'mi'tian'shi
包年送,bao'nian'song
包月租赁,bao'yue'zu'lin
被叫免费,bei'jiao'mian'fei
备卡,bei'ka
备卡激活,bei'ka'ji'huo
本地卡,ben'di'ka
本地来话,ben'di'lai'hua
本地连接,ben'di'lian'jie
本地主叫,ben'di'zhu'jiao
便捷拨号,bian'jie'bo'hao
便捷服务,bian'jie'fu'wu
变声通话,bian'sheng'tong'hua
标准单向,biao'zhun'dan'xiang
并存状态,bing'cun'zhuang'tai
拨测,bo'ce
拨号规则,bo'hao'gui'ze
不在服务区,bu'zai'fu'wu'qu
彩币,cai'bi
彩币商城,cai'bi'shang'cheng
彩话,cai'hua
彩铃复制,cai'ling'fu'zhi
彩信超市,cai'xin'chao'shi
彩信回执,cai'xin'hui'zhi
财信通,cai'xin'tong
彩信照片冲印,cai'xin'zhao'pian'chong'yin
彩信折扣券,cai'xin'zhe'kou'quan
彩信珍藏,cai'xin'zhen'cang
彩信指上炫套餐,cai'xin'zhi'shang'xuan'tao'can
彩振,cai'zhen
拆网,chai'wang
产品退订,chan'pin'tui'ding
长话包,chang'hua'bao
长话包月,chang'hua'bao'yue
长话常聊全天版,chang'hua'chang'liao'quan'tian'ban
长话常聊闲时版,chang'hua'chang'liao'xian'shi'ban
长话常聊乡情版,chang'hua'chang'liao'xiang'qing'ban
长话随意聊,chang'hua'sui'yi'liao
长话王,chang'hua'wang
畅聊,chang'liao
长市话,chang'shi'hua
常态营销,chang'tai'ying'xiao
畅听卡,chang'ting'ka
长途费率,chang'tu'fei'lv
长途通,chang'tu'tong
长途一费制,chang'tu'yi'fei'zhi
长途优惠产品,chang'tu'you'hui'chan'pin
畅享,chang'xiang
超值语音包,chao'zhi'yu'yin'bao
车务通,che'wu'tong
程控功能,cheng'kong'gong'neng
充话费,chong'hua'fei
充值回报奖,chong'zhi'hui'bao'jiang
充值记录,chong'zhi'ji'lu
重置密码,chong'zhi'mi'ma
充值送,chong'zhi'song
充值优惠,chong'zhi'you'hui
充值有惊喜,chong'zhi'you'jing'xi
充值有礼,chong'zhi'you'li
出帐返充,chu'zhang'fan'chong
出帐减免,chu'zhang'jian'mian
次月生效,ci'yue'sheng'xiao
村村通,cun'cun'tong
存话费,cun'hua'fei
大众卡,da'zhong'ka
贷记卡,dai'ji'ka
代收费,dai'shou'fei
代销店,dai'xiao'dian
代销点,dai'xiao'dian
单向升级,dan'xiang'sheng'ji
单向套餐,dan'xiang'tao'can
单向王,dan'xiang'wang
当月生效,dang'yue'sheng'xiao
到期提醒,dao'qi'ti'xing
等额返充,deng'e'fan'chong
低端机,di'duan'ji
电话充值业务,dian'hua'chong'zhi'ye'wu
电话经理,dian'hua'jing'li
电信服务规范,dian'xin'fu'wu'gui'fan
电信条例,dian'xin'tiao'li
电影券,dian'ying'quan
电子充值券,dian'zi'chong'zhi'quan
电子化自助服务,dian'zi'hua'zi'zhu'fu'wu
定位通,ding'wei'tong
定向国际长途优惠包,ding'xiang'guo'ji'chang'tu'you'hui'bao
动感长话包,dong'gan'chang'hua'bao
动感地带,dong'gan'di'dai
