阿贝比长原理,a'bei'bi'chang'yuan'li
阿达马变换,a'da'ma'bian'huan
安平,an'ping
安平精度,an'ping'jing'du
岸台,an'tai
奥米伽海图,ao'mi'jia'hai'tu
靶道工程测量,ba'dao'gong'cheng'ce'liang
坝址勘查,ba'zhi'kan'cha
摆动锤投影,bai'dong'chui'tou'ying
摆仪,bai'yi
颁岔放样,ban'cha'fang'yang
半导体激光器,ban'dao'ti'ji'guang'qi
半日潮港,ban'ri'chao'gang
半色调,ban'se'diao
半站型测距经纬仪,ban'zhan'xing'ce'ju'jing'wei'yi
饱和度,bao'he'du
包括专题要素,bao'kuo'zhuan'ti'yao'su
被动式遥感,bei'dong'shi'yao'gan
北极星任意时角法,bei'ji'xing'ren'yi'shi'jiao'fa
背景辨别,bei'jing'bian'bie
北京坐标系,bei'jing'zuo'biao'xi
贝塞尔,bei'sai'er
贝塞尔大地主题解算公式,bei'sai'er'da'di'zhu'ti'jie'suan'gong'shi
贝塞尔法,bei'sai'er'fa
贝塞尔椭球,bei'sai'er'tuo'qiu
贝叶斯分类,bei'ye'si'fen'lei
本初子午线,ben'chu'zi'wu'xian
本宗,ben'zong
崩崖,beng'ya
比高点,bi'gao'dian
闭合差,bi'he'cha
闭合导线,bi'he'dao'xian
闭合水准路线,bi'he'shui'zhun'lu'xian
比较地图学,bi'jiao'de'tu'xue
比例尺,bi'li'chi
比例量表,bi'li'liang'biao
比例误差,bi'li'wu'cha
比值变换,bi'zhi'bian'huan
比值增强,bi'zhi'zeng'qiang
变比例投影,bian'bi'li'tou'ying
边长中误差,bian'chang'zhong'wu'cha
边垂线标定,bian'chui'xian'biao'ding
变换光束测图,bian'huan'guang'shu'ce'tu
编绘,bian'hui
编绘原图,bian'hui'yuan'tu
编辑大纲,bian'ji'da'gang
边角测量,bian'jiao'ce'liang
边交会法,bian'jiao'hui'fa
边角交会法,bian'jiao'jiao'hui'fa
边角网,bian'jiao'wang
边界角,bian'jie'jiao
边坡稳定性观测,bian'po'wen'ding'xing'guan'ce
边坡桩测设,bian'po'zhuang'ce'she
变色海水,bian'se'hai'shui
编图,bian'tu
变线仪,bian'xian'yi
变形观测,bian'xing'guan'ce
变形观测控制网,bian'xing'guan'ce'kong'zhi'wang
变形椭圆,bian'xing'tuo'yuan
边缘检测,bian'yuan'jian'ce
边缘增强,bian'yuan'zeng'qiang
标称精度,biao'cheng'jing'du
标尺,biao'chi
标高,biao'gao
标高差改正,biao'gao'cha'gai'zheng
标界测量,biao'jie'ce'liang
标石,biao'shi
表示扰动位,biao'shi'rao'dong'wei
表示三角,biao'shi'san'jiao
标志灯,biao'zhi'deng
标准差,biao'zhun'cha
标准检定场,biao'zhun'jian'ding'chang
标准配置点,biao'zhun'pei'zhi'dian
标准纬线,biao'zhun'wei'xian
冰后回弹,bing'hou'hui'tan
并记录时刻,bing'ji'lu'shi'ke
波茨坦重力系统,bo'ci'tan'zhong'li'xi'tong
波带板,bo'dai'ban
波浪补偿,bo'lang'bu'chang
波浪补偿器,bo'lang'bu'chang'qi
波罗,bo'luo
波罗一科普原理,bo'luo'yi'ke'pu'yuan'li
波谱测定仪,bo'pu'ce'ding'yi
波谱集群,bo'pu'ji'qun
波谱特征空间,bo'pu'te'zheng'kong'jian
波谱特征曲线,bo'pu'te'zheng'qu'xian
波谱响应曲线,bo'pu'xiang'ying'qu'xian
波束角,bo'shu'jiao
泊位,bo'wei
补偿器,bu'chang'qi
补偿器补偿误差,bu'chang'qi'bu'chang'wu'cha
布格改正,bu'ge'gai'zheng
布格异常,bu'ge'yi'chang
不管其读音或含意,bu'guan'qi'du'yin'huo'han'yi
布隆斯公式,bu'long'si'gong'shi
布设,bu'she
布耶哈马问题,bu'ye'ha'ma'wen'ti
采剥工程断面图,cai'bo'gong'cheng'duan'mian'tu
采剥工程综合平面图,cai'bo'gong'cheng'zong'he'ping'mian'tu
采场测量,cai'chang'ce'liang
采掘场验收测,cai'jue'chang'yan'shou'ce
采掘场验收测量,cai'jue'chang'yan'shou'ce'liang
采掘工程平面图,cai'jue'gong'cheng'ping'mian'tu
采区测量,cai'qu'ce'liang
采区联系测量,cai'qu'lian'xi'ce'liang
彩色变换,cai'se'bian'huan
彩色编码,cai'se'bian'ma
彩色复制,cai'se'fu'zhi
彩色感光材料,cai'se'gan'guang'cai'liao
彩色红外片,cai'se'hong'wai'pian
彩色校样,cai'se'jiao'yang
彩色片,cai'se'pian
彩色摄影,cai'se'she'ying
彩色线划校样,cai'se'xian'hua'jiao'yang
彩色样图,cai'se'yang'tu
彩色增强,cai'se'zeng'qiang
彩色坐标系,cai'se'zuo'biao'xi
采样,cai'yang
采样间隔,cai'yang'jian'ge
采用三,cai'yong'san
参考椭球,can'kao'tuo'qiu
参考椭球定位,can'kao'tuo'qiu'ding'wei
参数平差,can'shu'ping'cha
参照数据,can'zhao'shu'ju
参照效应,can'zhao'xiao'ying
草测,cao'ce
操作者,cao'zuo'zhe
测标,ce'biao
侧方交会,ce'fang'jiao'hui
测杆,ce'gan
测高仪,ce'gao'yi
测回,ce'hui
测绘标准,ce'hui'biao'zhun
测绘学,ce'hui'xue
测绘仪器,ce'hui'yi'qi
测角仪,ce'jiao'yi
测角中误差,ce'jiao'zhong'wu'cha
测距差定位,ce'ju'cha'ding'wei
测距定位系统,ce'ju'ding'wei'xi'tong
测距经纬仪,ce'ju'jing'wei'yi
测距雷达,ce'ju'lei'da
测距盲区,ce'ju'mang'qu
测距误差,ce'ju'wu'cha
测距仪,ce'ju'yi
测控条,ce'kong'tiao
测量标志,ce'liang'biao'zhi
测量觇标,ce'liang'chan'biao
测量船,ce'liang'chuan
测量规范,ce'liang'gui'fan
测量控制网,ce'liang'kong'zhi'wang
测量平差,ce'liang'ping'cha
测量误差,ce'liang'wu'cha
测量误差的概率等于,ce'liang'wu'cha'de'gai'lv'deng'yu
测量学,ce'liang'xue
测流,ce'liu
测区,ce'qu
测区代号,ce'qu'dai'hao
测区范围,ce'qu'fan'wei
测区名称,ce'qu'ming'cheng
侧扫声呐,ce'sao'sheng'na
测深,ce'shen
测深改正,ce'shen'gai'zheng
测深杆,ce'shen'gan
测深精度,ce'shen'jing'du
测深仪读数精度,ce'shen'yi'du'shu'jing'du
测深仪发射线,ce'shen'yi'fa'she'xian
测深仪回波信号,ce'shen'yi'hui'bo'xin'hao
测深仪记录纸,ce'shen'yi'ji'lu'zhi
测深仪零线,ce'shen'yi'ling'xian
侧视雷达,ce'shi'lei'da
测速标,ce'su'biao
测图卫星,ce'tu'wei'xing
测微密度计,ce'wei'mi'du'ji
测微目镜,ce'wei'mu'jing
测微器,ce'wei'qi
测线,ce'xian
测站,ce'zhan
测站归心,ce'zhan'gui'xin
层间改正,ceng'jian'gai'zheng
差分,cha'fen
差分台,cha'fen'tai
差异阈,cha'yi'yu
觇标,chan'biao
觇杆,chan'gan
觇牌,chan'pai
常差,chang'cha
长度标准检定场,chang'du'biao'zhun'jian'ding'chang
厂址测量,chang'zhi'ce'liang
超导重力仪,chao'dao'zhong'li'yi
超焦点距离,chao'jiao'dian'ju'li
超近摄影测量,chao'jin'she'ying'ce'liang
潮汐表,chao'xi'biao
潮汐波,chao'xi'bo
潮汐非调和常数,chao'xi'fei'tiao'he'chang'shu
潮汐非调和分析,chao'xi'fei'tiao'he'fen'xi
潮汐频谱,chao'xi'pin'pu
潮汐摄动,chao'xi'she'dong
潮汐调和常数,chao'xi'tiao'he'chang'shu
潮汐调和分析,chao'xi'tiao'he'fen'xi
潮汐因子,chao'xi'yin'zi
潮汐预报,chao'xi'yu'bao
潮信表,chao'xin'biao
沉船,chen'chuan
沉降观测,chen'jiang'guan'ce
沉井法施工测量,chen'jing'fa'shi'gong'ce'liang
程产生中断,cheng'chan'sheng'zhong'duan
乘常数,cheng'chang'shu
城市测量,cheng'shi'ce'liang
城市测量数据库,cheng'shi'ce'liang'shu'ju'ku
城市地形测量,cheng'shi'di'xing'ce'liang
城市地形图,cheng'shi'di'xing'tu
城市规划测量,cheng'shi'gui'hua'ce'liang
城市控制测量,cheng'shi'kong'zhi'ce'liang
