安宁舒适,an'ning'shu'shi
奥弗尔贝克,ao'fu'er'bei'ke
傲慢和,ao'man'he
巴塞尔城里,ba'sai'er'cheng'li
巴塞尔大学,ba'sai'er'da'xue
巴塞尔学术界,ba'sai'er'xue'shu'jie
拜访了华格纳,bai'fang'le'hua'ge'na
褒扬的那位,bao'yang'de'na'wei
保佑他长寿,bao'you'ta'chang'shou
悲惨的,bei'can'de
被称之为,bei'cheng'zhi'wei
悲剧的诞生,bei'ju'de'dan'sheng
本国本民族文化,ben'guo'ben'min'zu'wen'hua
本来可以幸免,ben'lai'ke'yi'xing'mian
比希纳,bi'xi'na
并把他们,bing'ba'ta'men
并共居,bing'gong'ju
并因此而退役,bing'yin'ci'er'tui'yi
波克哈特,bo'ke'ha'te
柏拉图和叔本华,bo'la'tu'he'shu'ben'hua
不感兴趣,bu'gan'xing'qu
不合时宜的思考,bu'he'shi'yi'de'si'kao
不会对,bu'hui'dui
不仅是书中的至尊,bu'jin'shi'shu'zhong'de'zhi'zun
不久传来了,bu'jiu'chuan'lai'le
才找得到叔本华是,cai'zhao'de'dao'shu'ben'hua'shi
查拉图斯特拉,cha'la'tu'si'te'la
查拉图斯特拉如是说,cha'la'tu'si'te'la'ru'shi'shuo
阐述了著名的,chan'shu'le'zhu'ming'de
超常和,chao'chang'he
超强力意志,chao'qiang'li'yi'zhi
城郊的,cheng'jiao'de
成为挚友,cheng'wei'zhi'you
成长起来,cheng'zhang'qi'lai
重复黑格尔,chong'fu'hei'ge'er
充满浪漫色彩和,chong'man'lang'man'se'cai'he
充满了,chong'man'le
崇尚希腊,chong'shang'xi'la
抽象概念,chou'xiang'gai'nian
传统的,chuan'tong'de
创作的歌剧,chuang'zuo'de'ge'ju
此后的,ci'hou'de
此外还从朗格,ci'wai'hai'cong'lang'ge
从不要,cong'bu'yao
从马上,cong'ma'shang
从没想过,cong'mei'xiang'guo
从未见到,cong'wei'jian'dao
粗俗的,cu'su'de
大卫,da'wei
大学攻读,da'xue'gong'du
大学讲坛,da'xue'jiang'tan
大学任教,da'xue'ren'jiao
但我还,dan'wo'hai
但在萨多瓦,dan'zai'sa'duo'wa
