安塞,an'sai
安塞县,an'sai'xian
昂么,ang'me
奥么,ao'me
百米大道,bai'mi'da'dao
半脑子,ban'nao'zi
宝塔,bao'ta
宝塔区,bao'ta'qu
宝塔山,bao'ta'shan
北客站,bei'ke'zhan
表么,biao'me
不顶事,bu'ding'shi
不好身,bu'hao'shen
不么,bu'me
不算人,bu'suan'ren
采油厂,cai'you'chang
采油队,cai'you'dui
城里了,cheng'li'le
大砭沟,da'bian'gou
大礼堂,da'li'tang
到西安,dao'xi'an
到延安,dao'yan'an
等不上,deng'bu'shang
地哈,di'ha
地区医院,di'qu'yi'yuan
店头,dian'tou
店头镇,dian'tou'zhen
对标,dui'biao
对着了,dui'zhe'le
二道街,er'dao'jie
二杆子,er'gan'zi
而个,er'ge
二庄科,er'zhuang'ke
放哈,fang'ha
放胡,fang'hu
冯庄,feng'zhuang
富县,fu'xian
甘谷驿,gan'gu'yi
干嘛的了,gan'ma'de'le
干嘛着了,gan'ma'zhe'le
甘泉,gan'quan
甘泉县,gan'quan'xian
干啥的了,gan'sha'de'le
干啥着了,gan'sha'zhe'le
干什么的了,gan'shen'me'de'le
干什么着了,gan'shen'me'zhe'le
高沟口,gao'gou'kou
革命圣地,ge'ming'sheng'di
给哈,gei'ha
给咋了,gei'za'le
供应科,gong'ying'ke
姑舅,gu'jiu
官庄,guan'zhuang
广安街,guang'an'jie
过可,guo'ke
果业,guo'ye
哈来了,ha'lai'le
害不哈,hai'bu'ha
害不开,hai'bu'kai
憨女子,han'nv'zi
憨娃娃,han'wa'wa
憨着了,han'zhe'le
好的了,hao'de'le
好看着了,hao'kan'zhe'le
好着吧,hao'zhe'ba
好着了,hao'zhe'le
河庄坪,he'zhuang'ping
红化,hong'hua
壶口,hu'kou
壶口瀑布,hu'kou'pu'bu
化子坪,hua'zi'ping
换不是,huan'bu'shi
换以为,huan'yi'wei
黄帝陵,huang'di'ling
黄蒿湾,huang'hao'wan
黄陵,huang'ling
黄陵县,huang'ling'xian
黄龙县,huang'long'xian
回可,hui'ke
回延安,hui'yan'an
回也,hui'ye
计生站,ji'sheng'zhan
嘉丰,jia'feng
家里了,jia'li'le
贱板子,jian'ban'zi
交口河,jiao'kou'he
就那么个,jiu'na'me'ge
旧址,jiu'zhi
卷烟厂,juan'yan'chang
看不哈,kan'bu'ha
靠不上,kao'bu'shang
可麻烦了,ke'ma'fan'le
可亲了,ke'qin'le
可呀,ke'ya
快的了,kuai'de'le
快对了,kuai'dui'le
啦啦话,la'la'hua
拉了,la'le
拉力了,la'li'le
来延安,lai'yan'an
兰么,lan'me
了亲了,le'qin'le
李渠镇,li'qu'zhen
丽森,li'sen
镰刀湾,lian'dao'wan
临潼区,lin'tong'qu
刘家沟,liu'jia'gou
柳林镇,liu'lin'zhen
刘渠子,liu'qu'zi
龙昌园,long'chang'yuan
隆坊,long'fang
洛川,luo'chuan
洛川的,luo'chuan'de
洛川县,luo'chuan'xian
罗家坪,luo'jia'ping
驴日的,lv'ri'de
旅游大厦,lv'you'da'sha
麻洞川,ma'dong'chuan
马家沟,ma'jia'gou
马家河,ma'jia'he
马家湾,ma'jia'wan
麻辣串,ma'la'chuan
麻辣空间,ma'la'kong'jian
买的吃,mai'de'chi
忙的了,mang'de'le
忙着了,mang'zhe'le
毛狗,mao'gou
毛女,mao'nv
毛女子,mao'nv'zi
毛小,mao'xiao
么有的,me'you'de
米饭菜,mi'fan'cai
米脂,mi'zhi
庙沟,miao'gou
难活,nan'huo
南门破,nan'men'po
南泥湾,nan'ni'wan
南桥,nan'qiao
闹一瓶,nao'yi'ping
能了么,neng'le'me
你常,ni'chang
你大脑,ni'da'nao
你干嘛的了,ni'gan'ma'de'le
你干嘛着了,ni'gan'ma'zhe'le
你干啥的了,ni'gan'sha'de'le
你干啥着了,ni'gan'sha'zhe'le
你干什么的了,ni'gan'shen'me'de'le
你哈来,ni'ha'lai
你还说了,ni'hai'shuo'le
你家里了,ni'jia'li'le
你拉了,ni'la'le
你来延安,ni'lai'yan'an
你老汉,ni'lao'han
你们对象,ni'men'dui'xiang
你哪了,ni'na'le
你那里了,ni'na'li'le
你日你妈,ni'ri'ni'ma
你延安,ni'yan'an
你一个吗,ni'yi'ge'ma
你在拉了,ni'zai'la'le
你在西安,ni'zai'xi'an
你在延安,ni'zai'yan'an
碾庄,nian'zhuang
欧锦园,ou'jin'yuan
拍看,pai'kan
蟠龙,pan'long
婆姨,po'yi
齐家湾,qi'jia'wan
七里村,qi'li'cun
七里铺,qi'li'pu
岐山,qi'shan
乾坤湾,qian'kun'wan
桥沟,qiao'gou
秦禾,qin'he
秦家川,qin'jia'chuan
青化砭,qing'hua'bian
清涧,qing'jian
清凉山,qing'liang'shan
区队,qu'dui
去西安,qu'xi'an
去延安,qu'yan'an
让话,rang'hua
三查,san'cha
傻儿鱼,sha'er'yu
沙梁,sha'liang
陕北,shan'bei
陕北人,shan'bei'ren
陕煤,shan'mei
山体,shan'ti
陕西,shan'xi
陕西省,shan'xi'sheng
陕西省延安市,shan'xi'sheng'yan'an'shi
陕西延安,shan'xi'yan'an
上班的了,shang'ban'de'le
上班着了,shang'ban'zhe'le
上可,shang'ke
上延安,shang'yan'an
上着了,shang'zhe'le
身不住,shen'bu'zhu
身的,shen'de
身哈,shen'ha
剩哈,sheng'ha
市场沟,shi'chang'gou
石化厂,shi'hua'chang
十里铺,shi'li'pu
是延安,shi'yan'an
收假了,shou'jia'le
睡哈了,shui'ha'le
睡觉也,shui'jiao'ye
睡可,shui'ke
睡也,shui'ye
顺车,shun'che
顺宁,shun'ning
四路口,si'lu'kou
松树林,song'shu'lin
怂样子,song'yang'zi
酸菜面,suan'cai'mian
酸汤面,suan'tang'mian
绥德,sui'de
岁娃娃,sui'wa'wa
太白山,tai'bai'shan
谈哈,tan'ha
谈上,tan'shang
谈着了,tan'zhe'le
田庄,tian'zhuang
铜川,tong'chuan
团延安,tuan'yan'an
瓦国,wa'guo
瓦窑堡,wa'yao'bu
瓦窑沟,wa'yao'gou
万花山,wan'hua'shan
完了聊,wan'le'liao
完了在,wan'le'zai
玩着了,wan'zhe'le
王二妮,wang'er'ni
网格员,wang'ge'yuan
王家沟,wang'jia'gou
王家坪,wang'jia'ping
王南沟,wang'nan'gou
文投,wen'tou
我常,wo'chang
我家里了,wo'jia'li'le
我睡也,wo'shui'ye
我延安,wo'yan'an
我一满,wo'yi'man
我在延安,wo'zai'yan'an
吴堡,wu'bu
吴起,wu'qi
吴起县,wu'qi'xian
西安了,xi'an'le
西沟,xi'gou
下苦,xia'ku
下寺湾,xia'si'wan
香菇面,xiang'gu'mian
向阳沟,xiang'yang'gou
小吃城,xiao'chi'cheng
笑什么了,xiao'shen'me'le
小寨,xiao'zhai
新寨,xin'zhai
杏河,xing'he
行门户,xing'men'hu
压裂,ya'lie
亚圣,ya'sheng
压稳,ya'wen
鸭掌门,ya'zhang'men
延安,yan'an
延安啊,yan'an'a
延安大学,yan'an'da'xue
延安的,yan'an'de
延安了,yan'an'le
