阿摩罗普罗派,a'mo'luo'pu'luo'pai
阿咤力教,a'zha'li'jiao
案达派,an'da'pai
安乐律,an'yue'lv
八宗,ba'zong
白莲宗,bai'lian'zong
白云宗,bai'yun'zong
北京律,bei'jing'lv
北山住部,bei'shan'zhu'bu
北宗,bei'zong
本门佛立宗,ben'men'fo'li'zong
本门宗,ben'men'zong
不受不施派,bu'shou'bu'shi'pai
曹洞宗,cao'dong'zong
草堂派,cao'tang'pai
曹溪宗,cao'xi'zong
禅宗,chan'zong
成实师,cheng'shi'shi
成实宗,cheng'shi'zong
慈愍派,ci'min'pai
大安寺流,da'an'si'liu
大乘上座部,da'cheng'shang'zuo'bu
大德寺派,da'de'si'pai
大慧派,da'hui'pai
达垄噶举派,da'long'ga'ju'pai
达玛瑜特派,da'ma'yu'te'pai
怛特罗佛教,da'te'luo'fo'jiao
大应派,da'ying'pai
大众部,da'zhong'bu
地论宗,di'lun'zong
东密,dong'mi
东明派,dong'ming'pai
东塔宗,dong'ta'zong
犊子部,du'zi'bu
多闻部,duo'wen'bu
法藏部,fa'cang'bu
法上部,fa'shang'bu
法相宗,fa'xiang'zong
法性宗,fa'xing'zong
法眼宗,fa'yan'zong
分别说部,fen'bie'shuo'bu
凤林山派,feng'lin'shan'pai
佛通寺派,fo'tong'si'pai
噶当派,ga'dang'pai
噶举派,ga'ju'pai
噶玛噶举派,ga'ma'ga'ju'pai
格鲁派,ge'lu'pai
鼓山系,gu'shan'xi
古先派,gu'xian'pai
古义真言宗,gu'yi'zhen'yan'zong
广泽流,guang'ze'liu
归谬论证派,gui'miu'lun'zheng'pai
荷泽宗,he'ze'zong
洪州宗,hong'zhou'zong
虎丘派,hu'qiu'pai
化地部,hua'di'bu
华严宗,hua'yan'zong
幻住派,huan'zhu'pai
黄檗宗,huang'bo'zong
黄龙派,huang'long'pai
鸡胤部,ji'yin'bu
江湖派,jiang'hu'pai
教禅二宗,jiao'chan'er'zong
焦山系,jiao'shan'xi
解脱会,jie'tuo'hui
金刚乘,jin'gang'cheng
经量部,jing'liang'bu
净土真宗,jing'tu'zhen'zong
净土宗,jing'tu'zong
净众宗,jing'zhong'zong
九山禅门,jiu'shan'chan'men
俱舍师,ju'she'shi
觉囊派,jue'nang'pai
觉宇派,jue'yu'pai
看话禅,kan'hua'chan
临济宗,lin'ji'zong
六家七宗,liu'jia'qi'zong
六宗,liu'zong
律宗,lv'zong
密林山部,mi'lin'shan'bu
密宗,mi'zong
妙心寺派,miao'xin'si'pai
南都六宗,nan'dou'liu'zong
南山念佛门禅宗,nan'shan'nian'fo'men'chan'zong
涅槃师,nie'pan'shi
涅槃宗,nie'pan'zong
宁玛派,ning'ma'pai
帕竹噶举,pa'zhu'ga'ju
毗昙师,pi'tan'shi
譬喻师,pi'yu'shi
普化宗,pu'hua'zong
千光派,qian'guang'pai
千华派,qian'hua'pai
青原下,qing'yuan'xia
日莲正宗,ri'lian'zheng'zong
日莲宗,ri'lian'zong
融通念佛宗,rong'tong'nian'fo'zong
瑞景派,rui'jing'pai
萨迦派,sa'jia'pai
三峰派,san'feng'pai
三阶教,san'jie'jiao
三论宗,san'lun'zong
三门徒,san'men'tu
三宗,san'zong
山伏,shan'fu
山家,shan'jia
山门,shan'men
山外,shan'wai
上座部,shang'zuo'bu
摄论师,she'lun'shi
舍世派,she'shi'pai
时轮乘,shi'lun'cheng
始兴宗,shi'xing'zong
师子山派,shi'zi'shan'pai
时宗,shi'zong
说出世部,shuo'chu'shi'bu
说假部,shuo'jia'bu
说一切有部,shuo'yi'qie'you'bu
四论派,si'lun'pai
寺门,si'men
四明派,si'ming'pai
四宗,si'zong
太古宗,tai'gu'zong
台密,tai'mi
天龙寺派,tian'long'si'pai
天台宗,tian'tai'zong
沩仰宗,wei'yang'zong
我法俱有宗,wo'fa'ju'you'zong
五家七宗,wu'jia'qi'zong
五教两宗,wu'jiao'liang'zong
五教十宗,wu'jiao'shi'zong
无学派,wu'xue'pai
西涧派,xi'jian'pai
希解派,xi'jie'pai
西山派,xi'shan'pai
西山住部,xi'shan'zhu'bu
暹罗派,xian'luo'pai
贤胄部,xian'zhou'bu
响巴迦举派,xiang'ba'jia'ju'pai
相部宗,xiang'bu'zong
向岳寺派,xiang'yue'si'pai
新义真言宗,xin'yi'zhen'yan'zong
修验道,xiu'yan'dao
雪山部,xue'shan'bu
杨岐派,yang'qi'pai
一山派,yi'shan'pai
一说部,yi'shuo'bu
一向宗,yi'xiang'zong
饮光部,yin'guang'bu
隐祕念佛,yin'mi'nian'fo
瑜伽行派,yu'jia'xing'pai
圆佛教,yuan'fo'jiao
云门宗,yun'men'zong
真言律宗,zhen'yan'lv'zong
真言宗,zhen'yan'zong
真宗十派,zhen'zong'shi'pai
正量部,zheng'liang'bu
制多山部,zhi'duo'shan'bu
止贡噶举派,zhi'gong'ga'ju'pai
中观派,zhong'guan'pai
中神宗,zhong'shen'zong
中巖派,zhong'yan'pai
主巴噶举派,zhu'ba'ga'ju'pai
竹林派,zhu'lin'pai
自立论证派,zi'li'lun'zheng'pai
摠持宗,zong'chi'zong
