阿赖耶识,a'lai'ye'shi
阿罗汉灭定,a'luo'han'mie'ding
阿罗汉位舍,a'luo'han'wei'she
阿毗达磨,a'pi'da'mo
阿陀那识,a'tuo'na'shi
爱非爱分别,ai'fei'ai'fen'bie
安慧,an'hui
安乐解脱身,an'le'jie'tuo'shen
安立真如,an'li'zhen'ru
暗劣,an'lie
安隐,an'yin
安隐住,an'yin'zhu
八分别,ba'fen'bie
八识,ba'shi
八识规矩颂,ba'shi'gui'ju'song
八识规矩颂讲记,ba'shi'gui'ju'song'jiang'ji
八识心王,ba'shi'xin'wang
八支圣道,ba'zhi'sheng'dao
百部论主,bai'bu'lun'zhu
百法明门论,bai'fa'ming'men'lun
百法明门论述记,bai'fa'ming'men'lun'shu'ji
白话,bai'hua
本性住种,ben'xing'zhu'zhong
本质所缘,ben'zhi'suo'yuan
本质相分,ben'zhi'xiang'fen
彼彼分别生,bi'bi'fen'bie'sheng
鼻根,bi'gen
彼俱相违分别,bi'ju'xiang'wei'fen'bie
彼苦,bi'ku
比量,bi'liang
逼恼,bi'nao
鼻识,bi'shi
彼依识所变,bi'yi'shi'suo'bian
变化身,bian'hua'shen
遍计,bian'ji
遍计所执自性,bian'ji'suo'zhi'zi'xing
遍计种种物,bian'ji'zhong'zhong'wu
遍计自性,bian'ji'zi'xing
变现,bian'xian
遍行,bian'xing
遍行心所,bian'xing'xin'suo
遍行因,bian'xing'yin
便证得转依,bian'zheng'de'zhuan'yi
辩中边论,bian'zhong'bian'lun
别境,bie'jing
别境善烦恼,bie'jing'shan'fan'nao
别境心所,bie'jing'xin'suo
别相,bie'xiang
并我慢我爱,bing'wo'man'wo'ai
般若,bo're
不定谓悔眠,bu'ding'wei'hui'mian
不动业,bu'dong'ye
不尔,bu'er
不共,bu'gong
不共俱有依,bu'gong'ju'you'yi
不共许,bu'gong'xu
不惧起,bu'ju'qi
不可知执受,bu'ke'zhi'zhi'shou
不令,bu'ling
不遣相应,bu'qian'xiang'ying
不如实知,bu'ru'shi'zhi
布施,bu'shi
不受彼苦故,bu'shou'bi'ku'gu
不思议,bu'si'yi
不思议善常,bu'si'yi'shan'chang
补特伽罗,bu'te'jia'luo
不信并懈怠,bu'xin'bing'xie'dai
不应道理,bu'ying'dao'li
不应理,bu'ying'li
不缘,bu'yuan
不正见心所,bu'zheng'jian'xin'suo
惭心所,can'xin'suo
藏识,cang'shi
藏要,cang'yao
差别分别,cha'bie'fen'bie
差别假立寻思,cha'bie'jia'li'xun'si
差别性,cha'bie'xing
差别有六种,cha'bie'you'liu'zhong
刹那生灭,cha'na'sheng'mie
常如其性故,chang'ru'qi'xing'gu
长时,chang'shi
常远离前性,chang'yuan'li'qian'xing
陈那,chen'na
嗔心所,chen'xin'suo
沉重,chen'zhong
成论,cheng'lun
成实论,cheng'shi'lun
成所作智,cheng'suo'zuo'zhi
成唯识论,cheng'wei'shi'lun
成唯识论述记,cheng'wei'shi'lun'shu'ji
成唯识论述记及三疏,cheng'wei'shi'lun'shu'ji'ji'san'shu
成唯识论枢要,cheng'wei'shi'lun'shu'yao
成唯识论直解,cheng'wei'shi'lun'zhi'jie
乘御,cheng'yu
持戒,chi'jie
痴慢疑恶见,chi'man'yi'e'jian
痴心所,chi'xin'suo
持种,chi'zhong
持种识,chi'zhong'shi
崇重,chong'zhong
初阿赖耶识,chu'a'lai'ye'shi
初遍行触等,chu'bian'xing'chu'deng
触等亦如是,chu'deng'yi'ru'shi
处定,chu'ding
初即相无性,chu'ji'xiang'wu'xing
触境,chu'jing
处了常与触,chu'le'chang'yu'chu
除生无想天,chu'sheng'wu'xiang'tian
出世道无有,chu'shi'dao'wu'you
处时定如梦,chu'shi'ding'ru'meng
出世间真实,chu'shi'jian'zhen'shi
出世间智,chu'shi'jian'zhi
触心所,chu'xin'suo
除诸蕴外,chu'zhu'yun'wai
船副,chuan'fu
串习,chuan'xi
此遍计所执,ci'bian'ji'suo'zhi
次别境谓欲,ci'bie'jing'wei'yu
次第二能变,ci'di'er'neng'bian
